ticker,buy_date,buy_price,sell_date,sell_price,days_held,pnl,trade_cagr,return_zscore,status
JSL,2017-08-08,83.62618524459853,2017-11-09,109.31559710334608,93,16364.155354022188,1.8636198207264862,0.2571717072402457,closed
TIMETECHNO,2017-08-08,86.38717826499958,2017-11-09,88.9105150871731,93,1556.8988192810612,0.11971582033315875,-0.19656738389427453,closed
SUBROS,2017-08-08,238.44067494963545,2018-02-08,357.9089748568051,184,26641.430879298834,1.2394851936154248,0.573577770361703,closed
GOCLCORP,2017-08-08,480.1429727894573,2018-02-08,559.7855504830708,184,8840.326123991095,0.356144820586187,0.026500848183766062,closed
CGCL,2017-08-08,16.31178752739459,2018-02-08,26.056491764539405,184,31855.438151226404,1.5338949843789496,0.7308657548289688,closed
KNRCON,2017-08-08,51.52781269023453,2018-02-08,76.97487330986326,184,26337.707741315728,1.2182445071578214,0.5618435936121368,closed
KPRMILL,2017-08-08,151.29637573480684,2018-02-08,140.3719575885649,184,-3845.3951874771656,-0.1382324886775116,-0.3621021115378278,closed
JSWSTEEL,2017-08-08,226.51752612683296,2018-02-08,298.4909311145011,184,16913.750172102016,0.729289618063174,0.2743844314193847,closed
PCJEWELLER,2017-08-08,29.13500000000001,2018-02-08,38.215,184,16616.39999999999,0.7134711777221785,0.264450327792589,closed
BALMLAWRIE,2017-08-08,137.05117499689086,2018-02-08,130.28968931943652,184,-2630.21792852974,-0.09555332403098915,-0.3247726500727739,closed
INDIANHUME,2017-08-08,528.7891070678584,2018-02-08,396.6289956865466,184,-13216.011138131176,-0.4349711765350074,-0.6521926443765028,closed
BIOCON,2017-08-08,172.38002629744696,2018-02-08,302.89035053664844,184,40327.69018991326,2.0615285744267964,0.9915452000748712,closed
ICIL,2017-08-08,132.51021676848714,2018-02-08,99.46422883712683,184,-13284.487148406846,-0.4341555289613872,-0.6513026386795807,closed
RAIN,2017-08-08,124.71037720662166,2018-02-08,362.96345200836146,184,101734.06294034289,7.336551135098885,2.8740894975826303,closed
GRAPHITE,2017-08-08,201.08682942288632,2018-02-08,578.9316756083099,184,100128.88423913723,7.158750922665709,2.8227753290972952,closed
DBL,2017-11-09,867.5315280464216,2018-05-15,1201.7117773479474,187,26066.05944551901,0.8897676378735058,0.3845113748811114,closed
KEI,2017-11-09,337.8141243125248,2018-05-15,427.2846968408421,187,17983.585078191776,0.5823570738261432,0.18805911136167522,closed
HSCL,2017-11-09,169.95407797093245,2018-05-15,132.80155799195808,187,-14898.160511568722,-0.38233093043910105,-0.6010600710268679,closed
BLS,2018-02-08,46.51544232309234,2018-05-15,39.02628590097397,96,-11638.149079971947,-0.4872202351918996,-0.5070430638384199,closed
SUNTECK,2018-02-08,383.92158479209286,2018-05-15,427.31150974085733,96,8157.305890367721,0.5028852107921868,-0.05977166634239575,closed
PURVA,2018-02-08,143.98499121023121,2018-08-10,92.77193878104937,183,-25708.952319449287,-0.5841073966528101,-0.8248089107286689,closed
KOLTEPATIL,2018-02-08,317.4723087949847,2018-08-10,281.06006041782945,183,-8265.580381614245,-0.2158423193925968,-0.43145451823692005,closed
BEPL,2018-02-08,101.49641117942946,2018-08-10,80.17581769972554,183,-15180.262557549187,-0.37539547625871506,-0.58711942812234,closed
VENKEYS,2018-02-08,2760.5239730449184,2018-08-10,3022.757964959575,183,6818.083789781072,0.19856661988801094,-0.08919035519909815,closed
