ticker,buy_date,buy_price,sell_date,sell_price,days_held,pnl,trade_cagr,return_zscore,status
AIAENG,2017-08-08,1414.661436926142,2017-10-10,1348.4095427609773,63,-1855.0530366246112,-0.24276348046258933,-0.36759200763624705,closed
NHPC,2017-08-08,22.011592909996335,2017-11-09,19.649504417499173,93,-4291.914790867342,-0.3597070303125238,-0.5179458739454254,closed
APOLLOTYRE,2017-08-08,259.8104075959661,2017-11-09,215.991429955427,93,-6704.303579002485,-0.5158919293313446,-0.6704567068291616,closed
TATACOMM,2017-08-08,603.7072473454759,2017-12-08,652.5280385788053,122,3222.1722213997386,0.26214934140248247,-0.050120538138793226,closed
MRPL,2017-08-08,123.62791223128073,2018-01-09,123.26051132220908,154,-118.67049363014235,-0.00703408145085338,-0.2585521684546665,closed
RECLTD,2017-08-08,69.33588053019562,2018-01-09,63.275525711443535,154,-3490.764375601203,-0.1950135508298244,-0.46845996067358686,closed
MPHASIS,2017-11-09,694.7208578642342,2018-01-09,680.1599822699109,61,-888.2134112537217,-0.119118406716615,-0.3032701461224059,closed
HINDPETRO,2017-08-08,213.63673131008724,2018-01-09,204.37905798265254,154,-1731.1849122302892,-0.09973870520503902,-0.3588942372793725,closed
GODREJCP,2017-08-08,584.5391822748844,2018-01-09,407.1662876735926,154,-12061.356832887843,-0.575834282376199,-1.0055354190919745,closed
TVSMOTOR,2017-08-08,567.3370409171822,2018-01-09,736.3871403132507,154,11833.506957724796,0.856251277684172,0.48961022279368177,closed
SUNTV,2017-08-08,571.5644293639251,2018-01-09,818.6796963124208,154,17050.953419446203,1.3448189282053074,0.8236812932071046,closed
GODREJIND,2017-08-08,627.5418056309626,2018-01-09,607.3467773210269,154,-1272.286783525946,-0.0746478558035577,-0.3311683365879647,closed
SAIL,2017-08-08,53.438329523059615,2018-01-09,83.149870957644,154,22224.23299306912,1.8536274343442014,1.1310773700994194,closed
NBCC,2017-08-08,66.66786518791122,2018-01-09,78.69945403476483,154,7206.921719265311,0.4821668160765804,0.19749666355130002,closed
