ticker,buy_date,buy_price,sell_date,sell_price,days_held,pnl,trade_cagr,return_zscore,status
LTF,2016-11-08,95.94057905382218,2016-11-23,78.66480795794857,15,-9588.052958209853,-0.9920476042001765,-0.9572096699814159,closed
UPL,2016-11-08,426.94932743725235,2016-11-23,381.19138885232763,15,-5673.984384530665,-0.9367340107473657,-0.6087579706951527,closed
BRITANNIA,2016-11-08,1489.3864038406566,2016-11-30,1396.10267936157,22,-3264.930356768034,-0.6583025372769872,-0.39583447973631686,closed
DISHTV,2016-11-16,91.47757821552722,2016-12-07,85.15173812282735,21,-3529.8187717265237,-0.7124492960270845,-0.4269996152278691,closed
MFSL,2016-11-16,532.55,2016-12-14,556.7,28,2318.4000000000087,0.783407867920078,0.120343374166377,closed
CANBK,2016-11-08,50.20996301698647,2016-12-28,44.658347352205894,50,-5895.815835996973,-0.5751177303372352,-0.6249815621792362,closed
ZYDUSLIFE,2016-11-23,372.68077328543546,2016-12-28,332.5181341544327,35,-5582.606839209386,-0.6957670995843094,-0.6115912525011058,closed
UPL,2016-12-07,419.33860009252055,2016-12-28,393.8239485843621,21,-3189.331438519808,-0.6643988607186689,-0.38729049053777953,closed
BAJAJHLDNG,2016-11-08,1995.5690725154923,2017-01-04,1677.4897516591327,57,-8270.062342265348,-0.6712993272713095,-0.8583787614135692,closed
INDIGO,2016-11-08,925.4860185575706,2017-01-04,841.9771404470687,57,-4760.006052298608,-0.45445500897114044,-0.5277714814670497,closed
HINDZINC,2016-11-08,116.7107434306496,2017-01-04,113.17541896246284,57,-1612.1079574931616,-0.17889499557085708,-0.24123481470491778,closed
TATASTEEL,2016-11-08,37.3850423450349,2017-01-04,37.092292716981284,57,-417.46096960445254,-0.04912774529528274,-0.13386600168171098,closed
GLENMARK,2016-11-08,890.3213640868414,2017-01-04,892.903733058981,57,152.3597693562325,0.018732428936490297,-0.08256784921505263,closed
TATAPOWER,2016-12-14,74.57249077464337,2017-01-04,71.82458450721685,21,-1934.5260122682666,-0.47952448570486683,-0.2725814346944928,closed
GLAXO,2016-12-21,1190.9958040840997,2017-01-11,1190.5586371253446,21,-18.361012267715978,-0.006365051384705223,-0.0981877296511945,closed
LICHSGFIN,2016-12-28,538.6148394912175,2017-01-11,523.6287488102449,14,-1363.7342519685021,-0.5210610170152383,-0.22943728160054105,closed
OFSS,2016-12-28,2091.621188858546,2017-01-11,2118.4041431061246,14,616.0079476943124,0.3936822474995083,-0.03522188606140516,closed
BPCL,2016-11-08,49.35092719432741,2017-01-18,48.96989087753952,71,-411.5192221309232,-0.03908906395558953,-0.1333415721653957,closed
PETRONET,2016-11-08,130.34447088830566,2017-01-25,135.04725038814638,78,1923.4368154348529,0.1805416244088689,0.07603843143745273,closed
LTF,2017-01-11,89.2427533615717,2017-01-25,93.30764067824785,14,2377.959080255547,2.196521254301932,0.12130325683842931,closed
GLENMARK,2017-01-11,898.3664366538912,2017-01-25,868.2719059401126,14,-1745.4827813991635,-0.5889101296066194,-0.25656922918975633,closed
TECHM,2017-01-04,438.112996070121,2017-02-02,403.5435527126105,29,-3975.48598611371,-0.6448445180198448,-0.4736243101184087,closed
MRF,2017-01-04,50186.72223375517,2017-02-09,51481.17971736649,36,1294.457483611317,0.294820148859245,0.026864437645384903,closed
VEDL,2016-11-08,76.20293282456183,2017-02-09,86.41069435143628,93,7135.22530728524,0.6384026252816823,0.5439121524733874,closed
HINDALCO,2016-11-08,164.46230183580843,2017-02-09,180.47625356773003,93,5188.520361142597,0.4404092870370271,0.3690324277455504,closed
MFSL,2016-12-28,532.3,2017-02-09,627.35,43,8744.600000000006,3.03728456830287,0.7571602344200115,closed
UPL,2017-01-04,416.43779007997927,2017-02-09,460.6673448948554,36,5351.776132600009,1.7846196577773439,0.4112793401590939,closed
BANKINDIA,2017-01-11,103.92124374700755,2017-02-16,114.10870921717373,36,5114.107666023419,1.5826616320579978,0.3721829788842055,closed
BPCL,2017-01-25,53.13663507111998,2017-02-16,50.012137273459324,22,-3177.61426022089,-0.6343623945418422,-0.3775205632998948,closed
MAHABANK,2017-02-02,30.394737135712028,2017-02-16,29.027194535992027,14,-2471.1494776940403,-0.6991234464249654,-0.31151197723760066,closed
INDIANB,2016-11-08,201.6606675787762,2017-02-16,270.23463069757764,100,18103.52626336358,1.912762532594884,1.5290909606937466,closed
