band_id,rank_start,rank_end,lookback_months,rebalance_period,top_n,min_momentum,starting_capital,ending_value,start_date,end_date,total_return,cagr,churn_avg_transactions_per_year,n_rebalances,total_invested,total_sell_value,txn_total_return,win_rate,n_closed_trades,n_open_trades,avg_days_held,total_tax,post_tax_ending_value,post_tax_cagr,sip_monthly_amount,sip_total_contributed,sip_ending_value,sip_xirr
7,501,800,3,bimonthly,10,,1000000.0,31539881.938270546,2016-07-27,2026-07-24,30.539881938270547,0.41263438110099826,78.0909090909091,59,277841760.60717386,308289606.1911205,0.10958700203097001,0.5660377358490566,424,11,93.125,9717814.259956677,21822067.67831387,0.361501149346253,50000.0,7000000.0,93097665.9151643,0.42747953056511756
7,501,800,3,monthly,10,,1000000.0,25727834.940665275,2016-07-27,2026-07-24,24.727834940665275,0.3841259317975374,122.54545454545455,118,388321403.4047036,412846976.8224782,0.06315792331491529,0.5029940119760479,668,12,59.48652694610779,9997285.044340266,15730549.896325009,0.31761696564149067,50000.0,7000000.0,82209925.585693,0.40652846562732403
7,501,800,6,weekly,10,,1000000.0,24985960.67050135,2016-07-27,2026-07-24,23.985960670501353,0.3800781105682971,185.1818181818182,495,662526719.9442582,689104735.4841282,0.04011614134159928,0.44027640671273444,1013,11,37.02665350444225,12039940.714779625,12946019.955721727,0.29217192126702196,50000.0,7000000.0,75923563.10611181,0.3931995551490436
7,501,800,6,bimonthly,10,,1000000.0,22802694.258359507,2016-07-27,2026-07-24,21.802694258359505,0.367504833245484,62.72727272727273,59,161880378.4570075,184831734.11530593,0.14177972572750006,0.5250737463126843,339,12,112.22418879056048,7175811.41174078,15626882.846618727,0.31674521224198937,50000.0,7000000.0,82070613.29283682,0.4062437189613498
7,501,800,6,monthly,15,,1000000.0,21477264.857692964,2016-07-27,2026-07-24,20.477264857692965,0.3593323617258444,127.9090909090909,118,233191334.18284225,252955908.2162338,0.08475689760364076,0.49640287769784175,695,17,82.15539568345324,7114749.620775705,14362515.23691726,0.3056718711723212,50000.0,7000000.0,76462738.51614006,0.3943830900171923
7,501,800,6,monthly,10,,1000000.0,20824006.559691984,2016-07-27,2026-07-24,19.824006559691984,0.355136058614965,94.27272727272727,118,259460713.98857138,279365551.1707459,0.076716189037587,0.4873294346978557,513,11,74.23781676413256,7873610.901341661,12950395.658350322,0.292215631402172,50000.0,7000000.0,69694358.99682838,0.37891407014614753
7,501,800,3,bimonthly,15,,1000000.0,19321258.61016851,2016-07-27,2026-07-24,18.32125861016851,0.3450142748722773,111.18181818181819,59,180221833.73748848,199345329.89085853,0.1061108732320712,0.5572139303482587,603,17,99.34825870646766,6170845.878555697,13150412.731612813,0.2941996061385379,50000.0,7000000.0,67754570.81571478,0.3742164621884756
7,501,800,6,bimonthly,20,,1000000.0,18797090.37741004,2016-07-27,2026-07-24,17.79709037741004,0.34131650766382493,110.0909090909091,59,114752189.1077009,133819457.01082022,0.1661603848378326,0.5286195286195287,594,23,128.43602693602693,5317616.395296467,13479473.982113574,0.2974052439676991,50000.0,7000000.0,73633372.86116771,0.38808168210087
7,501,800,6,biweekly,10,,1000000.0,17547254.30441224,2016-07-27,2026-07-24,16.547254304412238,0.33211051815079085,135.9090909090909,248,398198352.56861866,416280541.4911444,0.0454100043505574,0.4474393530997305,742,11,51.039083557951486,8524730.265395839,9022524.0390164,0.24630528506178884,50000.0,7000000.0,55713303.4976493,0.3418134140797864
7,501,800,9,weekly,10,,1000000.0,17519526.598152194,2016-07-27,2026-07-24,16.519526598152193,0.33189966971819373,159.54545454545453,495,425573923.01685447,444020144.91115576,0.04334434253757308,0.43463302752293576,872,11,41.41169724770642,8220817.639745829,9298708.958406366,0.2500723619105991,50000.0,7000000.0,58535976.35862248,0.34997241720534034
7,501,800,3,bimonthly,20,,1000000.0,17341272.058172226,2016-07-27,2026-07-24,16.341272058172226,0.3305369621884844,143.63636363636363,59,164178698.9896452,181600063.37628034,0.10611220879350429,0.540436456996149,779,22,101.26957637997432,5720678.7197564,11620593.338415826,0.27827708466647194,50000.0,7000000.0,59530848.52335803,0.3527583957406639
7,501,800,6,weekly,15,,1000000.0,16257357.719340201,2016-07-27,2026-07-24,15.257357719340202,0.3219686498488079,249.72727272727272,495,374803182.16110134,391605953.7182212,0.0448309202185416,0.43223443223443225,1365,17,41.51062271062271,7335039.182501548,8922318.536838654,0.24491281938937326,50000.0,7000000.0,57583342.56330203,0.3472618378432438
7,501,800,6,bimonthly,15,,1000000.0,16006528.973251894,2016-07-27,2026-07-24,15.006528973251893,0.319912764146836,87.0909090909091,59,112071312.47170588,127940196.7371913,0.14159630966659523,0.5382978723404256,470,18,121.69574468085106,4682696.377661399,11323832.595590495,0.27497139049590347,50000.0,7000000.0,57054148.91773354,0.34573744951802476
7,501,800,3,monthly,15,,1000000.0,15904055.816730866,2016-07-27,2026-07-24,14.904055816730866,0.3190645044371616,168.72727272727272,118,261114206.2253539,276290939.060995,0.05812296870030445,0.49510337323177367,919,18,64.91403699673558,6518395.190146753,9385660.626584113,0.25123752423654455,50000.0,7000000.0,55289746.27368624,0.3405549900552107
7,501,800,3,biweekly,15,,1000000.0,15674854.605641207,2016-07-27,2026-07-24,14.674854605641206,0.3171492595965377,248.45454545454547,248,358089793.1393461,374231137.1647772,0.0450762471723116,0.4543446244477172,1358,17,43.812960235640645,7273039.401935953,8401815.203705255,0.23744519979095724,50000.0,7000000.0,57123764.70562369,0.3459387570690652
7,501,800,6,monthly,20,,1000000.0,14987917.619645618,2016-07-27,2026-07-24,13.987917619645618,0.3112542322500771,161.72727272727272,118,165806913.4601997,179893293.22183496,0.08495652845631517,0.4920273348519362,878,23,87.39749430523918,5118474.826065851,9869442.793579767,0.25754817897941873,50000.0,7000000.0,58224862.70320442,0.3490918710398426
7,501,800,6,biweekly,15,,1000000.0,14909728.44164294,2016-07-27,2026-07-24,13.90972844164294,0.3105679066175704,184.63636363636363,248,254837415.47867525,269858469.9819005,0.058943677775927794,0.4468718967229394,1007,17,56.199602780536246,6115998.458137474,8793729.983505465,0.24310517549710808,50000.0,7000000.0,55114489.74562512,0.340031576781589
