ticker,buy_date,buy_price,sell_date,sell_price,days_held,pnl,status
PFC,2017-05-09,79.11200674029712,2017-08-07,64.93312111317091,90,-14334.853369024595,closed
TATACOMM,2017-05-09,627.2295558059787,2017-11-08,650.9438831110572,183,3011.7195677449604,closed
AIAENG,2017-05-09,1441.1718523027275,2017-11-08,1382.4529723429314,183,-3229.5383977887877,closed
RECLTD,2017-05-09,85.42583214164286,2017-11-08,64.51470369355258,183,-19572.816227412502,closed
FEDERALBNK,2017-05-09,117.33967557538986,2017-11-08,112.22066389209247,183,-3486.0469563255206,closed
MRPL,2017-05-09,118.647219364409,2017-11-08,118.27981845533733,183,-247.62821271430042,closed
GODREJIND,2017-08-07,636.2680524315521,2017-11-08,549.7036841697045,93,-10993.67476925464,closed
GMRAIRPORT,2017-08-07,18.55,2018-02-07,19.1,184,2396.9000000000033,closed
VAKRANGEE,2017-05-09,175.525,2018-02-07,202.2,274,12137.124999999993,closed
SUNTV,2017-05-09,676.5665495874797,2018-02-07,739.6853300693488,274,7448.01609686055,closed
TVSMOTOR,2017-05-09,475.27462171241183,2018-02-07,619.7885275705944,274,24278.33618417467,closed
PCJEWELLER,2017-08-07,270.8,2018-02-07,380.1,184,32571.400000000005,closed
RAMASTEEL,2017-11-08,183.8,2018-02-07,269.85,91,40615.600000000006,closed
GREENLAM,2017-11-08,1008.5908257765772,2018-02-07,1168.2440189079682,91,13730.17460929963,closed
NBCC,2017-11-08,87.24862733533229,2018-05-14,61.848609476701924,187,-25298.41778719584,closed
IGL,2017-05-09,93.44296639827711,2018-05-14,124.48436317618793,370,26571.43564189166,closed
MOTHERSON,2018-02-07,29.719846803915644,2018-05-14,28.332600413505663,96,-4139.543228983383,closed
ADANIENT,2018-02-07,194.74592158900634,2018-05-14,122.73694677019968,96,-32764.083542557033,closed
IIFL,2018-02-07,690.8517042082253,2018-08-09,665.1128277317925,183,-3294.5761889833957,closed
TATACONSUM,2017-11-08,216.74876386465834,2018-08-09,229.11401985314902,274,4946.1023953962695,closed
DIVISLAB,2018-02-07,975.6110242810372,2018-08-09,1073.5331966663139,183,8812.9955146749,closed
GODREJPROP,2018-02-07,793.45,2018-08-09,710.45,183,-9213.0,closed
CHOLAFIN,2018-05-14,308.49077621442154,2018-08-09,282.9056984971274,87,-7240.576993994246,closed
EDELWEISS,2018-05-14,300.0,2018-11-15,167.85,185,-38455.65,closed
JINDALSTEL,2018-02-07,249.12913008973095,2018-11-15,178.92135624295142,281,-24993.967489453513,closed
ENDURANCE,2018-02-07,1156.7208013565419,2018-11-15,1179.0315857824007,281,1695.619616365273,closed
BALKRISIND,2018-05-14,1101.0121703408468,2018-11-15,907.2010892023146,185,-15311.075409944038,closed
ADANIENT,2018-08-09,198.30925230168955,2018-11-15,161.19122404457272,98,-16814.466800473925,closed
WHIRLPOOL,2018-08-09,1727.8877683666296,2019-02-14,1350.4821414145372,189,-19625.092601508808,closed
PAGEIND,2017-11-08,19037.43617867111,2019-02-14,22124.77881122267,463,12349.370530206244,closed
3MINDIA,2018-02-07,17435.72102282845,2019-02-14,20139.842151742196,372,13520.605644568732,closed
PIDILITIND,2018-05-14,539.4279559272396,2019-02-14,544.958793330359,276,895.9956593053323,closed
TORNTPHARM,2018-08-09,782.5018784231836,2019-02-14,820.9804185827054,189,4386.553578185485,closed
