ticker,buy_date,buy_price,sell_date,sell_price,days_held,pnl,trade_cagr,return_zscore,status
IGL,2016-11-16,75.84661200485317,2016-11-30,7.660789423594537,14,-71867.8570006466,-1.0,-2.333696576207881,closed
APOLLOTYRE,2016-11-16,170.6438833274272,2016-11-30,176.8507998219645,14,2904.8369194434545,1.539856909435366,-0.024084681601424865,closed
GSPL,2016-11-16,140.04376963902888,2016-11-30,146.290728737441,14,3567.013645193312,2.122270437136778,-0.0037540988388456683,closed
SOLARINDS,2016-11-16,660.3476019796673,2016-12-14,678.6366043135695,28,2212.9692824021668,0.4281389346254951,-0.04551109568336706,closed
GAIL,2016-11-16,10.396714964902921,2016-12-14,10.17275385309515,28,-1723.156794248991,-0.24728777939215385,-0.16708828446744994,closed
ARVIND,2016-11-16,318.0310224215939,2016-12-14,317.9363139575017,28,-23.771824487143988,-0.0038776872831940423,-0.11463333836960152,closed
AIAENG,2016-11-30,1285.6386509941638,2016-12-28,1225.4383020995128,28,-3551.8205847844038,-0.4650501224651593,-0.22951876328723048,closed
SJVN,2016-11-30,20.688743801735935,2016-12-28,19.677149073259887,28,-3748.970063732234,-0.48001269186035844,-0.2346316073532654,closed
NH,2016-11-16,326.62934590558575,2016-12-28,327.41404103088445,42,191.46561057288204,0.021086508859835318,-0.10796601695644291,closed
INOXWIND,2016-12-14,50.8875,2017-01-11,45.8625,28,-7552.575000000009,-0.742373730102003,-0.35772435929585444,closed
POONAWALLA,2016-12-14,102.35038213891701,2017-01-11,95.40218575875943,28,-5190.302695977714,-0.6003018517778909,-0.2815228245286318,closed
BALKRISIND,2016-11-16,460.89299358302395,2017-01-11,255.961092951566,56,-35453.21880924222,-0.9784211375189521,-1.2118039441282027,closed
SYNGENE,2016-11-16,265.4357410013553,2017-01-11,297.99848989743236,56,9801.387417719188,1.1270468958679811,0.18901457056910506,closed
QUESS,2016-11-16,524.3693779791051,2017-01-11,599.868981156899,56,11475.939683024675,1.4045180427636121,0.24162114115105257,closed
WELSPUNLIV,2016-11-30,66.24768220700847,2017-01-11,66.96104561914424,42,825.3614678410943,0.0976193920875843,-0.08730940002492656,closed
VTL,2016-11-30,214.4647232688559,2017-01-11,214.6299278678667,42,58.978041846862965,0.006718849221178047,-0.11199597072989978,closed
GAIL,2016-12-28,10.307389434759937,2017-01-11,10.794148845394167,14,3507.1015536196264,2.3328971855676786,0.0027080974665000344,closed
MOTILALOFS,2016-12-28,116.09829548715041,2017-01-25,128.2225562885608,28,7747.402652101246,2.6536543917753166,0.14396264079284563,closed
MPHASIS,2016-12-28,534.0738205694879,2017-02-09,539.0865810199925,43,696.7737026201435,0.0825871760725414,-0.09072240255969692,closed
HCC,2017-01-11,43.0,2017-02-09,41.85,29,-1972.2499999999975,-0.2892429439651416,-0.17993467340600092,closed
STAR,2017-01-11,1124.7837544103913,2017-02-09,1152.8555258321132,29,1824.6651424119239,0.36407528729389216,-0.05227308915200522,closed
NLCINDIA,2017-01-11,56.88132824736642,2017-02-09,64.53777862491545,29,9922.75968930354,3.9063022535498364,0.21846554480373703,closed
VAKRANGEE,2017-01-11,65.56559967644482,2017-02-23,76.20472873599715,43,11969.020191996373,2.586908734643598,0.2867709458020071,closed
QUESS,2017-01-25,648.8704872758201,2017-02-23,572.7494881870978,29,-8982.277892469236,-0.7922961328472826,-0.4035670905016658,closed
NATIONALUM,2017-01-11,45.47275775674249,2017-02-23,41.270447729567664,43,-6816.146864077566,-0.5611744783856552,-0.34208584240959844,closed
MGL,2017-01-11,757.5019548812272,2017-02-23,781.9461329352761,43,2371.085271242738,0.30966726605421835,-0.03421838374153965,closed
IFCI,2017-02-09,31.1,2017-03-10,27.85,29,-8151.0,-0.7509626119601598,-0.3719330328853012,closed
COROMANDEL,2016-12-14,263.1393467682568,2017-03-10,297.08977714114474,86,9845.624808137498,0.6742871292296251,0.20467952197955916,closed
J&KBANK,2017-02-23,75.7803680981595,2017-03-27,71.95950920245399,32,-3977.514110429439,-0.4459576887601152,-0.23839532718513146,closed
NATCOPHARM,2017-02-09,692.858588274184,2017-03-27,716.3285161914498,46,2628.6319267337767,0.3027952673255663,-0.030256327228225917,closed
KRBL,2016-12-14,279.09732452453994,2017-04-11,396.75931262601466,118,32239.384739804074,1.9708412329280285,0.9270670936267498,closed
ENGINERSIN,2017-01-11,118.22670398264839,2017-04-11,118.89935390061179,90,419.0608988911967,0.02329152742602414,-0.09984954591426354,closed
