ticker,status,buy_date,buy_price,buy_momentum_rank,sell_date,sell_price,sell_momentum_rank,holding_days
NMDC,closed,2017-08-14,40.32,11,2017-09-14,44.35,10,31
INDIANB,closed,2017-08-14,293.9,16,2017-09-14,284.15,26,31
UPL,closed,2017-08-14,548.97,25,2017-09-14,524.99,29,31
ACC,closed,2017-08-14,1784.8,32,2017-10-16,1789.7,34,63
NESTLEIND,closed,2017-08-14,332.62,37,2017-10-16,364.14,33,63
GLAXO,closed,2017-08-14,1201.38,43,2017-10-16,1231.78,40,63
OIL,closed,2017-08-14,124.47,21,2017-10-16,154.64,16,63
LICHSGFIN,closed,2017-08-14,657.2,27,2017-10-16,659.55,35,63
TATAPOWER,closed,2017-08-14,79.55,31,2017-11-15,82.05,34,93
BHEL,closed,2017-09-14,91.23,41,2017-11-15,88.3,22,62
LTF,closed,2017-08-14,172.2,8,2017-11-15,183.05,9,93
VEDL,closed,2017-08-14,108.3,14,2017-11-15,110.67,24,93
TITAN,closed,2017-09-14,633.55,19,2017-11-15,771.05,8,62
CIPLA,closed,2017-09-14,565.95,39,2017-11-15,593.65,38,62
TORNTPHARM,closed,2017-09-14,609.85,44,2017-12-14,661.63,38,91
NHPC,closed,2017-10-16,28.7,15,2017-12-14,28.75,19,59
ICICIPRULI,closed,2017-10-16,395.0,28,2017-12-14,379.25,31,59
ZEEL,closed,2017-10-16,514.45,41,2017-12-14,567.75,32,59
IOB,closed,2017-10-16,22.05,45,2017-12-14,22.45,47,59
HINDPETRO,closed,2017-08-14,292.4,3,2017-12-14,291.5,6,122
PETRONET,closed,2017-08-14,217.4,10,2017-12-14,249.3,12,122
MARICO,closed,2017-08-14,318.35,29,2018-01-15,311.4,33,154
INDIANB,closed,2017-11-15,391.3,19,2018-01-15,382.3,11,61
MOTHERSON,closed,2017-08-14,95.87,4,2018-01-15,113.51,,154
CUMMINSIND,closed,2017-08-14,886.8,35,2018-01-15,935.95,,154
GLENMARK,closed,2017-08-14,629.8,46,2018-01-15,624.4,,154
DRREDDY,closed,2017-08-14,400.41,48,2018-01-15,486.35,47,154
COLPAL,closed,2017-09-14,1141.6,20,2018-01-15,1140.7,,123
AUROPHARMA,closed,2017-09-14,766.05,38,2018-01-15,658.0,43,123
MAHABANK,closed,2017-10-16,25.0,43,2018-01-15,22.1,,91
DLF,closed,2017-11-15,203.6,13,2018-01-15,266.85,2,61
LICHSGFIN,closed,2017-11-15,578.3,40,2018-02-15,528.5,,92
TITAN,closed,2017-12-14,816.25,7,2018-02-15,814.85,,63
TATAPOWER,closed,2017-12-14,90.5,34,2018-02-15,86.25,,63
INDIGO,closed,2017-08-14,1284.95,17,2018-02-15,1262.0,8,185
CIPLA,closed,2017-12-14,590.45,39,2018-02-15,605.85,34,63
UCOBANK,closed,2017-12-14,29.55,46,2018-02-15,28.75,43,63
NMDC,closed,2018-01-15,51.48,37,2018-03-19,39.3,39,63
IDFCFIRSTB,closed,2018-01-15,64.25,39,2018-03-19,49.35,41,63
CENTRALBK,closed,2018-01-15,74.8,45,2018-03-19,77.2,40,63
BRITANNIA,closed,2017-11-15,2374.88,17,2018-03-19,2407.77,5,124
UPL,closed,2017-12-14,460.18,40,2018-04-19,491.71,26,126
MARICO,closed,2018-02-15,309.95,23,2018-04-19,320.3,25,63
TECHM,closed,2017-11-15,496.55,29,2018-04-19,665.2,6,155
HAVELLS,closed,2018-01-15,558.5,16,2018-04-19,551.85,22,94
SHREECEM,closed,2018-01-15,19081.5,24,2018-04-19,17141.9,30,94
LTM,closed,2018-02-15,1490.7,1,2018-05-21,1528.1,1,95
VAKRANGEE,closed,2018-03-19,260.3,2,2018-05-21,48.95,48,63
NESTLEIND,closed,2017-11-15,386.06,28,2018-05-21,474.32,6,187
LTF,closed,2017-12-14,163.6,10,2018-05-21,166.95,10,158
VEDL,closed,2017-12-14,106.57,35,2018-05-21,98.82,15,158
SUNTV,closed,2018-01-15,1073.5,3,2018-05-21,939.85,18,126
HINDALCO,closed,2018-04-19,264.75,8,2018-06-19,225.8,15,61
DABUR,closed,2018-04-19,358.35,18,2018-06-19,379.85,10,61
DRREDDY,closed,2018-04-19,427.26,40,2018-06-19,478.6,30,61
ZEEL,closed,2018-01-15,606.15,29,2018-06-19,554.5,18,155
INDIANB,closed,2018-02-15,345.35,26,2018-06-19,354.7,13,124
PETRONET,closed,2018-03-19,233.65,17,2018-07-18,207.3,23,121
HAVELLS,closed,2018-05-21,524.2,20,2018-07-18,561.25,10,58
