ticker,status,buy_date,buy_price,buy_momentum_rank,sell_date,sell_price,sell_momentum_rank,holding_days,return_pct,exit_reason
TRIGYN,closed,2007-07-05,30.6,9,2007-07-26,33.1,31,21,8.169934640522868,grace
PONNIERODE,closed,2007-07-05,43.18753833140835,25,2007-07-26,38.45933153891782,15,21,-10.948081264108344,grace
JAYAGROGN,closed,2007-07-05,29.996380291179698,1,2007-08-02,21.07289230513823,2,28,-29.748549323017414,grace
REGENCERAM,closed,2007-07-05,18.4,10,2007-08-09,16.2,19,35,-11.956521739130432,grace
GREENPLY,closed,2007-07-12,35.52179933778482,3,2007-08-09,41.88063995998087,5,28,17.901234567901227,grace
ARE&M,closed,2007-07-12,2.2344252337576216,5,2007-08-09,2.3034648194039686,6,28,3.0898140874574542,grace
THEMISMED,closed,2007-07-05,20.515033944331297,3,2007-08-17,17.350454369120357,12,43,-15.42566092650982,grace
COFORGE,closed,2007-07-05,5.913939990988498,15,2007-08-17,4.705836058641837,49,43,-20.428072218986625,grace
WELSPUNLIV,closed,2007-07-12,0.30869583628363184,53,2007-08-24,0.26666682570980405,48,43,-13.6150234741784,grace
KKCL,closed,2007-07-26,6.176406954362253,17,2007-08-31,6.506902670474759,8,36,5.3509381514941,grace
GMBREW,closed,2007-08-09,15.982090783759507,14,2007-09-21,15.548587121117928,16,43,-2.712433989438301,grace
JAYAGROGN,closed,2007-08-31,23.799835967972747,1,2007-09-21,21.44422080390719,21,21,-9.897610921501688,grace
CALSOFT,closed,2007-08-24,82.75,7,2007-10-08,83.05,14,45,0.3625377643504457,grace
TFCILTD,closed,2007-09-07,5.723448660998252,1,2007-10-08,5.752209709545982,10,31,0.5025125628140614,grace
AARTIDRUGS,closed,2007-09-07,2.259783842772696,14,2007-10-08,1.989839232340949,29,31,-11.945594322885855,grace
WELSPUNLIV,closed,2007-09-07,0.2946861660923559,45,2007-10-08,0.31545912534148923,30,31,7.049180327868876,grace
ZODIACLOTH,closed,2007-07-19,139.92208719013138,15,2007-10-15,183.21832149604109,8,88,30.94310210444271,grace
COFORGE,closed,2007-09-07,9.516724633139908,7,2007-10-15,9.67301177763094,3,38,1.6422366992399517,grace
AMBICAAGAR,closed,2007-09-07,20.75,6,2007-10-29,15.7,15,52,-24.33734939759037,grace
VARDHACRLC,closed,2007-09-21,3.4986838967761744,29,2007-10-29,3.3651463434641067,32,38,-3.8167938931297662,grace
PONNIERODE,closed,2007-09-21,38.45933153891782,49,2007-11-05,33.04870314751113,46,45,-14.068441064638805,grace
KKCL,closed,2007-09-14,7.217969211201661,13,2007-11-12,11.181056369780174,2,59,54.905847373637265,grace
TRIGYN,closed,2007-08-02,29.65,34,2007-11-26,23.45,48,116,-20.9106239460371,grace
WELSPUNLIV,closed,2007-10-22,0.3096620204347544,20,2007-11-26,0.4724640498988919,3,35,52.57410296411853,grace
RUCHIRA,closed,2007-08-24,13.067803343331278,20,2007-12-03,13.881996698055968,,101,6.230529595015577,grace
CENTEXT,closed,2007-11-19,9.45,2,2007-12-10,10.1,2,21,6.8783068783068835,grace
TTKPRESTIG,closed,2007-07-12,10.485068850334677,26,2007-12-17,14.482828128137776,26,158,38.12811660912929,grace
GREENPLY,closed,2007-08-31,41.143094182484774,4,2007-12-17,66.51865566228278,13,108,61.676356589147254,grace
WELSPUNLIV,closed,2007-12-03,0.4782611548056268,6,2007-12-26,0.5106283238682299,5,23,6.767676767676778,grace
IDEA,closed,2007-07-05,119.98800119988,8,2008-01-02,135.8864113588641,90,181,13.250000000000007,grace
GILLETTE,closed,2007-07-05,811.1923973483665,22,2008-01-02,1170.684536986352,31,181,44.31650750341063,cash
TFCILTD,closed,2007-10-29,5.9822980979278215,6,2008-01-02,9.280231664734185,50,65,55.12820512820513,cash
PRECWIRE,closed,2007-11-05,0.5782038030279899,30,2008-01-02,0.7400923586219192,68,58,27.99852832965413,cash
JAYAGROGN,closed,2007-11-19,21.50224088183984,31,2008-01-02,27.791617329739022,75,44,29.24986508364813,cash
TRIGYN,closed,2007-12-10,33.4,34,2008-01-02,35.65,76,23,6.736526946107779,cash
CENTEXT,closed,2007-12-17,11.95,2,2008-01-02,15.35,,16,28.451882845188294,cash
AMBICAAGAR,closed,2007-12-17,26.4,15,2008-01-02,28.95,28,16,9.659090909090917,cash
ARE&M,closed,2007-09-21,14.065352872357487,1,2008-01-02,19.974673338697364,,103,42.01331114808653,cash
COFORGE,closed,2007-10-22,8.984573364294409,4,2008-01-02,6.229528081654964,94,72,-30.66417481311099,cash
KKCL,closed,2007-11-19,10.807639132094618,3,2008-01-02,11.601687281196089,80,44,7.347100873709289,cash
ZODIACLOTH,closed,2007-12-03,224.28976189807028,13,2008-01-02,324.7108514418528,10,30,44.7729261888554,cash
KHANDSE,closed,2007-12-10,75.9,8,2008-01-02,109.45,,23,44.20289855072463,cash
RADAAN,closed,2007-12-10,9.0,36,2008-01-02,11.2,,23,24.444444444444446,cash
AARTIDRUGS,closed,2007-12-17,2.1755931969449733,41,2008-01-16,2.0446299701018487,70,30,-6.019656019656006,grace
BAJFINANCE,closed,2007-12-26,0.03489906742409947,45,2008-01-16,0.04236359017869852,40,21,21.38888888888888,grace
PGHH,closed,2007-07-05,675.068965070687,40,2008-01-23,607.7789930382554,49,202,-9.96786632390746,grace
EXCELINDUS,closed,2008-01-02,78.88794119697694,29,2008-01-23,48.569713796165075,50,21,-38.43201754385965,grace
HILTON,closed,2008-01-02,55.892651757188496,36,2008-01-23,37.04856230031949,32,21,-33.71478873239436,grace
RSYSTEMS,closed,2008-01-02,8.925857027029657,41,2008-01-23,6.148157890432784,36,21,-31.11969111969112,grace
NAGREEKEXP,closed,2008-01-02,26.340390431674457,37,2008-01-30,17.019521583722845,34,28,-35.386221294363274,grace
BHARATGEAR,closed,2008-01-02,53.400956711746296,62,2008-01-30,35.393657355459744,57,28,-33.72093023255815,grace
GMBREW,closed,2007-12-10,17.842703849079562,33,2008-02-06,15.360607656786621,50,58,-13.910986884540943,grace
SKMEGGPROD,closed,2008-01-02,15.796440452735217,9,2008-02-06,9.514815009542264,14,35,-39.76608187134504,grace
TVSELECT,closed,2008-01-02,55.61327465382135,57,2008-02-06,38.396272746573864,42,35,-30.958439355385913,grace
TVSSRICHAK,closed,2008-01-16,153.53954089951813,12,2008-02-06,149.35382850820537,4,21,-2.7261462205700138,grace
