ticker,status,buy_date,buy_price,buy_momentum_rank,sell_date,sell_price,sell_momentum_rank,holding_days
INDIGO,closed,2017-08-11,1242.35,18,2017-11-14,1167.6,32,95
CANBK,closed,2017-08-11,65.18,19,2017-11-14,75.49,25,95
COLPAL,closed,2017-09-13,1147.5,20,2017-12-13,1050.7,24,91
NHPC,closed,2017-08-11,30.3,12,2018-01-12,31.7,,154
PFC,closed,2017-08-11,94.12,11,2018-01-12,100.96,40,154
BEL,closed,2017-08-11,51.86,1,2018-01-12,59.33,23,154
MOTHERSON,closed,2017-08-11,95.78,4,2018-01-12,114.34,,154
RECLTD,closed,2017-08-11,123.9,7,2018-01-12,121.01,,154
PETRONET,closed,2017-08-11,210.95,9,2018-01-12,252.5,21,154
BAJAJFINSV,closed,2017-08-11,499.2,10,2018-01-12,505.73,,154
NMDC,closed,2017-08-11,39.22,13,2018-01-12,51.65,37,154
TATASTEEL,closed,2017-08-11,59.66,15,2018-01-12,77.0,,154
OIL,closed,2017-09-13,143.78,15,2018-01-12,170.91,,121
OFSS,closed,2017-09-13,3443.25,18,2018-02-14,4014.35,29,154
TITAN,closed,2017-09-13,630.3,19,2018-02-14,813.7,,154
BANKINDIA,closed,2017-11-14,195.6,10,2018-02-14,133.55,,92
BHEL,closed,2017-12-13,89.6,18,2018-02-14,97.85,37,63
HINDPETRO,closed,2017-08-11,286.03,3,2018-03-16,243.17,27,217
ACC,closed,2018-01-12,1804.95,20,2018-04-18,1573.5,25,96
VAKRANGEE,closed,2018-01-12,441.9,1,2018-05-18,51.5,48,126
HAVELLS,closed,2018-01-12,549.1,16,2018-05-18,523.25,22,126
PETRONET,closed,2018-02-14,252.05,15,2018-05-18,218.65,24,93
DLF,closed,2017-11-14,206.05,15,2018-06-18,199.55,22,216
INDIGO,closed,2018-01-12,1234.0,18,2018-06-18,1241.35,21,157
VEDL,closed,2017-08-11,104.53,14,2018-07-17,78.69,30,340
LTF,closed,2017-08-11,163.8,8,2018-07-17,147.3,23,340
ZEEL,closed,2018-05-18,567.6,17,2018-08-16,500.45,24,90
HINDALCO,closed,2017-08-11,221.0,16,2018-08-16,216.1,25,370
TVSMOTOR,closed,2018-01-12,750.4,5,2018-09-18,592.7,26,249
SUNTV,closed,2018-01-12,1077.1,3,2018-10-22,641.3,29,283
M&MFIN,closed,2018-01-12,293.48,8,2018-10-22,219.83,23,283
INDIANB,closed,2017-08-11,279.85,20,2018-10-22,218.45,30,437
BHARATFORG,closed,2018-01-12,730.6,14,2018-11-21,580.25,27,313
SAIL,closed,2018-01-12,98.65,7,2018-11-21,61.9,34,313
CIPLA,closed,2018-06-18,606.5,18,2018-11-21,522.15,23,156
DLF,closed,2018-08-16,206.7,10,2018-11-21,182.8,21,97
NMDC,closed,2018-10-22,36.5,18,2018-11-21,32.7,33,30
ZEEL,closed,2018-10-22,449.2,20,2018-12-21,447.8,33,60
UNITDSPR,closed,2017-08-11,483.76,5,2018-12-21,621.95,21,497
SHRIRAMFIN,closed,2017-08-11,190.41,6,2019-01-22,219.23,34,529
JSWSTEEL,closed,2017-08-11,223.5,2,2019-01-22,278.0,,529
BRITANNIA,closed,2017-08-11,2050.98,17,2019-01-22,3153.65,,529
GODREJCP,closed,2018-02-14,685.0,16,2019-01-22,792.85,,342
TECHM,closed,2018-02-14,611.5,17,2019-01-22,714.2,,342
DABUR,closed,2018-02-14,340.75,19,2019-01-22,433.35,,342
IDBI,closed,2018-07-17,58.15,19,2019-02-20,43.75,,218
HINDALCO,closed,2018-12-21,224.0,19,2019-03-25,205.45,28,94
OFSS,closed,2018-05-18,3862.15,19,2019-03-25,3352.3,32,311
M&MFIN,closed,2018-11-21,262.17,16,2019-04-25,253.88,36,155
CIPLA,closed,2019-02-20,541.1,20,2019-04-25,555.6,24,64
BOSCHLTD,closed,2018-11-21,18714.8,17,2019-05-28,16926.2,28,188
LUPIN,closed,2018-11-21,849.55,14,2019-05-28,743.7,24,188
BIOCON,closed,2019-01-22,334.3,7,2019-05-28,270.55,37,126
COLPAL,closed,2019-01-22,1306.55,11,2019-06-27,1128.2,23,156
AUROPHARMA,closed,2018-09-18,776.15,18,2019-07-26,563.45,25,311
CIPLA,closed,2019-05-28,577.95,20,2019-07-26,532.1,34,59
LTM,closed,2018-01-12,1124.65,10,2019-08-28,1639.85,23,593
CANBK,closed,2019-05-28,56.15,10,2019-08-28,45.38,25,92
IDFCFIRSTB,closed,2019-03-25,51.8,18,2019-08-28,42.15,21,156
AMBUJACEM,closed,2019-05-28,238.4,17,2019-11-01,201.6,30,157
NMDC,closed,2019-06-27,37.68,20,2019-11-01,36.82,25,127
AUROPHARMA,closed,2019-08-28,591.1,20,2019-11-01,480.5,49,65
DRREDDY,closed,2018-08-16,470.69,15,2019-11-01,551.32,21,442
MARICO,closed,2018-05-18,318.2,20,2019-12-03,348.3,22,564
HAVELLS,closed,2018-06-18,547.35,17,2019-12-03,670.0,21,533
UNITDSPR,closed,2019-08-28,599.8,19,2020-01-02,593.7,30,127
SHRIRAMFIN,closed,2019-11-01,228.82,20,2020-01-02,232.09,,62
NESTLEIND,closed,2018-03-16,384.77,15,2020-01-02,736.47,,657
SHREECEM,closed,2018-12-21,17145.9,18,2020-01-02,21232.2,,377
TORNTPHARM,closed,2019-01-22,958.83,3,2020-01-02,932.83,27,345
ACC,closed,2019-04-25,1623.0,18,2020-01-02,1493.05,,252
ICICIPRULI,closed,2019-07-26,402.55,15,2020-01-02,486.45,,160
HINDPETRO,closed,2019-08-28,176.7,15,2020-01-02,179.67,25,127
IDFCFIRSTB,closed,2019-11-01,43.9,14,2020-01-02,46.15,26,62
DLF,closed,2019-11-01,185.15,16,2020-01-31,260.45,,91
UPL,closed,2018-11-21,498.33,13,2020-03-02,493.39,26,467
COLPAL,closed,2019-07-26,1160.8,20,2020-03-02,1295.35,22,220
BAJAJHLDNG,closed,2019-01-22,2956.95,13,2020-04-01,1754.55,34,435
PFC,closed,2019-02-20,87.04,15,2020-04-01,71.12,24,406
NMDC,closed,2019-12-03,36.03,15,2020-04-01,26.18,23,120
RECLTD,closed,2020-01-02,109.09,11,2020-05-07,68.7,31,126
INDIGO,closed,2018-11-21,1046.95,20,2020-06-08,1117.3,36,565
GODREJPROP,closed,2020-01-02,968.45,9,2020-06-08,815.3,24,158
ABFRL,closed,2020-01-02,240.9,18,2020-06-08,139.6,38,158
KANSAINER,closed,2020-01-31,332.9,20,2020-07-07,295.83,23,158
PETRONET,closed,2019-03-25,238.85,19,2020-09-03,239.1,35,528
UNITDSPR,closed,2020-03-02,657.45,11,2020-09-03,580.2,31,185
PIDILITIND,closed,2019-01-22,576.4,6,2020-09-03,724.58,23,590
HDFCAMC,closed,2020-01-02,1585.9,2,2020-09-03,1236.2,25,245
KANSAINER,closed,2020-08-05,295.17,17,2020-10-05,320.67,29,61
COLPAL,closed,2020-04-01,1242.5,12,2020-10-05,1452.0,22,187
