ticker,status,buy_date,buy_price,buy_momentum_rank,sell_date,sell_price,sell_momentum_rank,holding_days
BEL,closed,2017-02-09,47.41,1,2017-04-13,51.5,1,63
PETRONET,closed,2017-02-09,188.23,12,2017-04-13,212.23,14,63
OFSS,closed,2017-02-09,3687.1,15,2017-06-14,3635.55,11,125
PFC,closed,2017-02-09,108.36,9,2017-06-14,104.0,10,125
NHPC,closed,2017-02-09,30.9,10,2017-06-14,32.75,8,125
RECLTD,closed,2017-04-13,155.14,7,2017-06-14,138.71,7,62
BHEL,closed,2017-04-13,115.53,9,2017-08-14,84.3,46,123
TATAPOWER,closed,2017-04-13,84.7,36,2017-08-14,79.55,34,123
HINDPETRO,closed,2017-02-09,256.4,3,2017-08-14,292.4,22,186
UNITDSPR,closed,2017-02-09,451.28,5,2017-08-14,494.99,26,186
MAHABANK,closed,2017-02-09,33.45,24,2017-08-14,26.65,47,186
OIL,closed,2017-04-13,148.8,13,2017-08-14,124.47,45,123
COLPAL,closed,2017-06-14,1072.9,18,2017-08-14,1047.1,16,61
CUMMINSIND,closed,2017-06-14,919.75,29,2017-08-14,886.8,33,61
ACC,closed,2017-06-14,1597.9,31,2017-10-16,1789.7,12,124
INDIGO,closed,2017-08-14,1284.95,2,2017-10-16,1121.45,30,63
BAJAJFINSV,closed,2017-08-14,522.21,4,2017-10-16,535.43,14,63
BRITANNIA,closed,2017-08-14,2080.0,9,2017-10-16,2270.05,7,63
DLF,closed,2017-08-14,181.65,11,2017-10-16,172.95,22,63
LICHSGFIN,closed,2017-08-14,657.2,17,2017-12-14,545.1,49,122
MOTHERSON,closed,2017-02-09,68.91,4,2017-12-14,110.33,21,308
TORNTPHARM,closed,2017-06-14,617.0,43,2017-12-14,661.63,29,183
PETRONET,closed,2017-08-14,217.4,21,2017-12-14,249.3,23,122
COLPAL,closed,2017-10-16,1063.45,25,2017-12-14,1057.75,32,59
CUMMINSIND,closed,2017-10-16,898.55,38,2018-02-15,842.1,,122
LTF,closed,2017-02-09,107.1,20,2018-02-15,166.1,34,371
M&MFIN,closed,2017-08-14,259.22,5,2018-02-15,277.26,26,185
VEDL,closed,2017-10-16,125.54,5,2018-02-15,121.5,18,122
TITAN,closed,2017-10-16,627.45,9,2018-02-15,814.85,,122
TATASTEEL,closed,2017-12-14,68.55,4,2018-02-15,70.06,,63
BRITANNIA,closed,2017-12-14,2347.43,5,2018-02-15,2377.88,14,63
TATAPOWER,closed,2017-12-14,90.5,22,2018-04-19,86.8,,126
