ticker,status,buy_date,buy_price,buy_momentum_rank,sell_date,sell_price,sell_momentum_rank,holding_days
SAIL,closed,2026-05-11,180.72,5,2026-07-22,161.98,11,72
TORNTPOWER,closed,2026-05-11,1675.0981913571725,10,2026-07-22,1433.1,18,72
HINDCOPPER,open,2026-05-11,572.9,1,,480.25,,80
NATIONALUM,open,2026-05-11,393.05,2,,347.65,,80
HDFCAMC,open,2026-05-11,2688.3990962780927,3,,2546.3,,80
MAHABANK,open,2026-05-11,80.19717146433041,4,,79.26,,80
FEDERALBNK,open,2026-05-11,292.45,6,,354.15,,80
LAURUSLABS,open,2026-05-11,1266.8,7,,1781.3,,80
M&MFIN,open,2026-05-11,329.6336144931788,9,,392.55,,80
COFORGE,open,2026-05-11,1375.2,42,,1746.9,,80
RBLBANK,open,2026-05-25,343.35,9,,378.05,,66
NAM-INDIA,open,2026-06-23,1155.979039225851,7,,1146.9,,37
KALYANKJIL,open,2026-07-22,596.1,9,,634.6,,8
BIOCON,open,2026-07-22,437.95,12,,425.35,,8
