ticker,status,buy_date,buy_price,buy_momentum_rank,sell_date,sell_price,sell_momentum_rank,holding_days
PIIND,closed,2016-11-21,746.1663556795914,17,2017-01-02,826.85,22,42
TATACHEM,closed,2016-11-21,431.47644725715395,34,2017-01-02,506.95,25,42
APOLLOTYRE,closed,2016-11-21,168.1889088930207,10,2017-01-02,185.85,,42
IOC,closed,2016-11-21,52.29097221319468,1,2017-01-02,109.15,,42
GRASIM,closed,2016-11-21,775.4352665194674,2,2017-01-02,869.84,,42
CROMPTON,closed,2016-11-21,145.53196261671923,23,2017-01-02,149.15,,42
NATCOPHARM,closed,2016-11-21,536.9135624863662,30,2017-01-02,584.6,,42
OBEROIRLTY,closed,2016-11-21,253.32398020396906,31,2017-01-02,311.9,,42
ASHOKLEY,closed,2016-11-21,34.14069800030252,35,2017-01-02,40.5,,42
SUPREMEIND,closed,2016-11-21,763.2539913517822,39,2017-01-02,897.25,,42
IIFL,closed,2016-11-21,219.48459871346518,43,2017-01-02,127.66,,42
MUTHOOTFIN,closed,2016-11-21,243.30194988815856,45,2017-01-02,285.2,,42
VOLTAS,closed,2016-11-21,293.0880828867246,46,2017-01-02,328.4,,42
GODREJPROP,closed,2016-11-21,292.3369251491245,47,2017-01-02,313.7,,42
JSWENERGY,closed,2016-11-21,51.66653855499216,50,2017-01-16,64.85,,56
PVRINOX,closed,2016-12-05,1065.0068974294256,31,2017-01-16,1226.5,,42
CGPOWER,closed,2016-12-05,67.51908759377942,46,2017-01-16,64.8,,42
WHIRLPOOL,closed,2016-12-19,870.4432116348903,25,2017-01-16,906.9,,28
TATACOMM,closed,2017-01-02,629.25,10,2017-01-16,675.65,14,14
CRISIL,closed,2017-01-02,2205.4,12,2017-01-16,2161.05,18,14
TVSMOTOR,closed,2017-01-02,367.65,19,2017-01-16,382.75,24,14
ALKEM,closed,2017-01-02,1622.25,20,2017-01-16,1667.45,23,14
BAJAJHLDNG,closed,2017-01-02,1825.65,21,2017-01-16,1897.6,32,14
MFSL,closed,2017-01-02,557.55,26,2017-01-16,557.75,28,14
SIEMENS,closed,2017-01-02,556.8,41,2017-01-31,570.02,35,29
BERGEPAINT,closed,2017-01-02,176.29,46,2017-02-14,185.96,35,43
MRPL,closed,2017-01-02,99.15,6,2017-02-14,105.7,11,43
BAYERCROP,closed,2017-01-02,4206.55,17,2017-03-01,3916.95,33,58
MRF,closed,2017-01-02,49084.4,29,2017-03-01,52819.4,37,58
TATACOMM,closed,2017-01-31,706.6,13,2017-03-01,743.15,23,29
EMAMILTD,closed,2017-01-02,486.2,32,2017-03-16,524.17,28,73
NATIONALUM,closed,2017-01-16,69.85,6,2017-03-30,74.35,8,73
PNBHOUSING,closed,2017-02-14,914.4,28,2017-03-30,936.38,39,44
BAJAJHLDNG,closed,2017-03-01,2105.45,34,2017-04-17,2123.55,28,47
TATACOMM,closed,2017-03-16,776.45,15,2017-04-17,707.8,25,32
ABB,closed,2017-01-02,1036.9,37,2017-04-17,1456.8,7,105
RPOWER,closed,2017-01-02,41.9,42,2017-04-17,47.85,34,105
HAVELLS,closed,2017-01-02,341.85,44,2017-04-17,487.45,4,105
PCJEWELLER,closed,2017-01-16,19.92,1,2017-04-17,21.0,38,91
BIOCON,closed,2017-01-16,166.33,2,2017-04-17,185.15,27,91
CONCOR,closed,2017-01-16,306.52,3,2017-04-17,378.8,11,91
BHARATFORG,closed,2017-01-16,467.83,5,2017-04-17,529.85,26,91
SAIL,closed,2017-01-16,59.0,7,2017-04-17,61.25,32,91
CASTROLIND,closed,2017-01-16,199.18,12,2017-05-02,218.05,33,106
ALKEM,closed,2017-02-14,1874.25,20,2017-05-02,1992.2,14,77
MRF,closed,2017-03-30,59823.6,26,2017-05-02,68372.5,5,33
VAKRANGEE,closed,2017-01-16,146.9,4,2017-05-02,170.55,27,106
SUZLON,closed,2017-04-17,17.35,6,2017-05-16,17.22,18,29
SUNTV,closed,2017-01-16,527.1,9,2017-05-16,894.7,7,120
IGL,closed,2017-03-01,105.02,1,2017-05-16,100.58,42,76
SUNDARMFIN,closed,2017-04-17,1622.35,3,2017-05-16,1524.95,28,29
GODREJIND,closed,2017-04-17,529.5,17,2017-05-16,584.8,21,29
FORTIS,closed,2017-05-02,226.8,18,2017-05-30,198.15,32,28
GMRAIRPORT,closed,2017-04-17,16.1,10,2017-05-30,15.0,35,43
EXIDEIND,closed,2017-04-17,230.75,14,2017-05-30,227.35,24,43
ABFRL,closed,2017-04-17,173.55,15,2017-05-30,169.35,22,43
AIAENG,closed,2017-04-17,1524.75,19,2017-06-13,1350.1,45,57
KANSAINER,closed,2017-05-16,285.1,8,2017-06-13,280.17,18,28
DISHTV,closed,2017-05-16,98.84125144843568,23,2017-06-28,74.57572421784472,50,43
CONCOR,closed,2017-05-02,383.87,11,2017-06-28,362.27,15,57
TATACHEM,closed,2017-04-17,629.55,16,2017-06-28,597.5,29,72
MRF,closed,2017-05-16,66093.4,4,2017-06-28,68915.8,13,43
ABFRL,closed,2017-06-13,182.45,9,2017-07-12,177.55,23,29
CHOLAFIN,closed,2017-06-13,218.81,13,2017-07-12,222.23,26,29
INDHOTEL,closed,2017-04-17,119.61,5,2017-07-12,124.95,24,86
MRPL,closed,2017-05-02,129.25,8,2017-07-26,121.05,33,85
RAMCOCEM,closed,2017-06-28,682.65,23,2017-07-26,669.65,35,28
BAYERCROP,closed,2017-05-30,4515.55,11,2017-08-09,4296.15,36,71
FEDERALBNK,closed,2017-03-01,88.05,15,2017-08-09,108.3,33,161
GMRAIRPORT,closed,2017-06-28,19.3,10,2017-08-09,16.95,20,42
INDHOTEL,closed,2017-07-26,124.25,21,2017-08-24,110.9,48,29
PNBHOUSING,closed,2017-04-17,1035.85,1,2017-08-24,1275.94,7,129
GODREJIND,closed,2017-05-30,610.2,10,2017-09-08,632.2,20,101
PIDILITIND,closed,2017-05-30,382.95,19,2017-09-08,421.83,14,101
GMRAIRPORT,closed,2017-08-24,17.25,10,2017-09-22,16.75,48,29
