ticker,status,buy_date,buy_price,buy_momentum_rank,sell_date,sell_price,sell_momentum_rank,holding_days
ENGINERSIN,closed,2017-02-09,158.95,1,2017-04-13,157.85,1,63
CROMPTON,closed,2017-02-09,197.85,14,2017-04-13,214.8,16,63
STAR,closed,2017-02-09,1205.35,20,2017-06-14,930.8,44,125
SANOFI,closed,2017-02-09,4143.15,23,2017-06-14,4067.85,36,125
BALKRISIND,closed,2017-02-09,592.25,7,2017-06-14,774.48,18,125
PVRINOX,closed,2017-02-09,1282.9,24,2017-08-14,1288.0,33,186
SUPREMEIND,closed,2017-02-09,985.8,25,2017-08-14,1073.45,25,186
SYMPHONY,closed,2017-02-09,1349.6,2,2017-08-14,1237.55,43,186
NATCOPHARM,closed,2017-02-09,751.75,11,2017-08-14,738.45,35,186
CESC,closed,2017-04-13,82.94,3,2017-08-14,94.13,20,123
ADANIENT,closed,2017-04-13,113.28,5,2017-08-14,113.09,15,123
MUTHOOTFIN,closed,2017-06-14,476.9,5,2017-10-16,503.35,12,124
GODREJPROP,closed,2017-06-14,551.5,6,2017-10-16,640.55,5,124
MGL,closed,2017-02-09,921.4,3,2017-10-16,1166.6,15,249
QUESS,closed,2017-04-13,751.15,10,2017-10-16,835.3,19,186
EMBDL,closed,2017-08-14,227.75,1,2017-10-16,208.25,1,63
THOMASCOOK,closed,2017-08-14,218.6,21,2017-12-14,236.2,34,122
SPARC,closed,2017-08-14,335.1,26,2017-12-14,437.7,4,122
POONAWALLA,closed,2017-08-14,175.6,3,2017-12-14,159.1,33,122
COROMANDEL,closed,2017-08-14,425.35,14,2017-12-14,500.75,23,122
APOLLOHOSP,closed,2017-08-14,1191.25,38,2017-12-14,1206.9,46,122
ASHOKLEY,closed,2017-10-16,63.73,3,2017-12-14,56.03,19,59
TORNTPOWER,closed,2017-10-16,234.75,24,2017-12-14,263.45,5,59
SRF,closed,2017-10-16,344.65,30,2018-02-15,380.01,,122
ENDURANCE,closed,2017-06-14,889.55,12,2018-02-15,1237.05,,246
LTTS,closed,2017-10-16,792.45,29,2018-02-15,1452.95,,122
PFIZER,closed,2017-10-16,1737.85,41,2018-02-15,2315.5,,122
WHIRLPOOL,closed,2017-12-14,1475.7,9,2018-02-15,1440.85,,63
ABREL,closed,2017-12-14,1318.85,12,2018-02-15,1250.15,39,63
THERMAX,closed,2017-12-14,1160.5,17,2018-02-15,1171.7,10,63
SYNGENE,closed,2017-12-14,270.33,22,2018-04-19,325.27,,126
