ticker,base_date,base_price,doubled_date,doubled_price,multiple
INSPIRISYS,2023-10-03,60.0,2024-08-01,185.73,3.1
SONATSOFTW,2023-07-04,235.49,2023-12-12,722.83,3.07
21STCENMGM,2023-07-04,22.4,2025-04-01,67.9,3.03
PIGL,2023-12-11,47.2,2025-12-08,140.66,2.98
WIPRO,2023-07-04,86.65,2024-12-03,256.4,2.96
BEDMUTHA,2023-07-04,65.75,2024-01-01,189.8,2.89
PRAENG,2023-07-04,11.2,2024-06-18,31.92,2.85
MEGASOFT,2023-07-04,29.5,2024-02-19,83.45,2.83
LICI,2023-07-04,141.33,2026-05-29,392.72,2.78
AWHCL,2023-07-04,306.7,2024-08-01,803.0,2.62
LALPATHLAB,2023-07-04,531.25,2025-12-19,1378.03,2.59
AXISCADES,2023-10-09,576.15,2025-09-09,1474.9,2.56
RPPINFRA,2023-07-04,57.45,2024-06-24,146.35,2.55
JBCHEPHARM,2023-07-04,553.59,2023-09-18,1408.07,2.54
TEMBO,2023-09-11,243.4,2025-08-25,614.2,2.52
EIMCOELECO,2023-09-11,953.3,2024-04-29,2351.15,2.47
MANAKALUCO,2023-07-04,21.95,2026-01-14,53.97,2.46
CAREERP,2023-07-04,221.35,2024-08-01,538.15,2.43
A2ZINFRA,2023-08-16,7.8,2024-10-14,18.91,2.42
FSL,2023-07-04,116.94,2024-08-01,281.99,2.41
SUZLON,2023-07-04,18.3,2024-01-15,43.85,2.4
DHANBANK,2023-07-04,18.25,2024-01-15,43.55,2.39
TIPSINDLTD,2023-07-04,266.85,2024-08-01,637.55,2.39
RVNL,2023-07-04,119.93,2024-01-19,286.43,2.39
HDFCBANK,2023-07-04,396.13,2025-08-26,941.98,2.38
PIDILITIND,2023-07-04,626.6,2025-09-23,1489.3,2.38
CUBEXTUB,2023-09-11,41.85,2024-09-16,99.0,2.37
ABINFRA,2025-01-13,90.69,2025-09-09,215.0,2.37
PPL,2023-07-04,171.45,2023-10-16,405.1,2.36
KOVAI,2023-07-04,2331.05,2026-04-20,5487.9,2.35
ONGC,2023-07-04,119.13,2024-08-01,277.36,2.33
MASKINVEST,2024-04-08,66.85,2025-08-04,155.56,2.33
URJA,2023-07-04,10.2,2024-01-25,23.75,2.33
AVG,2023-07-04,267.9,2024-02-26,622.45,2.32
ITDC,2023-07-04,328.15,2024-02-01,762.65,2.32
SHRADHA,2023-09-25,49.8,2024-06-20,115.65,2.32
ARVEE,2023-10-03,109.5,2024-04-08,253.5,2.32
FACT,2023-07-04,468.7,2024-06-20,1087.32,2.32
ZENITHEXPO,2023-10-09,110.0,2024-06-10,254.04,2.31
GMDCLTD,2023-07-04,151.25,2023-10-10,349.63,2.31
SALSTEEL,2023-07-04,15.9,2026-03-30,36.8,2.31
MOKSH,2023-07-04,11.0,2024-02-26,25.45,2.31
HARRMALAYA,2023-07-04,138.6,2024-12-16,318.45,2.3
MCL,2023-07-04,27.8,2024-12-03,63.84,2.3
LUMAXTECH,2023-07-04,352.45,2025-05-30,811.55,2.3
DYCL,2023-07-04,358.3,2024-10-29,819.95,2.29
SUBROS,2023-07-04,432.6,2025-06-16,987.9,2.28
TRF,2023-07-04,172.35,2024-02-08,393.2,2.28
WEWIN,2023-07-04,46.3,2024-04-08,104.95,2.27
JPPOWER,2023-07-04,6.25,2023-11-07,14.2,2.27
PAVNAIND,2023-07-04,317.95,2024-10-11,722.5,2.27
PARAS,2023-07-04,615.05,2024-06-18,1388.25,2.26
JPASSOCIAT,2023-07-04,8.1,2023-11-02,18.3,2.26
DPSCLTD,2023-07-04,11.6,2023-11-13,26.25,2.26
LINCOLN,2023-07-04,406.7,2024-12-04,914.3,2.25
LFIC,2023-07-04,138.95,2024-09-30,312.54,2.25
JUBLPHARMA,2023-07-04,376.77,2024-08-01,848.96,2.25
IRB,2023-07-04,6.48,2024-01-29,14.53,2.24
INDOBORAX,2023-07-04,130.15,2025-07-24,291.66,2.24
MINDACORP,2023-07-04,279.24,2024-08-23,626.4,2.24
SMLISUZU,2023-07-04,1073.25,2024-02-26,2408.95,2.24
SVLL,2023-07-04,175.05,2025-03-03,391.35,2.24
UNICHEMLAB,2023-07-04,381.8,2024-10-22,855.75,2.24
LGHL,2024-01-31,192.25,2024-12-10,428.6,2.23
TIIL,2023-07-04,1597.15,2024-08-01,3568.8,2.23
BHARATWIRE,2023-07-04,171.4,2024-01-10,382.95,2.23
TFCILTD,2023-07-04,76.75,2024-01-15,171.1,2.23
ICIL,2023-07-04,200.1,2024-07-01,446.9,2.23
SOMICONVEY,2023-10-23,77.15,2024-06-20,171.85,2.23
INDOWIND,2023-07-04,10.2,2024-04-23,22.7,2.23
ICEMAKE,2023-07-04,388.05,2024-06-12,861.45,2.22
INDIANHUME,2023-07-04,226.1,2024-08-01,501.6,2.22
GIPCL,2023-07-04,100.65,2024-01-29,223.85,2.22
MANOMAY,2023-08-16,132.05,2024-08-01,292.25,2.21
DREDGECORP,2023-07-04,338.75,2024-01-15,748.4,2.21
ARTEMISMED,2023-07-04,119.3,2024-08-01,263.45,2.21
DHUNINV,2023-07-04,714.5,2024-01-30,1576.8,2.21
INCREDIBLE,2023-07-04,23.95,2024-08-07,53.02,2.21
NARMADA,2023-07-04,19.75,2026-06-10,43.56,2.21
COMSYN,2024-01-23,84.7,2026-02-16,187.28,2.21
GRAVITA,2023-07-04,599.62,2024-06-12,1323.98,2.21
SALASAR,2023-07-04,48.75,2024-01-23,107.8,2.21
ATULAUTO,2023-07-04,340.3,2024-07-01,752.25,2.21
VLEGOV,2023-08-29,39.5,2024-08-01,87.36,2.21
NDL,2023-07-04,19.85,2024-04-12,43.65,2.2
ZUARI,2023-07-04,152.1,2025-07-31,334.54,2.2
NOIDATOLL,2023-07-04,6.75,2024-11-01,14.84,2.2
KEC,2023-07-04,557.22,2024-12-04,1224.9,2.2
PNBGILTS,2023-07-04,61.5,2024-06-25,135.27,2.2
GRSE,2023-07-04,537.63,2024-05-21,1182.9,2.2
BAFNAPH,2025-07-01,88.23,2026-06-08,193.97,2.2
SILGO,2023-07-04,20.85,2024-09-17,45.75,2.19
GAYAHWS,2023-11-06,0.9,2026-01-28,1.97,2.19
FORCEMOT,2023-07-04,2591.57,2024-02-19,5666.29,2.19
AUSOMENT,2023-07-04,61.35,2024-10-07,134.24,2.19
HITECH,2023-07-04,77.05,2024-02-19,168.55,2.19
JBMA,2023-07-04,365.06,2025-01-31,799.41,2.19
JINDRILL,2023-07-04,346.4,2023-11-21,756.9,2.19
SEAMECLTD,2023-07-04,710.5,2024-08-01,1556.8,2.19
MARINE,2023-07-04,48.6,2024-01-31,106.5,2.19
ZUARIIND,2023-07-04,147.35,2024-02-21,322.4,2.19
INFIBEAM,2023-07-04,15.9,2024-01-29,34.9,2.19
PRECWIRE,2023-07-04,88.15,2024-08-26,193.4,2.19
MAZDOCK,2023-07-04,307.66,2024-05-17,671.3,2.18
PFOCUS,2023-07-04,127.3,2026-02-09,277.32,2.18
IDBI,2023-07-04,52.54,2026-01-02,114.73,2.18
ADANIPOWER,2023-07-04,9.88,2023-12-05,21.53,2.18
ELECON,2023-07-04,151.13,2024-06-12,329.99,2.18
SHAKTIPUMP,2023-07-04,584.55,2024-01-29,1271.1,2.17
TCPLPACK,2023-07-04,1416.5,2024-08-01,3067.25,2.17
ABAN,2023-07-04,40.45,2024-01-30,87.65,2.17
TPLPLASTEH,2023-10-03,46.35,2024-04-22,100.6,2.17
IITL,2023-07-04,117.05,2024-08-07,253.73,2.17
AAKASH,2023-10-23,6.45,2023-12-11,14.0,2.17
SEPC,2023-07-04,10.15,2023-11-02,22.0,2.17
HSCL,2023-07-04,127.73,2023-09-05,277.54,2.17
DIGISPICE,2023-07-04,20.9,2024-06-28,45.39,2.17
OPTIEMUS,2023-07-04,210.2,2024-08-01,456.75,2.17
SHILPAMED,2023-07-04,304.5,2024-07-05,660.2,2.17
PRAKASH,2023-07-04,74.4,2023-10-10,160.5,2.16
UNIINFO,2023-07-04,24.0,2024-02-20,51.9,2.16
NECLIFE,2023-07-04,19.95,2024-02-16,43.15,2.16
PIXTRANS,2023-07-04,934.35,2024-11-11,2019.6,2.16
SURAJEST,2023-12-26,334.5,2024-10-08,723.65,2.16
CHAMBLFERT,2023-07-04,239.79,2024-06-20,518.35,2.16
MUKTAARTS,2023-07-04,51.5,2024-09-26,111.12,2.16
ESSARSHPNG,2023-12-04,20.8,2024-06-11,45.0,2.16
GRWRHITECH,2023-07-04,881.9,2024-02-08,1906.5,2.16
GRANULES,2023-07-04,291.08,2024-08-01,627.66,2.16
CAPTRUST,2023-07-04,72.45,2024-08-20,156.38,2.16
VAKRANGEE,2023-07-04,16.55,2024-09-30,35.73,2.16
SMSLIFE,2023-07-04,524.35,2024-08-09,1133.25,2.16
GULFPETRO,2023-07-04,39.25,2024-03-04,84.85,2.16
ADANIPORTS,2023-07-04,712.56,2024-06-03,1542.25,2.16
DEEPAKFERT,2023-07-04,561.28,2024-10-29,1214.49,2.16
JUBLCPL,2025-03-03,1203.0,2025-08-11,2602.1,2.16
AAREYDRUGS,2023-07-04,33.7,2024-08-29,72.85,2.16
ATLANTAELE,2025-09-29,823.35,2026-04-24,1778.5,2.16
LIBERTSHOE,2023-07-04,236.95,2024-08-01,512.95,2.16
GMRP&UI,2023-07-04,19.5,2023-09-15,42.05,2.16
BHAGYANGR,2023-07-04,55.55,2024-02-06,119.4,2.15
JAICORPLTD,2023-07-04,169.95,2023-10-19,364.55,2.15
DLINKINDIA,2023-07-04,260.8,2024-07-03,559.65,2.15
RELIABLE,2024-10-28,69.28,2025-08-28,149.01,2.15
ZAGGLE,2023-09-22,158.35,2024-02-26,340.5,2.15
BANG,2023-07-04,41.0,2024-12-05,87.95,2.15
IDEA,2023-07-04,7.45,2023-12-29,16.0,2.15
CDSL,2023-07-04,269.25,2024-06-28,577.63,2.15
CASTROLIND,2023-07-04,96.39,2024-07-03,206.81,2.15
LSIL,2023-07-04,25.9,2023-08-04,55.65,2.15
JGCHEM,2024-03-13,184.8,2024-08-20,397.1,2.15
DECCANCE,2023-07-04,500.25,2025-07-16,1075.0,2.15
HCC,2023-07-04,21.3,2024-01-31,45.7,2.15
ENIL,2023-07-04,132.95,2024-02-05,283.9,2.14
NEXTMEDIA,2023-07-04,4.95,2024-11-22,10.58,2.14
SALZERELEC,2023-07-04,356.6,2024-02-26,763.6,2.14
PANACEABIO,2023-07-04,126.7,2024-09-09,270.51,2.14
NFL,2023-07-04,70.5,2024-06-20,150.91,2.14
DEEPENR,2023-11-07,148.6,2024-09-04,317.61,2.14
CHEMFAB,2023-07-04,324.2,2024-03-11,694.55,2.14
CUB,2023-07-04,68.12,2025-11-04,145.49,2.14
GREENPLY,2023-07-04,174.4,2024-08-01,372.75,2.14
KEYFINSERV,2023-07-04,94.8,2024-02-12,203.2,2.14
TNTELE,2023-11-22,8.95,2025-07-03,19.18,2.14
RITCO,2023-07-04,169.0,2024-08-01,362.35,2.14
KRIDHANINF,2024-01-01,3.55,2024-12-10,7.6,2.14
ALOKINDS,2023-07-04,16.6,2024-01-08,35.5,2.14
MOHITIND,2023-07-04,14.6,2024-06-24,31.24,2.14
TCIFINANCE,2024-06-03,7.6,2025-06-13,16.28,2.14
HINDMOTORS,2023-07-04,14.6,2024-04-23,31.2,2.14
BAJAJINDEF,2025-03-10,237.83,2025-06-30,506.12,2.13
PITTIENG,2023-07-04,375.6,2024-02-27,798.45,2.13
STOVEKRAFT,2023-07-04,439.2,2024-09-16,937.4,2.13
SANGINITA,2023-07-04,19.1,2024-01-02,40.65,2.13
AARTIPHARM,2023-07-04,372.0,2025-02-17,791.0,2.13
MITCON,2023-07-04,73.25,2024-06-18,156.3,2.13
SANDESH,2023-07-04,926.0,2024-09-11,1969.2,2.13
INDBANK,2023-07-04,27.8,2024-02-06,59.1,2.13
GODFRYPHLP,2023-07-04,183.32,2024-03-11,390.61,2.13
BLAL,2023-07-04,161.45,2024-02-05,343.55,2.13
