ticker,base_date,base_price,tripled_date,tripled_price,multiple
RPOWER,2023-07-04,14.65,2024-09-26,44.15,3.01
INDIAGLYCO,2023-07-04,627.95,2025-05-27,1892.8,3.01
UFBL,2025-10-13,230.32,2026-06-23,693.5,3.01
HSCL,2023-07-04,127.73,2024-01-05,384.88,3.01
STYRENIX,2023-07-04,1087.6,2025-06-03,3272.2,3.01
WELINV,2023-10-09,562.0,2026-05-11,1692.0,3.01
DOLATALGO,2023-07-04,44.7,2024-05-06,134.35,3.01
CUMMINSIND,2023-07-04,1758.2,2026-04-29,5288.0,3.01
INDOBORAX,2023-07-04,130.15,2026-07-02,391.6,3.01
BLISSGVS,2023-07-04,78.7,2026-04-06,237.28,3.01
RAMCOSYS,2023-07-04,263.6,2026-06-29,793.2,3.01
MANGCHEFER,2023-07-04,106.4,2025-07-23,320.0,3.01
TVSMOTOR,2023-07-04,1273.92,2026-01-05,3837.33,3.01
ANANTRAJ,2023-07-04,176.67,2024-08-01,531.92,3.01
SKYGOLD,2023-10-09,413.5,2023-12-07,1241.3,3.0
GOLDIAM,2023-07-04,128.5,2024-09-13,385.85,3.0
OIL,2023-07-04,93.09,2024-06-26,279.37,3.0
MOTHERSON,2023-07-04,37.15,2025-11-19,111.47,3.0
GMRP&UI,2023-07-04,19.5,2024-02-07,58.55,3.0
MSTCLTD,2023-07-04,336.6,2024-01-29,1010.75,3.0
BAJAJCON,2023-07-04,191.7,2026-06-08,575.35,3.0
ATHERENERG,2025-05-06,302.3,2026-04-13,907.85,3.0
MCX,2023-07-04,57.81,2024-08-01,173.43,3.0
SKIPPER,2023-07-04,166.85,2024-10-08,501.05,3.0
GVKPIL,2023-07-04,2.75,2023-09-18,8.25,3.0
PARSVNATH,2023-07-04,8.35,2025-04-15,25.08,3.0
VEDL,2023-07-04,183.67,2025-12-17,551.23,3.0
GULFOILLUB,2023-07-04,470.0,2024-08-22,1411.95,3.0
SMLISUZU,2023-07-04,1073.25,2025-07-14,3225.0,3.0
PGIL,2023-07-04,598.75,2026-02-09,1796.4,3.0
MAHABANK,2023-07-04,25.89,2026-04-21,77.79,3.0
GENESYS,2023-07-04,299.4,2024-11-27,898.2,3.0
QUICKHEAL,2023-07-04,162.75,2024-01-18,488.95,3.0
SOBHA,2023-07-04,536.13,2024-02-27,1610.42,3.0
BALAJITELE,2023-07-04,42.8,2024-02-08,128.4,3.0
WINDLAS,2023-07-04,297.75,2024-09-04,894.4,3.0
