ticker,base_date,base_price,tripled_date,tripled_price,multiple
NITCO,2023-07-04,18.05,2024-06-18,88.11,4.88
MAHASTEEL,2023-09-25,73.5,2025-08-25,356.45,4.85
PHOENIXLTD,2023-07-04,393.91,2024-09-20,1838.14,4.67
INDOTECH,2024-01-01,695.5,2024-12-16,3230.95,4.65
NEWGEN,2023-07-04,163.34,2024-02-12,757.2,4.64
HUBTOWN,2023-09-18,56.4,2024-08-01,259.63,4.6
RITES,2023-07-04,78.04,2024-09-20,340.86,4.37
PANACHE,2023-07-04,61.45,2025-09-08,260.53,4.24
CROWN,2023-09-25,51.45,2024-12-30,216.2,4.2
SIMPLEXINF,2023-07-04,33.75,2024-08-01,141.0,4.18
MACPOWER,2023-07-04,316.9,2024-05-13,1325.05,4.18
ELECON,2023-07-04,151.13,2024-08-01,627.73,4.15
PATANJALI,2023-11-01,144.73,2025-09-11,590.91,4.08
MTNL,2023-07-04,19.8,2024-08-01,79.05,3.99
REMSONSIND,2023-07-04,238.65,2024-04-23,941.9,3.95
SHAKTIPUMP,2023-07-04,584.55,2024-05-13,2261.85,3.87
ECLERX,2023-07-04,409.81,2026-03-13,1576.6,3.85
RPPINFRA,2023-07-04,57.45,2024-08-01,212.82,3.7
OILCOUNTUB,2023-12-04,22.6,2025-02-03,82.83,3.67
BPCL,2023-07-04,66.79,2024-06-21,244.67,3.66
WEALTH,2023-07-04,329.95,2024-08-01,1185.1,3.59
POCL,2023-07-04,409.75,2024-08-01,1459.85,3.56
BIRLAMONEY,2023-07-04,60.35,2024-12-09,214.3,3.55
JINDALPHOT,2023-07-04,350.15,2025-09-01,1235.2,3.53
SUMIT,2023-10-23,30.75,2025-02-17,108.11,3.52
ITI,2023-07-04,107.25,2024-01-16,373.85,3.49
NDGL,2023-08-16,1602.55,2024-10-11,5572.95,3.48
RTNPOWER,2023-07-04,5.2,2024-06-24,18.01,3.46
EMKAY,2023-07-04,73.95,2025-07-14,255.63,3.46
PCJEWELLER,2023-07-04,27.05,2024-08-01,93.66,3.46
CCHHL,2023-07-04,7.15,2024-07-03,24.64,3.45
SAMBHAAV,2023-07-04,3.15,2025-11-19,10.83,3.44
CHOICEIN,2023-07-04,84.43,2024-02-20,289.55,3.43
TRIL,2023-07-04,96.5,2024-01-24,331.1,3.43
LCCINFOTEC,2023-11-06,1.75,2025-06-09,6.01,3.43
WOCKPHARMA,2023-07-04,241.1,2024-07-01,823.9,3.42
ANIKINDS,2023-07-04,31.15,2025-01-20,106.39,3.42
GLOBALVECT,2023-07-04,72.3,2025-03-25,246.96,3.42
NILASPACES,2023-07-04,3.55,2025-05-19,12.09,3.41
ASHOKLEY,2023-07-04,34.86,2025-07-16,118.84,3.41
IRB,2023-07-04,6.48,2026-03-30,22.04,3.4
MTARTECH,2023-07-04,1896.8,2026-04-30,6457.1,3.4
BBOX,2023-07-04,140.4,2024-10-08,478.0,3.4
GLENMARK,2023-07-04,640.87,2025-07-11,2170.44,3.39
PTCIL,2023-07-04,4350.75,2024-06-14,14729.6,3.39
JSWHL,2023-07-04,4585.75,2024-11-08,15434.85,3.37
IFCI,2023-07-04,11.9,2024-01-23,40.0,3.36
MEGASOFT,2023-07-04,29.5,2024-02-22,98.75,3.35
MASKINVEST,2024-04-08,66.85,2025-10-16,223.72,3.35
GKWLIMITED,2023-10-09,1023.8,2024-08-01,3426.0,3.35
GRSE,2023-07-04,537.63,2024-06-18,1801.18,3.35
SCHNEIDER,2023-07-04,267.0,2024-05-21,891.8,3.34
HINDPETRO,2023-07-04,102.93,2024-08-01,343.75,3.34
SMSPHARMA,2023-07-04,91.3,2024-08-01,303.6,3.33
BHAGYANGR,2023-07-04,55.55,2026-04-09,184.97,3.33
ACE,2023-07-04,481.69,2024-04-01,1599.57,3.32
VIPULLTD,2023-07-04,13.8,2024-07-01,45.8,3.32
IWEL,2023-07-04,2139.95,2024-06-18,7097.55,3.32
SUPRIYA,2023-07-04,243.5,2024-11-22,806.85,3.31
KIOCL,2023-07-04,189.85,2025-10-06,627.6,3.31
PERSISTENT,2023-07-04,1191.55,2024-03-28,3930.77,3.3
PANACEABIO,2023-07-04,126.7,2024-12-31,418.6,3.3
MANAKCOAT,2023-07-04,18.0,2024-10-28,59.21,3.29
TBZ,2023-07-04,82.25,2024-09-09,270.37,3.29
PAISALO,2023-07-04,49.5,2024-02-19,162.7,3.29
GEOJITFSL,2023-07-04,47.7,2024-09-03,157.13,3.29
GRWRHITECH,2023-07-04,881.9,2024-08-08,2895.4,3.28
ASHAPURMIN,2023-07-04,124.4,2023-12-26,407.95,3.28
ZAGGLE,2023-09-22,158.35,2024-12-31,519.25,3.28
NSIL,2023-07-04,2368.75,2024-10-21,7753.0,3.27
HYBRIDFIN,2024-04-23,8.9,2025-10-20,29.11,3.27
DSSL,2023-07-04,481.6,2024-08-19,1575.0,3.27
SOFTTECH,2023-07-04,156.35,2024-12-11,510.05,3.26
PDMJEPAPER,2023-07-04,40.55,2024-07-02,132.36,3.26
BAGFILMS,2023-07-04,4.45,2024-01-04,14.5,3.26
RADAAN,2023-08-14,1.5,2025-06-11,4.89,3.26
BANCOINDIA,2023-07-04,303.85,2024-11-18,991.05,3.26
VASWANI,2023-07-04,21.0,2024-09-30,68.31,3.25
GMDCLTD,2023-07-04,151.25,2025-09-05,490.4,3.24
AYMSYNTEX,2023-07-04,76.6,2024-12-31,248.05,3.24
MOHITIND,2023-07-04,14.6,2024-12-23,47.22,3.23
NDL,2023-07-04,19.85,2024-09-09,64.1,3.23
INDOWIND,2023-07-04,10.2,2024-07-03,32.98,3.23
NBCC,2023-07-04,16.93,2024-01-29,54.62,3.23
SHARDAMOTR,2023-07-04,788.0,2024-07-01,2537.8,3.22
PVP,2023-10-03,11.1,2024-03-04,35.75,3.22
GRAVITA,2023-07-04,599.62,2024-08-14,1932.01,3.22
TIMETECHNO,2023-07-04,118.95,2024-08-14,382.35,3.21
OSWALAGRO,2023-07-04,30.15,2025-04-17,96.73,3.21
TDPOWERSYS,2023-07-04,241.45,2025-10-31,774.9,3.21
SVLL,2023-07-04,175.05,2025-04-21,561.55,3.21
PPL,2023-07-04,171.45,2024-08-14,549.3,3.2
ATLANTAA,2024-03-18,20.9,2025-10-06,66.78,3.2
HECPROJECT,2023-07-04,36.75,2024-06-12,117.66,3.2
WABAG,2023-07-04,474.65,2024-09-20,1518.7,3.2
STALLION,2025-02-05,103.99,2025-10-09,331.7,3.19
SEPC,2023-07-04,10.15,2024-09-10,32.33,3.19
SANSERA,2023-07-04,894.05,2026-05-21,2854.5,3.19
TIRUPATIFL,2024-04-15,18.15,2026-06-29,57.98,3.19
PCBL,2023-07-04,147.37,2024-08-23,469.52,3.19
OMAXAUTO,2023-08-16,50.9,2025-07-31,161.85,3.18
ACUTAAS,2025-06-02,1122.21,2026-06-29,3568.2,3.18
KFINTECH,2023-07-04,356.73,2024-08-27,1132.78,3.18
LUMAXIND,2023-07-04,2108.1,2026-02-11,6703.0,3.18
SRM,2024-04-19,199.8,2025-11-14,634.1,3.17
MARKSANS,2023-07-04,92.7,2024-09-16,293.71,3.17
SMSLIFE,2023-07-04,524.35,2025-04-21,1659.7,3.17
TORNTPOWER,2023-07-04,544.62,2024-08-01,1726.77,3.17
BEDMUTHA,2023-07-04,65.75,2024-01-02,208.75,3.17
DHANI,2023-07-04,32.9,2025-01-02,104.29,3.17
PFS,2023-07-04,19.8,2024-01-29,62.75,3.17
CENTURYTEX,2023-07-04,878.3,2024-09-12,2783.1,3.17
KICL,2023-07-04,1872.35,2024-06-24,5926.95,3.17
MUTHOOTFIN,2023-07-04,1158.12,2025-11-14,3663.39,3.16
KHAITANLTD,2023-07-04,50.25,2025-05-26,158.54,3.16
SUNDRMBRAK,2023-07-04,359.55,2024-08-26,1136.3,3.16
IZMO,2024-04-01,283.95,2025-12-02,898.3,3.16
TERASOFT,2023-09-25,40.55,2024-11-11,128.23,3.16
