ticker,status,candidate_ex_date,ratio_before,ratio_after,implied_factor,matched_action_type,matched_ratio,matched_factor,match_pct_diff,cv_before,cv_after,confidence,n_before,n_after
INDIAGLYCO,ok,2025-08-12,2.0,1.0,0.5,BONUS,1.0,0.5,0.0,4.116975482867024e-05,0.0,high,4764,207
JAGSNPHARM,ok,2025-01-08,2.5,1.0,0.4,BONUS,1.5,0.4,0.0,8.443335153944645e-17,0.0,high,4560,353
SIEMENS,ok,2025-04-07,1.8859417792989448,1.0,0.5302390619776857,BONUS,1.0,0.5,6.047812395537133,0.03225333776575924,0.0,low,4732,293
SKFINDIA,ok,2025-10-31,2.04017603584341,0.9761606770367721,0.4784688477302042,BONUS,1.0,0.5,4.306230453959159,1.238387797469303e-05,0.001974362496988692,low,4860,153
VSTIND,ok,2024-09-06,11.0,1.0,0.09090909090909091,SPLIT,10.0,0.1,9.090909090909093,4.836174641775521e-05,0.0,low,4577,437
BANCOINDIA,ok,2007-08-30,0.9998310810810812,2.0,2.0003378949146815,BONUS,0.3333333333333333,0.75,166.71171932195753,0.00020295618295344188,0.4768747339453005,low,163,4614
EIHAHOTELS,ok,2024-08-13,2.0,1.0,0.5,BONUS,1.0,0.5,0.0,0.06263257434514798,0.0,low,3882,454
NDTV,ok,2025-09-12,1.2598167539267016,1.0,0.7937662337662338,BONUS,0.3333333333333333,0.75,5.835497835497838,5.689563485693095e-05,0.0,low,4492,186
PATELENG,ok,2023-02-06,1.1621223231793048,1.0352220520673812,0.8908030001826718,BONUS,0.3333333333333333,0.75,18.773733357689572,0.0001073154383412058,0.012902713457205074,low,4134,749
SURYAROSNI,ok,2023-10-06,0.5000000000000001,1.0,1.9999999999999996,BONUS,0.3333333333333333,0.75,166.6666666666666,0.0001531594151178642,7.176015786710732e-06,low,4328,644
TIMETECHNO,ok,2008-10-29,0.9999155832013567,2.0,2.000168847850882,BONUS,0.3333333333333333,0.75,166.68917971345093,9.107644012646699e-05,0.09958960862855569,low,344,4325
ADVANIHOTR,ok,2007-12-03,10.0,2.0,0.2,BONUS,4.0,0.2,0.0,9.020654758418418e-05,0.16882076002390012,low,29,4077
BEPL,ok,2023-07-05,1.5,1.0,0.6666666666666666,BONUS,0.5,0.666667,4.99999750070014e-05,0.00018397217565599975,0.0,high,4018,709
BHARATRAS,ok,2025-12-12,4.0,1.0,0.25,BONUS,3.0,0.25,0.0,0.00010101065981451968,0.0,high,4456,124
JAYBARMARU,ok,2006-09-25,0.4,2.0,5.0,BONUS,0.3333333333333333,0.75,566.6666666666667,0.0002353587470512872,0.21660742753146844,low,176,4639
KAUSHALYA,ok,2024-03-04,0.01,1.0,100.0,BONUS,0.3333333333333333,0.75,13233.333333333334,1.6559346054850267e-16,0.0,low,3110,426
NAGREEKEXP,ok,2024-03-18,1.8184908225696803,1.0,0.5499065420560748,BONUS,1.0,0.5,9.981308411214961,0.00024721687477211995,0.0,low,3620,436
PETRONET,ok,2023-11-10,0.7207241311485716,0.9541739612206998,1.3239101064926106,BONUS,0.3333333333333333,0.75,76.52134753234809,0.06591861994938202,0.024496830921516433,low,4404,620
REDINGTON,ok,2022-07-14,0.7706113249141425,0.9302732051741562,1.2071885983219912,BONUS,0.3333333333333333,0.75,60.95847977626549,0.03824765139422517,0.03338106131171047,low,3799,948
SKMEGGPROD,ok,2026-01-12,2.0,1.0,0.5,BONUS,1.0,0.5,0.0,0.00041352662260141763,0.0,high,4413,104
