ticker,status,existing_ca_rows,candidate_ex_date,ratio_before,ratio_after,implied_factor,matched_action_type,matched_ratio,matched_factor,match_pct_diff,cv_before,cv_after,confidence,n_before,n_after
RAMCOIND,ok,0,2009-11-20,20.0,1.0,0.05,SPLIT,20.0,0.05,0.0,6.941481741849479e-05,0.0,high,893,4059
ROLEXRINGS,ok,1,2025-10-17,10.0,1.0,0.1,SPLIT,10.0,0.1,0.0,1.5802502541886243e-05,0.0,high,1018,162
SAFARI,ok,0,2023-12-12,2.0,1.0,0.5,BONUS,1.0,0.5,0.0,9.543716079967773e-06,0.0,high,1051,600
SARDAEN,ok,18,2019-08-14,0.8640064741506978,0.991442405553018,1.1474941857670538,BONUS,0.3333333333333333,0.75,52.9992247689405,0.038811297146744056,0.01582986216899598,low,2389,1607
SBIN,ok,23,2025-05-16,0.8866104276832202,0.9822941116440453,1.1079207744159447,BONUS,0.3333333333333333,0.75,47.72276992212596,0.05028573381333103,0.0060103607580397865,low,4757,268
SHALPAINTS,ok,0,2012-11-22,5.0,1.0,0.2,BONUS,4.0,0.2,0.0,7.157307044349267e-17,0.0,high,888,3202
SPORTKING,ok,0,2024-09-13,9.999999999999998,1.0,0.10000000000000002,SPLIT,10.0,0.1,1.3877787807814457e-14,3.99183232582068e-05,0.0,high,489,432
SUKHJITS,ok,0,2024-10-25,2.0,1.0,0.5,BONUS,1.0,0.5,0.0,1.1923072180220659e-05,0.0,high,468,403
SUPRAJIT,ok,0,2010-06-11,10.0,1.0,0.1,SPLIT,10.0,0.1,0.0,0.00031384607381860564,0.0,high,932,3934
SURANAT&P,ok,1,2010-08-17,1.0,1.0,1.0,BONUS,0.3333333333333333,0.75,33.33333333333333,1.390764630695585e-16,1.7559270947239884,low,131,3493
VSSL,ok,1,2017-04-07,1.3727976508275492,1.0,0.7284394749635392,BONUS,0.3333333333333333,0.75,2.8747366715281037,0.00030349170579999644,4.831667690536963e-05,high,1075,2207
WEBELSOLAR,ok,1,2010-02-19,1.9998069498069506,1.0,0.5000482672072591,BONUS,1.0,0.5,0.009653441451829003,0.0003435646950838477,0.0013961024851933824,high,589,3368
WIPRO,ok,49,2010-06-15,1.4462270793298742,0.9157370563935616,0.6331903678763081,BONUS,0.5,0.666667,5.02149230780763,6.18671113407895e-05,0.029332915533271577,low,1093,3932
ZENSARTECH,ok,38,2010-07-21,1.6503936888916622,0.9030307998963385,0.5471608416672858,BONUS,1.0,0.5,9.43216833345717,0.00016782856310608194,0.05212898203191463,low,1059,3906
