ticker,status,existing_ca_rows,candidate_ex_date,ratio_before,ratio_after,implied_factor,matched_action_type,matched_ratio,matched_factor,match_pct_diff,cv_before,cv_after,confidence,n_before,n_after
IRB,ok,43,2020-07-16,0.8537419133582134,0.9814300453433888,1.1495629182394376,BONUS,0.3333333333333333,0.75,53.27505576525834,0.07299920412619328,0.008477229193038775,low,3043,1445
KELLTONTEC,ok,1,2018-03-27,1.0,5.0,5.0,BONUS,0.3333333333333333,0.75,566.6666666666667,0.00022914176356683488,0.25891425516631095,low,450,1835
MANINFRA,ok,1,2014-08-28,1.0,1.4998118178396689,1.4998118178396689,BONUS,0.3333333333333333,0.75,99.97490904528918,0.00014010283094599793,0.16223957945715087,low,1108,2889
MOIL,ok,0,2017-09-27,2.0,1.0,0.5,BONUS,1.0,0.5,0.0,2.185783500808236e-05,0.0,high,1669,2133
NAUKRI,ok,40,2012-06-22,1.9210468079415188,0.9786068719593138,0.5094133406400084,BONUS,1.0,0.5,1.8826681280016855,0.0007066458912086014,0.01094518623459069,high,1378,3427
PCJEWELLER,ok,1,2017-07-06,1.0000000000000002,10.0,9.999999999999998,BONUS,0.3333333333333333,0.75,1233.333333333333,0.0003930647653335099,0.3425556032924822,low,1112,2044
PFIZER,ok,24,2013-12-05,0.686807655525182,0.9023876395456782,1.3138869846400423,BONUS,0.3333333333333333,0.75,75.18493128533898,0.01502991010314186,0.05195715863325644,low,1956,3069
PNBGILTS,ok,0,2013-07-03,1.3332255979314802,1.0,0.7500606060606061,BONUS,0.3333333333333333,0.75,0.008080808080812574,0.00015877334047611794,0.0,high,1777,3173
PNBHOUSING,ok,7,2018-07-19,0.9877163000551968,0.9949300344757656,1.0073034477816813,BONUS,0.3333333333333333,0.75,34.30712637089084,3.2101091068783403e-06,0.0016243073343026415,low,423,1868
PRECOT,ok,0,2013-10-03,1.5,1.0,0.6666666666666666,BONUS,0.5,0.666667,4.99999750070014e-05,4.6931938807369357e-05,0.0,high,1537,2565
PREMEXPLN,ok,0,2024-06-21,5.0,1.0,0.2,BONUS,4.0,0.2,0.0,8.365247331712137e-17,0.0,high,1710,427
SHARDAMOTR,ok,2,2021-04-16,0.5000000000000001,1.0,1.9999999999999996,BONUS,0.3333333333333333,0.75,166.6666666666666,2.3768735830829584e-05,6.530347362383379e-06,low,1363,1194
SOLARINDS,ok,31,2016-07-13,4.884913326193129,1.0,0.2047119228580688,BONUS,4.0,0.2,2.355961429034395,0.010886917089819266,0.0006582736466557512,high,1761,2431
SOUTHBANK,ok,1,2008-10-16,1.2535727045373346,1.0894454382826475,0.8690723995021391,BONUS,0.3333333333333333,0.75,15.876319933618547,0.0006482210534961095,0.07190274016989825,low,691,4334
SWELECTES,ok,1,2012-07-17,1.000008278282753,1.4999643034897272,1.499951886463895,BONUS,0.3333333333333333,0.75,99.99358486185267,1.6980433507157218e-05,0.16610083846664053,low,6,3220
TORNTPHARM,ok,37,2006-02-20,3.0991592762404796,0.9012499601972189,0.29080466018852213,BONUS,2.5,0.285714,1.7817328477155867,5.1559427880965955e-05,0.07350670989143095,low,32,4992
TPLPLASTEH,ok,0,2022-10-19,9.999049971499144,1.0,0.10000950118764847,SPLIT,10.0,0.1,0.009501187648461307,0.1779018887167919,0.0,low,1823,751
TRIDENT,ok,37,2020-02-27,0.8048118989932893,0.9451342397571112,1.1743542074108821,BONUS,0.3333333333333333,0.75,56.580560988117625,0.042942769567326386,0.020847385219323646,low,2172,1477
20MICRONS,ok,0,2013-01-28,1.9998773457622963,1.0,0.500030665440049,BONUS,1.0,0.5,0.006133088009807608,0.00016844829725628957,0.0,high,1061,3110
AARTIIND,ok,48,2006-01-13,1.6746553828723831,0.9783707571184106,0.584222143328558,BONUS,0.5,0.666667,12.366722317355135,0.0001041489545492196,0.06589919494154173,low,8,4942
