ticker,status,existing_ca_rows,candidate_ex_date,ratio_before,ratio_after,implied_factor,matched_action_type,matched_ratio,matched_factor,match_pct_diff,cv_before,cv_after,confidence,n_before,n_after
KSB,ok,0,2024-08-01,5.0,1.0,0.2,BONUS,4.0,0.2,0.0,8.540420072832187e-17,0.0,high,1407,462
LGBBROSLTD,ok,2,2014-07-04,0.4999807366312222,1.0,2.0000770564438444,BONUS,0.3333333333333333,0.75,166.67694085917927,5.000597986053261e-05,6.686612228457421e-06,low,1051,2926
MAHABANK,ok,24,2023-05-23,0.8823737767612652,0.9413477688187096,1.0668356127648164,BONUS,0.3333333333333333,0.75,42.244748368642185,0.03953349566696736,0.025888631137966668,low,4284,738
MUNJALAU,ok,2,2011-12-29,0.5000000000000001,1.0,1.9999999999999996,BONUS,0.3333333333333333,0.75,166.6666666666666,0.00037320111061398345,7.496359127445868e-05,low,1334,3476
MURUDCERA,ok,0,2010-10-19,1.3197322282435446,1.0,0.7577294685990339,BONUS,0.3333333333333333,0.75,1.0305958132045192,0.0001006969069507417,0.0,high,1181,3527
MUTHOOTFIN,ok,29,2013-11-05,0.7612814444902262,0.8926323300041448,1.1725391922587507,BONUS,0.3333333333333333,0.75,56.33855896783343,1.5645799010867787e-16,0.07077814908498584,low,617,3090
PLASTIBLEN,ok,2,2012-02-29,0.49997441899043704,1.0,2.000102329273624,BONUS,0.3333333333333333,0.75,166.68031056981653,8.161220576600736e-05,2.9755672976364616e-05,low,1148,3395
SRF,ok,53,2014-02-14,0.7809815150286883,0.9798551229231652,1.2546457298508167,BONUS,0.3333333333333333,0.75,67.28609731344223,0.05338697488844185,0.01722696033121691,low,2006,3019
SUPREMEIND,ok,44,2009-09-01,0.811668711275743,0.9570145187755988,1.1790703589786133,BONUS,0.3333333333333333,0.75,57.209381197148446,4.060312626119249e-05,0.04482877233112876,low,903,4122
TVSMOTOR,ok,42,2012-06-04,0.8355490773386258,0.9639756455094937,1.1537032014683442,BONUS,0.3333333333333333,0.75,53.82709352911256,0.009526790785835357,0.03062444208220563,low,1584,3441
ZODIACLOTH,ok,0,2010-08-23,2.249980928955093,1.0,0.4444482115963565,BONUS,1.0,0.5,11.1103576807287,2.353166796298002e-05,0.13020919704495823,low,1098,3691
AARON,ok,0,2025-08-25,2.0,1.0,0.5,BONUS,1.0,0.5,0.0,4.909243802988491e-05,0.0,high,1001,199
ADROITINFO,ok,0,2024-04-23,1.417244796828543,1.0,0.7055944055944056,BONUS,0.5,0.666667,5.839107919606873,0.0003455545613586356,0.0,low,663,450
AMRUTANJAN,ok,2,2012-10-25,0.5000000000000001,1.0,1.9999999999999996,BONUS,0.3333333333333333,0.75,166.6666666666666,4.3551960785769564e-05,2.021025997371281e-05,low,738,3310
AVROIND,ok,0,2026-05-05,10.0,1.0,0.1,SPLIT,10.0,0.1,0.0,0.0002303063448564872,0.0,high,778,42
BHARTIARTL,ok,22,2009-07-24,1.9243673099314185,0.9675925010449615,0.5028107139688655,BONUS,1.0,0.5,0.5621427937730905,1.2030049435107407e-05,0.011410382583880248,high,764,4150
BRITANNIA,ok,31,2010-03-08,0.4543794788572562,0.9206387809433676,2.0261451579167535,BONUS,0.3333333333333333,0.75,170.1526877222338,2.1465382089527737e-05,0.03194614681140831,low,1024,4001
CGCL,ok,20,2016-11-23,4.984557036287766,0.9969949426528321,0.20001675884028824,BONUS,4.0,0.2,0.008379420144116745,0.00041379129405469606,0.0009946047307953212,high,767,2344
COASTCORP,ok,0,2025-03-04,5.0,1.0,0.2,BONUS,4.0,0.2,0.0,2.0801645840817545e-05,0.0,high,823,264
CRISIL,ok,76,2026-04-02,0.8985036773187788,1.0,1.1129614994833366,BONUS,0.3333333333333333,0.75,48.394866597778204,0.05180213025240954,0.0008499271993969053,low,4964,62
