ticker,status,existing_ca_rows,candidate_ex_date,ratio_before,ratio_after,implied_factor,matched_action_type,matched_ratio,matched_factor,match_pct_diff,cv_before,cv_after,confidence,n_before,n_after
ACC,ok,33,2022-04-04,0.8977436861082569,0.9874322088472791,1.0999043759670695,BONUS,0.3333333333333333,0.75,46.65391679560926,0.05038112625994529,0.0047270662217265245,low,4007,1019
ANDHRAPAP,ok,0,2024-09-11,5.0,1.0,0.2,BONUS,4.0,0.2,0.0,8.627379943068196e-17,0.0,high,1099,435
ASAL,ok,0,2011-06-09,1.1699417758369723,1.0,0.8547433903576983,BONUS,0.3333333333333333,0.75,13.965785381026441,5.898273644640575e-05,0.0,low,1189,3199
ASTERDM,ok,6,2024-04-23,0.7590319890223586,0.9939822638965585,1.3095393583830617,BONUS,0.3333333333333333,0.75,74.60524778440822,1.511088179766028e-16,0.005220396924791509,low,1517,514
ASTRAMICRO,ok,0,2010-12-30,1.5,1.0,0.6666666666666666,BONUS,0.5,0.666667,4.99999750070014e-05,5.6682368340406994e-05,0.0,high,1232,3794
AVTNPL,ok,1,2012-06-07,10.0,1.0,0.1,SPLIT,10.0,0.1,0.0,0.0005760360922577789,6.6379477238318e-05,high,1306,3439
BAJAJHIND,ok,0,2011-09-21,1.1841031129688804,1.0,0.8445210463915749,BONUS,0.3333333333333333,0.75,12.602806185543317,3.218664438326569e-05,0.0,low,1412,3542
BALAMINES,ok,1,2010-11-18,4.9753506924214586,0.9950701384842917,0.2,BONUS,4.0,0.2,0.0,9.438494703490388e-17,8.01269989675753e-05,high,881,3823
CHENNPETRO,ok,21,2023-08-04,0.8606964795981649,0.9848734657519794,1.144275001812241,BONUS,0.3333333333333333,0.75,52.57000024163213,0.026311487587561272,0.029660974957817405,low,4336,687
CONCOR,ok,54,2014-02-13,0.8335636355292148,0.9251968580304958,1.1099294865989502,BONUS,0.3333333333333333,0.75,47.99059821319336,0.020019388516376357,0.036354651356842634,low,2005,3021
FILATEX,ok,1,2018-06-27,1.0000000000000002,1.9994918699186992,1.9994918699186988,BONUS,0.3333333333333333,0.75,166.59891598915982,0.0008680626607910527,0.24757728897563214,low,1454,1947
HINDPETRO,ok,30,2017-07-11,1.0143217865032808,0.8625520589009658,0.8503731955462399,BONUS,0.3333333333333333,0.75,13.383092739498656,0.027105496596480736,0.1055424501125895,low,2839,2186
IIFL,ok,42,2014-06-30,1.0,1.0070175293041546,1.0070175293041546,BONUS,0.3333333333333333,0.75,34.26900390722061,0.13779096646153072,0.42453109056188637,low,2269,2971
INDIANHUME,ok,2,2010-08-30,0.5000000000000001,1.0,1.9999999999999996,BONUS,0.3333333333333333,0.75,166.6666666666666,6.592158122407606e-05,2.7023897953246087e-05,low,1009,3875
INDNIPPON,ok,1,2011-09-20,1.3999451754385963,1.0,0.7143136870961426,BONUS,0.3333333333333333,0.75,4.7581750538476495,5.618479987350916e-05,1.699173457535743e-05,low,1361,3608
INDTERRAIN,ok,0,2015-12-21,5.0,1.0,0.2,BONUS,4.0,0.2,0.0,7.54742987719588e-17,0.0,high,915,2502
JBCHEPHARM,ok,35,2011-08-29,0.6423688698323223,0.9196575231553575,1.431665770782784,BONUS,0.3333333333333333,0.75,90.88876943770452,9.796877390213494e-05,0.03669959545685965,low,1396,3628
JINDWORLD,ok,2,2017-12-26,0.2000000000000001,1.0,4.999999999999997,BONUS,0.3333333333333333,0.75,566.6666666666663,0.0010652476251297508,1.226406632296448,low,1639,1991
JMA,ok,0,2019-05-14,5.0,1.0,0.2,BONUS,4.0,0.2,0.0,7.731371578016723e-17,0.0,high,1004,1670
JYOTHYLAB,ok,2,2008-12-12,9.823997065049642,0.9825349301397206,0.10001376462491397,SPLIT,10.0,0.1,0.013764624913967238,0.00015145424078571773,0.4041910007306473,low,239,4297
