"Strategy","Returns","","","","Consistency","","","","","Risk","","","","Trade quality","","","","","","","","Year-on-year returns","","","","","","","","","","","","","","","","","","Setup"
"Name","CAGR (post-tax) ●","CAGR (pre-tax)","Benchmark","Excess","3y median","5y median","Worst 3y","Positive 3y windows","Positive years","Max drawdown","Volatility","Sharpe","Sortino","Trades","Distinct stocks traded","Churn/yr","Avg hold (days)","% trades won","Avg gain per winning trade","Avg loss per losing trade","Gain : loss","FY27","FY26","FY25","FY24","FY23","FY22","FY21","FY20","FY19","FY18","FY17","FY16","FY15","FY14","FY13","FY12","FY11","FY10","Trade book"
"M10_301_500_allrisk_lb3mo_bimonthly_top15_21d","18.5%/yr","20.0%/yr","14.2%/yr","+4.3 pp/yr","17.3%/yr","21.1%/yr","-4.9%/yr","13 of 16","11 of 18","-46.9%","22.3%/yr","0.89","1.07","1,088","521","63.1","68","53.9%","23.2%","-14.2%","1.64×","23.4%","-2.6%","-7.7%","104.5%","-16.1%","63.2%","81.6%","-27.0%","1.6%","16.2%","39.1%","-5.2%","99.4%","39.8%","6.0%","-5.3%","-2.8%","7.4%",""
"M9_276_550_allrisk_lb3mo_bimonthly_top20_21d","18.3%/yr","19.7%/yr","14.2%/yr","+4.1 pp/yr","17.9%/yr","20.4%/yr","-11.3%/yr","13 of 16","9 of 18","-49.7%","21.9%/yr","0.89","1.05","1,419","649","82.3","68","54.2%","23.0%","-14.4%","1.59×","20.3%","-3.3%","1.3%","93.2%","-12.0%","67.9%","119.4%","-27.7%","-1.9%","-1.5%","52.4%","-5.9%","81.4%","37.7%","14.6%","-5.3%","-8.7%","-0.3%",""
"M10_301_500_allrisk_lb9mo_quarterly_top15_63d","18.3%/yr","19.8%/yr","14.2%/yr","+4.1 pp/yr","14.7%/yr","18.8%/yr","-4.2%/yr","15 of 16","11 of 18","-47.5%","20.1%/yr","0.95","1.13","547","386","31.7","109","54.3%","34.4%","-16.9%","2.04×","19.6%","-3.7%","-6.6%","78.5%","-15.2%","99.9%","90.1%","-16.5%","-19.8%","31.3%","20.1%","26.7%","43.8%","38.8%","-4.6%","1.1%","19.2%","-4.4%",""
"M9_276_550_allrisk_lb3mo_quarterly_top15_21d","18.0%/yr","19.5%/yr","14.2%/yr","+3.7 pp/yr","16.2%/yr","17.8%/yr","-16.3%/yr","14 of 16","12 of 18","-64.0%","25.6%/yr","0.79","0.94","866","501","50.2","93","54.2%","26.6%","-16.2%","1.64×","42.9%","5.1%","-23.0%","107.2%","-16.2%","12.3%","186.7%","-47.1%","-4.7%","16.3%","32.1%","13.1%","79.8%","32.2%","19.2%","-11.6%","-7.5%","31.3%",""
"M8_201_300_allrisk_lb3mo_quarterly_top10_21d","17.9%/yr","19.5%/yr","14.2%/yr","+3.7 pp/yr","17.4%/yr","20.3%/yr","-4.8%/yr","15 of 16","12 of 18","-53.0%","23.7%/yr","0.83","1.00","586","328","34.0","94","54.3%","23.3%","-13.3%","1.76×","32.3%","1.0%","-35.4%","94.4%","-14.9%","24.6%","90.0%","-23.4%","-5.8%","76.0%","31.8%","-17.0%","65.6%","31.0%","15.4%","-6.8%","7.4%","45.0%",""
"M10_301_500_allrisk_lb12mo_quarterly_top10_1y","17.9%/yr","19.3%/yr","14.2%/yr","+3.7 pp/yr","15.3%/yr","19.3%/yr","-7.5%/yr","12 of 16","9 of 18","-50.2%","21.8%/yr","0.88","1.06","347","276","20.1","110","51.9%","39.0%","-17.1%","2.29×","22.1%","-2.8%","-15.8%","98.2%","-13.4%","115.0%","119.3%","-18.8%","-25.5%","59.8%","13.5%","14.9%","51.4%","39.7%","-12.0%","-3.3%","-7.1%","0.0%",""
"M10_301_500_allrisk_lb3mo_quarterly_top15_21d","17.8%/yr","19.5%/yr","14.2%/yr","+3.5 pp/yr","16.4%/yr","19.1%/yr","-10.7%/yr","14 of 16","13 of 18","-60.6%","24.2%/yr","0.81","0.96","851","478","49.3","94","52.8%","27.5%","-15.8%","1.74×","28.8%","8.8%","-30.6%","107.3%","-19.3%","17.8%","138.4%","-39.2%","-6.7%","25.6%","35.4%","21.4%","71.4%","35.3%","11.4%","-8.5%","5.5%","26.0%",""
"M10_301_500_allrisk_lb3mo_monthly_top10_21d","17.4%/yr","18.9%/yr","14.2%/yr","+3.2 pp/yr","15.3%/yr","17.2%/yr","-17.7%/yr","15 of 16","13 of 18","-62.5%","22.6%/yr","0.84","1.08","1,154","525","66.9","39","50.7%","18.0%","-11.3%","1.59×","22.9%","-3.1%","-4.2%","69.1%","12.0%","48.9%","116.0%","-41.0%","-11.0%","6.4%","36.4%","-0.1%","57.4%","13.0%","13.8%","12.2%","2.1%","30.5%",""
"M8_201_300_allrisk_lb3mo_quarterly_top15_21d","17.2%/yr","18.8%/yr","14.2%/yr","+3.0 pp/yr","16.1%/yr","16.8%/yr","0.5%/yr","16 of 16","12 of 18","-37.5%","21.1%/yr","0.87","1.03","833","379","48.3","96","53.2%","24.1%","-12.7%","1.89×","23.0%","3.0%","-19.9%","90.8%","-15.8%","17.4%","91.3%","-10.3%","-4.6%","51.8%","29.6%","-26.1%","67.6%","23.7%","5.7%","-1.6%","4.9%","51.1%",""
"M9_276_550_allrisk_lb12mo_quarterly_top10_1y","17.0%/yr","18.7%/yr","14.2%/yr","+2.8 pp/yr","15.6%/yr","20.3%/yr","-6.6%/yr","13 of 16","10 of 18","-55.5%","21.6%/yr","0.85","0.99","349","286","20.2","109","53.3%","37.6%","-18.8%","2.00×","17.0%","-12.0%","-0.6%","78.0%","-13.5%","48.9%","172.3%","-28.1%","-24.1%","54.0%","15.8%","9.4%","79.5%","51.6%","-8.7%","-11.7%","1.0%","0.0%",""
"M9_276_550_allrisk_lb9mo_quarterly_top20_63d","17.0%/yr","18.5%/yr","14.2%/yr","+2.8 pp/yr","17.3%/yr","18.1%/yr","-6.6%/yr","15 of 16","10 of 18","-46.1%","18.7%/yr","0.95","1.08","717","462","41.6","109","53.8%","33.1%","-16.8%","1.97×","23.9%","-0.2%","-3.5%","77.9%","-19.0%","45.4%","136.1%","-20.0%","-18.1%","24.5%","32.8%","2.0%","59.6%","42.4%","-4.6%","-2.9%","13.5%","-3.4%",""
"M9_276_550_allrisk_lb9mo_quarterly_top15_63d","17.0%/yr","18.5%/yr","14.2%/yr","+2.8 pp/yr","17.7%/yr","19.2%/yr","-3.0%/yr","13 of 16","10 of 18","-43.5%","20.3%/yr","0.89","1.04","567","399","32.9","107","53.8%","32.4%","-16.7%","1.94×","23.0%","-1.8%","-1.0%","82.8%","-23.0%","45.3%","116.9%","-14.9%","-19.0%","42.7%","23.0%","9.5%","65.3%","48.8%","-5.9%","-15.0%","14.0%","-5.0%",""
"M9_276_550_allrisk_lb12mo_bimonthly_top15_1y","17.0%/yr","18.2%/yr","14.2%/yr","+2.8 pp/yr","19.4%/yr","17.1%/yr","-4.1%/yr","13 of 16","9 of 18","-46.1%","18.4%/yr","0.96","1.11","543","399","31.5","110","53.8%","35.9%","-18.5%","1.94×","31.7%","-2.0%","-1.4%","75.6%","-1.6%","58.1%","87.9%","-20.2%","-20.2%","43.5%","28.5%","-4.9%","55.1%","39.4%","7.2%","-4.9%","-7.3%","0.0%",""
"M9_276_550_allrisk_lb6mo_quarterly_top15_63d","16.9%/yr","18.3%/yr","14.2%/yr","+2.7 pp/yr","19.3%/yr","20.3%/yr","-9.5%/yr","13 of 16","10 of 18","-50.5%","22.8%/yr","0.81","0.98","653","459","37.9","102","51.1%","34.2%","-17.0%","2.02×","24.7%","-7.7%","-0.3%","86.9%","-10.2%","79.0%","126.3%","-34.5%","-10.0%","40.0%","23.0%","8.6%","67.5%","34.7%","-7.8%","-13.2%","-7.3%","2.8%",""
"M9_276_550_allrisk_lb9mo_bimonthly_top20_63d","16.6%/yr","17.9%/yr","14.2%/yr","+2.4 pp/yr","18.2%/yr","15.9%/yr","-2.5%/yr","15 of 16","12 of 18","-41.6%","16.7%/yr","1.02","1.21","900","508","52.2","76","53.9%","27.1%","-15.0%","1.81×","31.2%","-14.0%","26.0%","57.7%","-7.9%","24.6%","83.0%","-4.0%","-17.5%","17.1%","30.8%","4.3%","33.1%","41.7%","-2.3%","-1.2%","25.9%","4.0%",""
"M10_301_500_riskmanaged_lb3mo_bimonthly_top10_21d","16.5%/yr","17.8%/yr","14.2%/yr","+2.3 pp/yr","10.2%/yr","16.0%/yr","-4.0%/yr","13 of 16","10 of 18","-43.3%","23.8%/yr","0.77","0.94","635","326","36.8","66","52.8%","24.8%","-14.4%","1.72×","32.9%","-1.9%","-5.9%","107.5%","-5.7%","88.7%","157.0%","-29.3%","7.1%","30.1%","16.1%","-12.9%","25.0%","11.7%","-2.4%","-6.9%","4.3%","-8.8%",""
"M10_301_500_allrisk_lb3mo_biweekly_top10_21d","16.5%/yr","18.2%/yr","14.2%/yr","+2.2 pp/yr","16.1%/yr","19.4%/yr","-14.3%/yr","14 of 16","15 of 18","-59.8%","20.5%/yr","0.86","1.13","1,730","585","100.3","24","46.7%","14.3%","-8.4%","1.71×","11.5%","-4.3%","6.4%","73.0%","16.4%","30.5%","68.9%","-29.0%","-23.4%","15.6%","32.5%","2.4%","85.4%","12.6%","2.3%","18.2%","14.8%","11.1%",""
"M10_301_500_allrisk_lb6mo_quarterly_top10_63d","16.4%/yr","18.0%/yr","14.2%/yr","+2.2 pp/yr","19.9%/yr","21.5%/yr","-13.3%/yr","12 of 16","9 of 18","-59.7%","24.4%/yr","0.76","0.95","456","346","26.4","103","51.1%","34.9%","-17.8%","1.96×","15.9%","-13.5%","-2.4%","97.5%","-18.1%","96.3%","153.4%","-36.0%","-16.3%","56.6%","40.3%","12.6%","26.4%","59.5%","-11.5%","-19.6%","-8.4%","-0.0%",""
"M10_301_500_allrisk_lb12mo_weekly_top10_1y","16.3%/yr","17.7%/yr","14.2%/yr","+2.1 pp/yr","19.3%/yr","16.8%/yr","-2.4%/yr","15 of 16","11 of 18","-45.2%","17.8%/yr","0.95","1.18","1,001","410","58.0","41","48.5%","20.6%","-11.9%","1.72×","21.1%","-3.1%","-5.5%","89.2%","14.2%","53.3%","60.1%","-11.8%","-26.3%","42.9%","27.6%","-8.5%","60.3%","17.7%","1.9%","-1.0%","10.9%","0.0%",""
"M9_276_550_riskmanaged_lb3mo_quarterly_top10_21d","16.1%/yr","17.3%/yr","14.2%/yr","+1.9 pp/yr","14.7%/yr","15.6%/yr","-4.4%/yr","13 of 16","10 of 18","-56.8%","26.5%/yr","0.71","0.86","510","300","29.6","94","49.2%","29.8%","-15.5%","1.92×","48.1%","3.8%","-26.3%","85.7%","-9.6%","30.1%","219.8%","-34.3%","-7.5%","43.9%","43.5%","-12.9%","29.3%","27.3%","-3.5%","-0.1%","-7.2%","3.1%",""
"M9_276_550_allrisk_lb3mo_monthly_top15_21d","16.1%/yr","17.5%/yr","14.2%/yr","+1.8 pp/yr","16.4%/yr","17.4%/yr","-18.1%/yr","15 of 16","14 of 18","-64.1%","20.9%/yr","0.83","1.04","1,645","665","95.4","40","50.3%","17.9%","-11.4%","1.57×","26.3%","2.9%","2.7%","53.3%","5.3%","24.1%","119.8%","-39.4%","-18.3%","11.0%","53.3%","-9.6%","84.0%","23.7%","12.4%","3.7%","-1.8%","11.9%",""
"M11_501_800_allrisk_lb12mo_weekly_top10_1y","16.0%/yr","17.5%/yr","14.2%/yr","+1.8 pp/yr","15.7%/yr","18.9%/yr","-3.1%/yr","14 of 16","11 of 18","-34.0%","19.2%/yr","0.88","1.11","1,016","507","58.9","39","47.0%","22.7%","-13.0%","1.74×","20.3%","4.0%","-6.8%","74.8%","-4.9%","35.7%","26.0%","-9.3%","-9.0%","19.8%","31.4%","6.6%","135.4%","7.3%","22.6%","-4.4%","-4.7%","0.0%",""
"M10_301_500_allrisk_lb9mo_bimonthly_top15_63d","15.9%/yr","17.3%/yr","14.2%/yr","+1.7 pp/yr","15.3%/yr","14.5%/yr","1.5%/yr","16 of 16","13 of 18","-39.8%","17.4%/yr","0.95","1.15","707","420","41.0","77","54.2%","26.8%","-15.8%","1.70×","37.6%","-19.6%","14.9%","61.9%","-14.9%","49.5%","47.3%","-6.7%","-16.1%","33.6%","19.0%","9.2%","19.2%","47.1%","-8.3%","3.5%","41.5%","3.5%",""
"M10_301_500_allrisk_lb6mo_quarterly_top15_63d","15.9%/yr","17.3%/yr","14.2%/yr","+1.7 pp/yr","18.7%/yr","18.2%/yr","-13.6%/yr","13 of 16","10 of 18","-58.9%","22.7%/yr","0.77","0.93","648","427","37.6","105","51.4%","32.4%","-16.6%","1.96×","15.2%","-4.8%","-8.0%","92.4%","-0.6%","66.9%","156.0%","-30.1%","-22.2%","44.6%","25.7%","10.4%","38.1%","53.4%","-21.4%","-15.4%","-2.9%","3.1%",""
"M8_201_300_allrisk_lb3mo_bimonthly_top10_21d","15.8%/yr","17.2%/yr","14.2%/yr","+1.6 pp/yr","13.0%/yr","16.1%/yr","2.9%/yr","16 of 16","14 of 18","-40.3%","22.0%/yr","0.79","0.95","736","355","42.7","68","52.9%","20.7%","-12.6%","1.64×","26.4%","0.6%","-10.6%","50.3%","4.2%","36.6%","107.9%","-17.8%","4.8%","26.5%","17.0%","-22.3%","71.4%","11.9%","13.6%","-1.4%","0.7%","16.5%",""
"M10_301_500_allrisk_lb9mo_quarterly_top20_63d","15.8%/yr","17.2%/yr","14.2%/yr","+1.6 pp/yr","13.6%/yr","16.3%/yr","-0.9%/yr","15 of 16","12 of 18","-43.4%","18.2%/yr","0.91","1.08","681","432","39.5","112","53.3%","34.1%","-17.2%","1.98×","20.9%","1.1%","-8.3%","67.3%","-16.8%","68.9%","89.6%","-12.6%","-17.4%","34.6%","24.4%","11.1%","35.4%","41.5%","-9.6%","3.8%","9.0%","-4.5%",""
"M9_276_550_allrisk_lb12mo_bimonthly_top10_1y","15.8%/yr","17.4%/yr","14.2%/yr","+1.6 pp/yr","11.8%/yr","18.3%/yr","-3.3%/yr","14 of 16","11 of 18","-49.1%","21.3%/yr","0.81","0.97","372","305","21.6","113","53.5%","37.3%","-18.9%","1.97×","23.4%","-15.9%","-0.8%","68.6%","-17.0%","56.7%","112.9%","-21.0%","-17.6%","38.8%","18.6%","3.3%","67.7%","34.2%","10.4%","-16.0%","13.2%","0.0%",""
"M9_276_550_allrisk_lb6mo_quarterly_top10_63d","15.8%/yr","17.5%/yr","14.2%/yr","+1.6 pp/yr","17.7%/yr","21.2%/yr","-5.9%/yr","12 of 16","9 of 18","-50.5%","24.1%/yr","0.74","0.91","463","360","26.8","100","51.6%","33.2%","-17.9%","1.85×","15.5%","-6.7%","-11.6%","89.6%","-25.6%","33.1%","170.4%","-32.1%","-7.8%","39.1%","22.8%","9.2%","57.1%","70.9%","-5.5%","-8.4%","-3.8%","-0.9%",""
"M9_276_550_allrisk_lb6mo_bimonthly_top10_63d","15.8%/yr","17.0%/yr","14.2%/yr","+1.6 pp/yr","20.6%/yr","16.5%/yr","-8.4%/yr","13 of 16","13 of 18","-39.8%","23.6%/yr","0.75","0.94","579","405","33.6","74","53.7%","25.6%","-16.2%","1.58×","37.9%","-17.6%","18.2%","71.9%","-8.7%","34.5%","68.3%","-23.9%","1.6%","25.0%","40.2%","5.2%","53.9%","44.4%","7.3%","-23.4%","-0.0%","0.4%",""
"M9_276_550_allrisk_lb6mo_quarterly_top20_63d","15.7%/yr","17.2%/yr","14.2%/yr","+1.5 pp/yr","18.4%/yr","17.4%/yr","-7.9%/yr","13 of 16","11 of 18","-53.1%","21.7%/yr","0.79","0.93","842","521","48.8","104","50.7%","32.8%","-16.3%","2.01×","21.0%","-9.7%","-0.9%","77.7%","-1.6%","56.2%","134.2%","-32.0%","-17.5%","39.1%","16.7%","9.1%","59.6%","32.2%","0.0%","-12.2%","-5.0%","2.7%",""
"M10_301_500_allrisk_lb6mo_quarterly_top20_63d","15.7%/yr","17.1%/yr","14.2%/yr","+1.5 pp/yr","19.1%/yr","15.4%/yr","-8.7%/yr","14 of 16","12 of 18","-57.1%","20.9%/yr","0.81","0.96","811","477","47.0","107","52.2%","32.2%","-16.4%","1.96×","12.1%","0.8%","-5.8%","82.5%","-4.0%","56.4%","101.2%","-31.0%","-20.3%","38.5%","27.8%","4.8%","45.0%","37.8%","-7.8%","-6.8%","12.0%","6.8%",""
"M9_276_550_allrisk_lb12mo_bimonthly_top20_1y","15.7%/yr","16.9%/yr","14.2%/yr","+1.4 pp/yr","18.1%/yr","16.0%/yr","-3.4%/yr","14 of 16","11 of 18","-42.7%","16.9%/yr","0.96","1.09","704","463","40.8","111","54.5%","33.9%","-18.7%","1.81×","34.6%","-0.1%","-1.1%","68.9%","-2.4%","42.9%","79.0%","-15.6%","-19.1%","31.9%","24.8%","1.2%","44.7%","23.2%","8.9%","-8.7%","8.7%","0.0%",""
"M10_301_500_allrisk_lb3mo_monthly_top15_21d","15.6%/yr","17.1%/yr","14.2%/yr","+1.4 pp/yr","17.0%/yr","17.7%/yr","-15.1%/yr","14 of 16","12 of 18","-62.4%","20.3%/yr","0.83","1.04","1,631","599","94.6","41","49.2%","17.7%","-10.9%","1.63×","17.1%","-0.2%","-0.7%","64.4%","-0.9%","45.8%","93.0%","-37.8%","-18.9%","21.1%","33.6%","-1.9%","79.7%","16.1%","2.2%","5.2%","4.0%","22.1%",""
