"Strategy","Returns","","","","Consistency","","","","","Risk","","","","Trade quality","","","","","","","","Year-on-year returns","","","","","","","","","","","","","","","","","","Setup"
"Name","CAGR (post-tax) ●","CAGR (pre-tax)","Benchmark","Excess","3y median","5y median","Worst 3y","Positive 3y windows","Positive years","Max drawdown","Volatility","Sharpe","Sortino","Trades","Distinct stocks traded","Churn/yr","Avg hold (days)","% trades won","Avg gain per winning trade","Avg loss per losing trade","Gain : loss","FY27","FY26","FY25","FY24","FY23","FY22","FY21","FY20","FY19","FY18","FY17","FY16","FY15","FY14","FY13","FY12","FY11","FY10","Trade book"
"M6_151_200_allrisk_lb6mo_bimonthly_top10_63d","10.4%/yr","11.7%/yr","14.2%/yr","-3.8 pp/yr","12.2%/yr","11.0%/yr","-0.2%/yr","15 of 16","11 of 18","-32.8%","17.4%/yr","0.67","0.78","532","251","30.8","83","53.8%","19.6%","-12.8%","1.52×","13.3%","-6.2%","17.3%","53.1%","-8.1%","0.9%","84.9%","-20.3%","5.6%","19.5%","20.3%","-15.8%","24.3%","34.4%","-0.2%","1.9%","-1.0%","-1.5%",""
"M4_76_160_riskmanaged_lb3mo_quarterly_top10_21d","10.4%/yr","12.0%/yr","14.2%/yr","-3.8 pp/yr","12.2%/yr","10.7%/yr","-10.9%/yr","13 of 16","9 of 18","-42.6%","22.4%/yr","0.56","0.69","570","215","33.1","94","54.0%","19.2%","-12.2%","1.57×","-1.1%","4.0%","-10.2%","47.8%","-19.2%","20.1%","83.3%","-16.7%","-1.3%","21.9%","43.4%","-20.4%","54.5%","25.7%","-14.7%","-10.6%","-7.4%","44.6%",""
"M9_276_550_riskmanaged_lb9mo_bimonthly_top20_63d","10.4%/yr","11.5%/yr","14.2%/yr","-3.8 pp/yr","8.9%/yr","9.2%/yr","-8.5%/yr","14 of 16","11 of 18","-44.2%","17.0%/yr","0.68","0.77","882","375","51.1","71","51.5%","24.0%","-14.7%","1.64×","31.1%","-14.9%","23.1%","59.3%","-9.4%","33.9%","80.7%","-27.2%","-8.6%","15.1%","19.2%","-5.7%","15.8%","14.2%","-2.3%","-3.2%","5.1%","1.1%",""
"M5_101_150_allrisk_lb6mo_monthly_top10_63d","10.4%/yr","11.8%/yr","14.2%/yr","-3.8 pp/yr","10.5%/yr","9.9%/yr","-1.6%/yr","14 of 16","12 of 18","-29.5%","15.4%/yr","0.73","0.92","770","219","44.6","52","53.1%","13.8%","-9.2%","1.50×","16.0%","3.4%","-15.6%","49.0%","-14.7%","28.0%","41.7%","7.7%","-4.4%","17.2%","32.9%","-12.2%","23.3%","23.2%","15.2%","-10.7%","-5.0%","12.4%",""
"M9_276_550_riskmanaged_lb12mo_monthly_top15_1y","10.4%/yr","11.5%/yr","14.2%/yr","-3.9 pp/yr","13.3%/yr","12.1%/yr","-11.2%/yr","13 of 16","9 of 18","-42.6%","19.6%/yr","0.61","0.74","821","390","47.6","84","48.4%","28.1%","-16.6%","1.69×","27.4%","-3.2%","1.7%","74.2%","-14.1%","28.5%","64.5%","-6.8%","-11.7%","21.9%","35.2%","-18.0%","38.2%","28.2%","-15.1%","-8.2%","-10.3%","0.0%",""
"M5_101_150_allrisk_lb12mo_monthly_top15_1y","10.3%/yr","11.5%/yr","14.2%/yr","-3.9 pp/yr","10.2%/yr","11.6%/yr","-2.0%/yr","15 of 16","13 of 18","-28.1%","14.0%/yr","0.78","0.93","655","218","38.0","100","56.8%","20.2%","-13.9%","1.45×","14.3%","0.3%","-10.9%","46.8%","2.4%","27.6%","55.6%","-10.8%","-1.0%","6.6%","18.6%","-12.2%","28.3%","21.0%","8.4%","5.1%","3.5%","0.0%",""
"M9_276_550_allrisk_lb3mo_biweekly_top10_21d","10.3%/yr","12.4%/yr","14.2%/yr","-3.9 pp/yr","13.9%/yr","12.3%/yr","-23.8%/yr","14 of 16","13 of 18","-71.3%","21.0%/yr","0.58","0.76","1,698","643","98.5","24","45.8%","14.3%","-9.1%","1.58×","7.1%","-9.3%","3.5%","79.3%","-6.4%","24.6%","53.6%","-42.8%","-30.0%","10.3%","33.6%","-15.6%","95.2%","13.6%","20.3%","9.1%","11.6%","4.0%",""
"M12_551_800_allrisk_lb3mo_quarterly_top10_21d","10.3%/yr","12.5%/yr","14.2%/yr","-3.9 pp/yr","18.0%/yr","18.3%/yr","-22.4%/yr","12 of 16","11 of 18","-64.6%","26.9%/yr","0.51","0.61","492","413","28.5","102","49.4%","34.4%","-20.2%","1.70×","9.7%","-33.9%","-35.6%","63.6%","-34.2%","70.3%","142.4%","-54.6%","-1.8%","56.4%","44.7%","-4.5%","69.1%","5.4%","35.2%","11.4%","-18.1%","23.4%",""
"M9_276_550_riskmanaged_lb9mo_quarterly_top20_63d","10.3%/yr","11.6%/yr","14.2%/yr","-3.9 pp/yr","9.8%/yr","10.4%/yr","-5.6%/yr","13 of 16","9 of 18","-50.1%","18.3%/yr","0.64","0.70","657","341","38.1","102","50.4%","29.9%","-16.1%","1.86×","23.8%","-0.3%","-3.8%","82.8%","-20.9%","27.5%","127.7%","-33.9%","-5.8%","35.3%","35.1%","-19.9%","14.0%","13.1%","-2.4%","4.2%","-1.8%","-7.2%",""
"M6_151_200_allrisk_lb3mo_bimonthly_top10_21d","10.3%/yr","11.6%/yr","14.2%/yr","-3.9 pp/yr","11.0%/yr","11.8%/yr","-6.3%/yr","14 of 16","12 of 18","-37.3%","19.2%/yr","0.62","0.75","714","277","41.4","73","55.0%","16.2%","-12.3%","1.32×","12.9%","-3.5%","18.7%","57.5%","-3.8%","1.3%","63.8%","-20.7%","2.5%","23.9%","38.4%","-13.2%","16.8%","22.2%","1.0%","-8.1%","-11.3%","17.5%",""
"M10_301_500_allrisk_lb12mo_weekly_top15_1y","10.3%/yr","11.6%/yr","14.2%/yr","-3.9 pp/yr","13.7%/yr","11.8%/yr","-8.0%/yr","13 of 16","8 of 18","-36.9%","16.0%/yr","0.70","0.82","1,373","467","79.6","44","47.9%","19.7%","-12.6%","1.56×","18.7%","-7.3%","-6.3%","68.6%","-6.5%","35.1%","42.5%","-2.7%","-20.1%","28.0%","17.6%","-2.1%","55.0%","25.4%","-11.2%","-9.6%","-3.2%","0.0%",""
"M9_276_550_riskmanaged_lb3mo_monthly_top20_21d","10.3%/yr","11.5%/yr","14.2%/yr","-3.9 pp/yr","11.9%/yr","12.8%/yr","-5.4%/yr","13 of 16","10 of 18","-45.4%","18.1%/yr","0.64","0.75","1,902","551","110.3","38","49.4%","16.1%","-10.7%","1.50×","21.6%","7.2%","9.0%","47.6%","-2.2%","29.2%","82.9%","-31.0%","-0.1%","23.2%","26.0%","-7.7%","18.7%","15.8%","-3.2%","-7.5%","-4.5%","-4.1%",""
"M9_276_550_riskmanaged_lb12mo_bimonthly_top15_1y","10.2%/yr","11.3%/yr","14.2%/yr","-4.0 pp/yr","10.6%/yr","11.0%/yr","-7.9%/yr","13 of 16","8 of 18","-50.6%","19.3%/yr","0.61","0.71","529","324","30.7","116","51.2%","32.2%","-18.2%","1.77×","31.8%","-2.0%","-0.5%","73.0%","-3.6%","31.3%","77.5%","-27.7%","-19.2%","33.9%","33.8%","-15.5%","18.0%","21.3%","-4.2%","-4.4%","-7.2%","0.0%",""
"M10_301_500_allrisk_lb9mo_biweekly_top20_63d","10.2%/yr","11.7%/yr","14.2%/yr","-4.0 pp/yr","9.7%/yr","12.5%/yr","-7.1%/yr","15 of 16","11 of 18","-44.1%","15.6%/yr","0.71","0.82","1,642","540","95.2","46","48.8%","19.0%","-12.4%","1.53×","15.5%","-10.8%","-2.9%","74.5%","0.6%","21.7%","45.6%","-21.8%","-11.1%","15.1%","23.0%","-15.7%","77.2%","14.9%","-6.2%","6.1%","8.4%","-5.5%",""
"M4_76_160_riskmanaged_lb12mo_monthly_top10_1y","10.2%/yr","11.7%/yr","14.2%/yr","-4.0 pp/yr","10.1%/yr","10.3%/yr","-4.2%/yr","15 of 16","12 of 18","-39.4%","16.4%/yr","0.69","0.87","502","213","29.1","100","54.4%","20.2%","-13.6%","1.49×","10.6%","5.9%","10.2%","49.4%","-24.1%","18.8%","51.3%","-12.9%","-20.3%","26.9%","55.0%","-11.4%","33.0%","5.0%","11.0%","13.4%","-4.1%","0.0%",""
"M6_151_200_allrisk_lb12mo_quarterly_top20_1y","10.2%/yr","11.5%/yr","14.2%/yr","-4.0 pp/yr","12.7%/yr","11.6%/yr","2.0%/yr","16 of 16","11 of 18","-26.7%","12.9%/yr","0.83","0.90","493","239","28.6","131","58.8%","25.9%","-15.2%","1.70×","15.6%","-6.2%","3.8%","48.7%","-14.7%","19.6%","38.8%","-11.8%","-0.8%","21.2%","27.3%","-2.0%","26.0%","17.3%","6.3%","11.1%","-2.1%","0.0%",""
"M12_551_800_allrisk_lb12mo_weekly_top10_1y","10.2%/yr","11.5%/yr","14.2%/yr","-4.0 pp/yr","11.3%/yr","12.4%/yr","-5.4%/yr","11 of 16","10 of 18","-40.7%","19.1%/yr","0.61","0.78","1,032","505","59.8","35","45.7%","21.0%","-12.9%","1.63×","16.4%","6.3%","0.8%","47.5%","-9.0%","62.5%","19.2%","-12.0%","-9.6%","15.1%","6.1%","15.0%","76.7%","-1.2%","-1.6%","-8.3%","-6.4%","0.0%",""
"M10_301_500_allrisk_lb12mo_monthly_top15_1y","10.2%/yr","11.8%/yr","14.2%/yr","-4.0 pp/yr","12.5%/yr","10.9%/yr","-6.3%/yr","13 of 16","11 of 18","-56.9%","17.8%/yr","0.65","0.74","796","424","46.2","81","51.3%","25.7%","-16.2%","1.59×","16.6%","-14.4%","-13.1%","61.4%","-0.6%","28.2%","58.0%","-28.2%","-26.7%","56.2%","35.1%","0.4%","46.0%","-0.3%","2.9%","2.9%","9.9%","0.0%",""
"E6 · unconstrained","10.2%/yr","11.7%/yr","14.2%/yr","-4.0 pp/yr","9.5%/yr","9.2%/yr","-8.6%/yr","14 of 16","9 of 18","-43.4%","14.6%/yr","0.75","0.81","21,375","1,582","1229.2","43","48.9%","14.1%","-9.0%","1.56×","14.9%","-6.7%","-6.3%","52.9%","-10.0%","30.2%","71.4%","-20.6%","-17.2%","16.2%","31.2%","-8.6%","33.7%","18.0%","-3.7%","-4.6%","-9.2%","43.2%",""
"M11_501_800_allrisk_lb9mo_quarterly_top10_63d","10.2%/yr","11.9%/yr","14.2%/yr","-4.0 pp/yr","10.6%/yr","9.1%/yr","-20.0%/yr","14 of 16","11 of 18","-56.7%","21.8%/yr","0.56","0.73","377","346","21.9","102","49.3%","34.2%","-19.7%","1.74×","19.7%","4.8%","-11.5%","62.8%","-17.6%","39.4%","109.3%","-38.5%","-8.8%","-8.8%","49.4%","11.1%","26.9%","4.2%","11.0%","-10.9%","14.2%","-3.4%",""
"M10_301_500_allrisk_lb6mo_monthly_top20_63d","10.2%/yr","11.5%/yr","14.2%/yr","-4.1 pp/yr","8.9%/yr","10.8%/yr","-15.7%/yr","14 of 16","14 of 18","-56.6%","15.5%/yr","0.71","0.86","1,540","559","89.3","46","48.2%","18.7%","-11.6%","1.61×","20.9%","0.7%","4.4%","49.3%","-2.4%","35.5%","60.4%","-40.1%","-12.3%","14.0%","19.2%","-5.7%","36.1%","15.2%","6.9%","0.7%","3.6%","12.1%",""
"M11_501_800_allrisk_lb3mo_bimonthly_top10_21d","10.2%/yr","12.5%/yr","14.2%/yr","-4.1 pp/yr","16.6%/yr","13.1%/yr","-24.9%/yr","11 of 16","10 of 18","-67.3%","26.0%/yr","0.51","0.65","677","523","39.3","68","49.0%","28.5%","-18.1%","1.58×","41.8%","-29.2%","-21.1%","77.2%","-34.8%","60.5%","140.4%","-48.4%","-13.6%","-4.9%","80.1%","7.5%","33.6%","26.6%","26.0%","6.4%","-17.9%","-1.7%",""
"M9_276_550_riskmanaged_lb12mo_monthly_top10_1y","10.1%/yr","11.3%/yr","14.2%/yr","-4.1 pp/yr","13.1%/yr","12.4%/yr","-15.1%/yr","12 of 16","10 of 18","-51.7%","21.5%/yr","0.56","0.72","575","326","33.3","83","49.0%","28.7%","-17.2%","1.67×","30.0%","-10.3%","0.6%","56.9%","3.3%","26.1%","79.2%","-14.7%","-25.0%","16.5%","38.1%","-8.0%","56.7%","35.5%","-21.6%","-10.2%","-12.9%","0.0%",""
"M6_151_200_allrisk_lb6mo_bimonthly_top15_63d","10.1%/yr","11.3%/yr","14.2%/yr","-4.1 pp/yr","12.1%/yr","10.7%/yr","-1.2%/yr","14 of 16","13 of 18","-26.5%","14.6%/yr","0.74","0.87","713","275","41.3","87","54.3%","19.6%","-12.7%","1.55×","11.2%","2.9%","12.5%","44.9%","-10.4%","10.2%","60.9%","-15.0%","1.5%","15.3%","16.0%","-7.0%","15.2%","42.9%","-3.3%","6.7%","-6.4%","4.5%",""
"M3_51_100_riskmanaged_lb3mo_bimonthly_top10_21d","10.1%/yr","11.4%/yr","14.2%/yr","-4.1 pp/yr","9.2%/yr","10.0%/yr","-8.9%/yr","13 of 16","11 of 18","-45.1%","19.6%/yr","0.60","0.73","654","170","37.9","74","55.2%","15.9%","-11.4%","1.40×","20.7%","0.2%","-3.4%","44.5%","-1.8%","44.5%","86.1%","-31.7%","3.4%","7.0%","28.5%","-11.8%","24.8%","3.6%","-0.4%","-8.0%","-6.4%","24.5%",""
"M6_151_200_allrisk_lb12mo_quarterly_top15_1y","10.1%/yr","11.5%/yr","14.2%/yr","-4.1 pp/yr","11.9%/yr","11.4%/yr","1.7%/yr","16 of 16","12 of 18","-26.6%","14.2%/yr","0.76","0.85","415","228","24.1","128","56.4%","26.1%","-15.0%","1.74×","16.9%","-12.1%","9.8%","50.3%","-18.0%","24.7%","28.6%","-12.9%","2.1%","18.3%","26.1%","-1.8%","31.1%","15.4%","6.1%","14.6%","-1.4%","0.0%",""
"M7_161_275_allrisk_lb9mo_bimonthly_top20_63d","10.1%/yr","11.4%/yr","14.2%/yr","-4.1 pp/yr","10.9%/yr","11.5%/yr","-0.1%/yr","15 of 16","13 of 18","-23.6%","13.9%/yr","0.77","0.89","828","355","48.0","83","54.2%","21.5%","-13.6%","1.59×","11.9%","-5.8%","-5.3%","46.5%","-10.2%","10.8%","33.9%","6.6%","4.7%","25.0%","18.2%","-13.3%","45.9%","17.4%","-6.4%","11.8%","1.0%","4.4%",""
"M12_551_800_allrisk_lb12mo_quarterly_top20_1y","10.1%/yr","11.9%/yr","14.2%/yr","-4.1 pp/yr","10.5%/yr","11.7%/yr","-11.6%/yr","13 of 16","11 of 18","-51.2%","19.0%/yr","0.61","0.69","642","458","37.2","106","47.2%","36.9%","-18.5%","2.00×","24.5%","-7.1%","-4.7%","48.5%","-34.2%","41.7%","83.1%","-34.5%","-10.9%","18.2%","50.5%","2.7%","56.0%","3.4%","9.9%","-6.1%","5.7%","0.0%",""
"M7_161_275_allrisk_lb12mo_weekly_top15_1y","10.1%/yr","11.5%/yr","14.2%/yr","-4.1 pp/yr","12.4%/yr","11.2%/yr","-1.4%/yr","14 of 16","10 of 18","-28.7%","14.0%/yr","0.77","0.90","1,176","358","68.2","53","49.9%","17.8%","-11.6%","1.54×","16.0%","-13.1%","-4.9%","66.1%","-3.0%","9.5%","49.0%","-9.9%","-12.9%","42.7%","37.0%","-14.0%","29.9%","17.7%","6.0%","7.9%","-9.7%","0.0%",""
"M8_201_300_allrisk_lb12mo_quarterly_top15_1y","10.1%/yr","11.9%/yr","14.2%/yr","-4.1 pp/yr","8.7%/yr","11.1%/yr","-5.5%/yr","15 of 16","11 of 18","-34.7%","16.3%/yr","0.68","0.78","486","292","28.2","115","51.2%","28.3%","-14.7%","1.93×","13.9%","-14.1%","-13.9%","66.9%","-24.2%","29.1%","68.5%","-14.1%","-4.9%","50.5%","23.7%","-21.8%","37.4%","11.8%","1.3%","7.9%","13.3%","0.0%",""
"M11_501_800_allrisk_lb9mo_quarterly_top15_63d","10.1%/yr","11.8%/yr","14.2%/yr","-4.1 pp/yr","8.3%/yr","11.6%/yr","-16.3%/yr","14 of 16","11 of 18","-55.5%","19.8%/yr","0.59","0.73","546","436","31.7","103","47.1%","36.3%","-19.1%","1.90×","26.7%","-9.4%","-12.0%","61.2%","-23.3%","23.0%","99.2%","-34.3%","-16.9%","7.3%","40.7%","17.9%","39.8%","9.3%","19.7%","-4.7%","4.4%","-3.1%",""
"M9_276_550_allrisk_lb6mo_weekly_top10_63d","10.1%/yr","11.6%/yr","14.2%/yr","-4.2 pp/yr","15.7%/yr","12.6%/yr","-7.6%/yr","12 of 16","11 of 18","-44.2%","19.9%/yr","0.59","0.73","1,377","564","79.8","32","46.2%","17.8%","-11.1%","1.60×","5.8%","5.4%","15.6%","67.2%","-15.4%","33.1%","48.7%","-24.6%","-13.3%","38.8%","19.3%","-0.3%","34.9%","19.5%","5.3%","-1.8%","-18.8%","-1.0%",""
"M5_101_150_riskmanaged_lb12mo_weekly_top10_1y","10.1%/yr","11.4%/yr","14.2%/yr","-4.2 pp/yr","10.1%/yr","11.2%/yr","-3.3%/yr","14 of 16","10 of 18","-36.2%","16.6%/yr","0.67","0.84","888","206","51.5","60","49.7%","16.4%","-11.0%","1.50×","13.9%","-0.7%","-12.2%","57.7%","10.5%","15.6%","44.3%","-11.5%","-15.8%","21.6%","15.3%","-7.5%","53.1%","14.2%","-10.3%","22.8%","-2.8%","0.0%",""
"M9_276_550_allrisk_lb9mo_biweekly_top10_63d","10.0%/yr","12.1%/yr","14.2%/yr","-4.2 pp/yr","8.7%/yr","10.8%/yr","-6.7%/yr","14 of 16","10 of 18","-48.3%","18.8%/yr","0.61","0.74","908","447","52.7","43","49.1%","19.7%","-12.9%","1.52×","20.5%","-22.7%","10.9%","63.9%","-32.4%","21.2%","40.3%","-17.7%","-26.0%","33.4%","65.5%","-6.0%","62.0%","29.0%","-4.2%","-4.8%","22.6%","-9.9%",""
"M7_161_275_allrisk_lb12mo_quarterly_top20_1y","10.0%/yr","11.5%/yr","14.2%/yr","-4.2 pp/yr","10.5%/yr","10.7%/yr","-0.3%/yr","15 of 16","12 of 18","-31.3%","14.4%/yr","0.75","0.84","581","317","33.7","120","53.7%","27.4%","-15.0%","1.83×","12.4%","-12.2%","0.3%","56.7%","-14.0%","14.4%","71.1%","-20.6%","-1.0%","39.8%","22.1%","-12.0%","23.9%","17.5%","5.1%","2.3%","7.3%","0.0%",""
"M7_161_275_allrisk_lb6mo_biweekly_top20_63d","10.0%/yr","11.4%/yr","14.2%/yr","-4.2 pp/yr","10.0%/yr","10.1%/yr","-8.6%/yr","14 of 16","12 of 18","-42.5%","14.8%/yr","0.73","0.87","1,763","429","102.2","53","49.9%","16.3%","-10.8%","1.52×","14.8%","-7.2%","1.3%","52.2%","3.4%","28.6%","63.6%","-23.2%","-12.4%","13.5%","23.6%","-13.4%","38.1%","21.3%","-5.3%","7.7%","-4.9%","9.1%",""
"M5_101_150_allrisk_lb3mo_bimonthly_top15_21d","10.0%/yr","11.3%/yr","14.2%/yr","-4.2 pp/yr","9.5%/yr","10.0%/yr","-5.9%/yr","15 of 16","12 of 18","-34.4%","17.2%/yr","0.65","0.80","936","243","54.3","78","55.7%","16.1%","-11.6%","1.39×","9.3%","10.3%","-9.2%","43.5%","4.6%","13.2%","67.6%","-22.0%","-6.9%","14.9%","32.3%","-17.9%","24.5%","22.9%","10.6%","-5.9%","-1.2%","16.5%",""
"M10_301_500_riskmanaged_lb9mo_biweekly_top15_63d","10.0%/yr","11.4%/yr","14.2%/yr","-4.3 pp/yr","14.9%/yr","11.9%/yr","-7.5%/yr","11 of 16","8 of 18","-45.4%","18.9%/yr","0.61","0.72","1,345","402","78.0","47","48.7%","19.4%","-12.9%","1.50×","17.1%","-12.9%","-1.6%","68.3%","-4.2%","40.7%","50.1%","-30.6%","-5.3%","35.8%","22.3%","-3.5%","58.3%","20.9%","-5.6%","-13.0%","-1.5%","-7.7%",""
"M9_276_550_allrisk_lb9mo_weekly_top20_63d","10.0%/yr","11.5%/yr","14.2%/yr","-4.3 pp/yr","11.0%/yr","12.0%/yr","-7.1%/yr","11 of 16","9 of 18","-41.6%","15.3%/yr","0.71","0.81","2,158","621","125.1","35","46.7%","17.3%","-10.9%","1.58×","12.5%","0.6%","-14.0%","63.8%","-3.3%","24.2%","50.3%","-17.6%","-19.4%","20.9%","21.2%","-6.3%","65.6%","35.9%","-0.3%","-2.6%","-4.3%","-6.3%",""
"M10_301_500_riskmanaged_lb12mo_monthly_top10_1y","10.0%/yr","11.3%/yr","14.2%/yr","-4.3 pp/yr","11.6%/yr","11.2%/yr","-13.0%/yr","12 of 16","9 of 18","-53.8%","21.3%/yr","0.56","0.69","587","313","34.0","82","48.9%","28.3%","-16.9%","1.67×","28.1%","-2.2%","-19.9%","89.6%","-9.5%","47.2%","83.7%","-19.8%","-28.4%","47.9%","10.0%","1.7%","41.9%","23.9%","-20.3%","-4.0%","-13.9%","0.0%",""
"M4_76_160_allrisk_lb12mo_monthly_top15_1y","9.9%/yr","11.3%/yr","14.2%/yr","-4.3 pp/yr","11.1%/yr","12.0%/yr","-2.3%/yr","15 of 16","13 of 18","-26.2%","13.6%/yr","0.78","0.94","655","234","38.0","97","54.8%","20.4%","-13.2%","1.55×","3.7%","7.6%","-0.9%","57.4%","-18.7%","9.4%","37.9%","-9.0%","-4.0%","6.9%","38.9%","1.1%","27.4%","18.6%","14.2%","0.9%","5.0%","0.0%",""
"M7_161_275_allrisk_lb12mo_bimonthly_top20_1y","9.9%/yr","11.2%/yr","14.2%/yr","-4.3 pp/yr","10.8%/yr","10.4%/yr","-2.7%/yr","15 of 16","11 of 18","-30.0%","14.1%/yr","0.76","0.87","659","329","38.2","117","53.7%","26.5%","-15.6%","1.70×","12.6%","-12.1%","-7.0%","65.6%","-11.3%","17.5%","37.8%","6.0%","-1.8%","23.5%","22.7%","-12.4%","29.1%","16.5%","-1.3%","10.4%","3.1%","0.0%",""
"M6_151_200_allrisk_lb9mo_bimonthly_top15_63d","9.9%/yr","11.1%/yr","14.2%/yr","-4.3 pp/yr","12.2%/yr","10.9%/yr","-0.9%/yr","14 of 16","13 of 18","-23.9%","13.2%/yr","0.80","0.92","599","253","34.7","89","55.9%","20.4%","-13.3%","1.53×","14.3%","-2.8%","0.5%","42.3%","-10.9%","10.4%","51.4%","-2.6%","3.9%","8.6%","37.2%","-4.6%","19.6%","25.6%","2.7%","8.4%","-11.2%","1.2%",""
"M10_301_500_riskmanaged_lb6mo_biweekly_top10_63d","9.9%/yr","11.2%/yr","14.2%/yr","-4.3 pp/yr","9.5%/yr","11.6%/yr","-14.6%/yr","12 of 16","11 of 18","-54.4%","21.5%/yr","0.55","0.69","1,038","404","60.2","47","48.1%","20.4%","-13.1%","1.57×","27.2%","-12.9%","4.1%","85.8%","11.2%","44.6%","81.9%","-27.3%","-20.9%","27.5%","6.5%","-6.7%","36.8%","31.6%","-0.4%","-27.5%","5.6%","-18.6%",""
"M10_301_500_allrisk_lb9mo_biweekly_top10_63d","9.9%/yr","11.4%/yr","14.2%/yr","-4.3 pp/yr","10.7%/yr","12.1%/yr","-8.2%/yr","14 of 16","13 of 18","-51.6%","18.4%/yr","0.61","0.75","910","424","52.8","44","48.9%","18.5%","-12.3%","1.50×","19.8%","-12.0%","1.2%","63.2%","5.6%","20.3%","30.2%","-21.9%","-19.2%","22.8%","30.2%","10.9%","25.3%","36.6%","-17.0%","4.2%","17.7%","-9.5%",""
"M8_201_300_allrisk_lb9mo_bimonthly_top20_63d","9.9%/yr","11.2%/yr","14.2%/yr","-4.3 pp/yr","10.4%/yr","10.7%/yr","-0.6%/yr","15 of 16","12 of 18","-27.4%","13.8%/yr","0.76","0.87","818","360","47.4","82","54.6%","21.7%","-14.3%","1.51×","16.9%","0.0%","-5.4%","58.3%","-18.5%","13.0%","42.7%","2.8%","-2.3%","16.3%","21.4%","-18.2%","49.5%","19.3%","-7.8%","12.5%","-5.4%","8.9%",""
"M8_201_300_riskmanaged_lb3mo_quarterly_top15_21d","9.8%/yr","11.2%/yr","14.2%/yr","-4.4 pp/yr","12.4%/yr","10.3%/yr","-9.2%/yr","12 of 16","10 of 18","-43.2%","19.4%/yr","0.59","0.69","664","291","38.5","96","52.4%","23.1%","-14.5%","1.60×","22.9%","3.0%","-19.9%","89.0%","-14.0%","18.3%","101.9%","-34.3%","-0.7%","29.3%","20.6%","-8.7%","37.2%","12.8%","-5.0%","-8.6%","-13.9%","19.1%",""
"M4_76_160_allrisk_lb6mo_quarterly_top20_63d","9.8%/yr","11.2%/yr","14.2%/yr","-4.4 pp/yr","9.6%/yr","10.6%/yr","-3.4%/yr","15 of 16","11 of 18","-28.7%","15.8%/yr","0.68","0.79","732","250","42.4","115","58.1%","20.3%","-13.6%","1.50×","13.1%","-1.4%","-4.8%","38.0%","-7.2%","8.7%","57.3%","-11.0%","-6.3%","8.0%","32.4%","-15.3%","47.4%","19.5%","10.0%","0.2%","-2.7%","13.3%",""
"M4_76_160_riskmanaged_lb6mo_quarterly_top10_63d","9.8%/yr","11.4%/yr","14.2%/yr","-4.4 pp/yr","8.2%/yr","13.4%/yr","-0.9%/yr","15 of 16","10 of 18","-32.7%","19.5%/yr","0.59","0.72","432","198","25.0","106","55.8%","20.2%","-12.5%","1.61×","12.1%","-5.9%","-3.1%","34.9%","-16.2%","14.2%","67.9%","-9.9%","-3.2%","19.3%","28.4%","-18.8%","58.3%","19.5%","-2.4%","5.0%","-5.0%","13.4%",""
"M4_76_160_riskmanaged_lb12mo_biweekly_top10_1y","9.8%/yr","11.3%/yr","14.2%/yr","-4.4 pp/yr","11.0%/yr","11.2%/yr","-10.6%/yr","14 of 16","13 of 18","-51.9%","16.0%/yr","0.68","0.80","709","222","41.1","74","55.1%","17.1%","-12.8%","1.34×","8.7%","15.1%","0.4%","44.1%","-9.2%","28.1%","53.4%","-31.5%","-21.6%","33.1%","16.9%","-2.3%","21.5%","23.2%","15.7%","7.7%","2.3%","0.0%",""
"M7_161_275_allrisk_lb6mo_bimonthly_top20_63d","9.8%/yr","11.1%/yr","14.2%/yr","-4.4 pp/yr","9.0%/yr","10.2%/yr","-2.4%/yr","14 of 16","11 of 18","-33.4%","15.7%/yr","0.68","0.80","996","387","57.8","80","52.5%","20.5%","-13.3%","1.54×","16.1%","-5.1%","-11.7%","64.7%","-10.9%","26.5%","52.8%","-21.3%","-3.8%","22.9%","27.3%","-17.8%","36.6%","15.2%","-4.8%","10.9%","9.9%","2.6%",""
"M4_76_160_riskmanaged_lb9mo_quarterly_top10_63d","9.8%/yr","11.1%/yr","14.2%/yr","-4.4 pp/yr","11.1%/yr","11.5%/yr","-0.2%/yr","14 of 16","11 of 18","-30.6%","17.7%/yr","0.63","0.78","382","188","22.2","110","54.5%","22.0%","-12.7%","1.73×","10.9%","7.7%","-10.7%","42.0%","-8.9%","26.9%","58.6%","-5.4%","-7.7%","13.8%","31.3%","-15.8%","56.4%","8.6%","-6.6%","5.8%","1.1%","-2.9%",""
"M4_76_160_allrisk_lb12mo_monthly_top10_1y","9.8%/yr","11.2%/yr","14.2%/yr","-4.4 pp/yr","10.0%/yr","10.1%/yr","-2.5%/yr","15 of 16","13 of 18","-35.4%","15.3%/yr","0.70","0.86","469","214","27.2","99","56.9%","20.1%","-14.2%","1.42×","10.5%","3.3%","12.1%","49.5%","-24.0%","21.0%","45.9%","-13.1%","-13.3%","23.1%","30.2%","-13.3%","24.0%","16.8%","5.6%","6.9%","14.2%","0.0%",""
