ticker,company_name,sector,trendlyne_sector_raw,trendlyne_url
ALGOQUANT,Algoquant Fintech Ltd.,Financial Services,Banking and Finance,https://trendlyne.com/equity/2244/ALGOQUANT/algoquant-fintech-ltd/
ALLTIME,All Time Plastics Ltd.,Consumer Durables,Consumer Durables,https://trendlyne.com/equity/3209812/ALLTIME/all-time-plastics-ltd/
AMRUTANJAN,Amrutanjan Health Care Ltd.,Healthcare,Pharmaceuticals & Biotechnology,https://trendlyne.com/equity/74/AMRUTANJAN/amrutanjan-health-care-ltd/
DOLLAR,Dollar Industries Ltd.,Textiles,Textiles Apparels & Accessories,https://trendlyne.com/equity/71280/DOLLAR/dollar-industries-ltd/
HUHTAMAKI,Huhtamaki India Ltd.,Services,Commercial Services & Supplies,https://trendlyne.com/equity/1002/HUHTAMAKI/huhtamaki-india-ltd/
ARFIN,Arfin India Ltd.,Metals & Mining,Metals & Mining,https://trendlyne.com/equity/4197/ARFIN/arfin-india-ltd/
IGARASHI,Igarashi Motors India Ltd.,Automobile and Auto Components,Automobiles & Auto Components,https://trendlyne.com/equity/595/IGARASHI/igarashi-motors-india-ltd/
PASHUPATI,Pashupati Cotspin Ltd.,Textiles,Textiles Apparels & Accessories,https://trendlyne.com/equity/87818/PASHUPATI/pashupati-cotspin-ltd/
DCW,DCW Ltd.,Chemicals,Chemicals & Petrochemicals,https://trendlyne.com/equity/314/DCW/dcw-ltd/
WEL,Wonder Electricals Ltd.,Consumer Durables,Consumer Durables,https://trendlyne.com/equity/152656/WEL/wonder-electricals-ltd/
VIDHIING,Vidhi Specialty Food Ingredients Ltd.,Chemicals,Chemicals & Petrochemicals,https://trendlyne.com/equity/1986/VIDHIING/vidhi-specialty-food-ingredients-ltd/
BHARATWIRE,Bharat Wire Ropes Ltd.,Metals & Mining,Metals & Mining,https://trendlyne.com/equity/1979/BHARATWIRE/bharat-wire-ropes-ltd/
IMPAL,India Motor Parts & Accessories Ltd.,Services,Commercial Services & Supplies,https://trendlyne.com/equity/603/IMPAL/india-motor-parts-accessories-ltd/
AYMSYNTEX,AYM Syntex Ltd.,Textiles,Textiles Apparels & Accessories,https://trendlyne.com/equity/1774/AYMSYNTEX/aym-syntex-ltd/
SYNCOMF,Syncom Formulation (India) Ltd.,Healthcare,Pharmaceuticals & Biotechnology,https://trendlyne.com/equity/3028/SYNCOMF/syncom-formulation-india-ltd/
MACPOWER,Macpower CNC Machines Ltd.,Capital Goods,General Industrials,https://trendlyne.com/equity/87782/MACPOWER/macpower-cnc-machines-ltd/
RATNAVEER,Ratnaveer Precision Engineering Ltd.,Metals & Mining,Metals & Mining,https://trendlyne.com/equity/1646888/RATNAVEER/ratnaveer-precision-engineering-ltd/
ASIANHOTNR,Asian Hotels (North) Ltd.,Consumer Services,Hotels Restaurants & Tourism,https://trendlyne.com/equity/116/ASIANHOTNR/asian-hotels-north-ltd/
ICEMAKE,ICE Make Refrigeration Ltd.,Capital Goods,General Industrials,https://trendlyne.com/equity/87724/ICEMAKE/ice-make-refrigeration-ltd/
SOLEX,Solex Energy Ltd.,Consumer Durables,Consumer Durables,https://trendlyne.com/equity/87785/SOLEX/solex-energy-ltd/
