ticker,company_name,sector,isin
CHEVIOT,CHEVIOT COMPANY LTD,Forest Materials,INE974B01016
DMCC,DMCC SPECIALITY CHEMICALS LTD,Chemicals,INE505A01010
GLOTTIS,GLOTTIS LTD,Services,INE0TQE01026
COMSYN,COMMERCIAL SYN BAGS LTD,Capital Goods,INE073V01015
BIRLACABLE,BIRLA CABLE LTD,Telecommunication,INE800A01015
FOCUS,FOCUS BUSINESS SOLUTION LTD,Information Technology,INE0DXR01010
OSWALGREEN,OSWAL GREENTECH LTD,Financial Services,INE143A01010
SHINDL,SHARAT INDUSTRIES LTD,Fast Moving Consumer Goods,INE220Z01013
TPLPLASTEH,TPL PLASTECH LTD,Capital Goods,INE413G01022
MUFTI,CREDO BRANDS MARKETING LTD,Consumer Services,INE220Q01020
PTL,PTL ENTERPRISES LTD,Services,INE034D01049
ZODIAC,ZODIAC ENERGY LTD,Construction,INE761Y01019
NILE,NILE LTD,Metals & Mining,INE445D01013
BAFNAPH,BAFNA PHARMACEUTICALS LTD,Healthcare,INE878I01022
HLVLTD,HLV LTD,Consumer Services,INE102A01024
TERASOFT,TERA SOFTWARE LTD,Information Technology,INE482B01010
MANCREDIT,MANGAL CREDIT AND FINCORP LTD,Financial Services,INE545L01039
DCMSRIND,DCM SHRIRAM INDUSTRIES LTD,Fast Moving Consumer Goods,INE843D01027
ADVANIHOTR,ADVANI HOTELS  RESORTS (INDIA) LTD,Consumer Services,INE199C01026
UNIDT,UNITED DRILLING TOOLS LTD,Capital Goods,INE961D01019
ABCOTS,A B COTSPIN INDIA LTD,Textiles,INE08PH01015
ORIENTCER,ORIENT CERATECH LTD,Capital Goods,INE569C01020
ORIENTBELL,ORIENT BELL LTD,Consumer Durables,INE607D01018
DICIND,DIC INDIA LTD,Chemicals,INE303A01010
KANPRPLA,KANPUR PLASTIPACK LTD,Capital Goods,INE694E01014
MANAKSTEEL,MANAKSIA STEELS LTD,Metals & Mining,INE824Q01011
OMAXAUTO,OMAX AUTOS LTD,Automobile and Auto Components,INE090B01011
UGARSUGAR,UGAR SUGAR WORKS LTD,Fast Moving Consumer Goods,INE071E01023
DONEAR,DONEAR INDUSTRIES LTD,Textiles,INE668D01028
LIBERTSHOE,LIBERTY SHOES LTD,Consumer Durables,INE557B01019
BBTCL,BB TRIPLEWALL CONTAINERS LTD,Capital Goods,INE01EE01011
DCI,DC INFOTECH AND COMMUNICATION LTD,Information Technology,INE0A1101019
NDLVENTURE,NDL VENTURES LTD,Financial Services,INE353A01023
AEPL,ARTEMIS ELECTRICALS AND PROJECTS LTD,Capital Goods,INE757T01025
SINGERIND,SINGER INDIA LTD,Consumer Durables,INE638A01035
EUROBOND,EURO PANEL PRODUCTS LTD,Capital Goods,INE505V01016
KRITINUT,KRITI NUTRIENTS LTD,Fast Moving Consumer Goods,INE798K01010
TIGERLOGS,TIGER LOGISTICS (INDIA) LTD,Services,INE906O01029
SINCLAIR,SINCLAIRS HOTELS LTD,Consumer Services,INE985A01022
MEGASTAR,MEGASTAR FOODS LTD,Fast Moving Consumer Goods,INE00EM01016
DJML,DJ MEDIAPRINT  LOGISTICS LTD,Services,INE0B1K01014
MARKOLINES,MARKOLINES PAVEMENT TECHNOLOGIES LTD,Construction,INE0FW001016
WIMPLAST,WIM PLAST LTD,Consumer Durables,INE015B01018
HCL-INSYS,HCL INFOSYSTEMS LTD,Information Technology,INE236A01020
PAKKA,PAKKA LTD,Forest Materials,INE551D01018
OMFREIGHT,OM FREIGHT FORWARDERS LTD,Services,INE1BZC01019
AVG,AVG LOGISTICS LTD,Services,INE680Z01018
CPEDU,CAREER POINT EDUTECH LTD,Consumer Services,INE0P6P01016
GOACARBON,GOA CARBON LTD,Metals & Mining,INE426D01013
ORIENTPPR,ORIENT PAPER  INDUSTRIES LTD,Forest Materials,INE592A01026
ATALREAL,ATAL REALTECH LTD,Realty,INE0ALR01029
MAHEPC,MAHINDRA EPC IRRIGATION LTD,Capital Goods,INE215D01010
VGL,VARVEE GLOBAL LTD,Textiles,INE273D01027
VARDMNPOLY,VARDHMAN POLYTEX LTD,Textiles,INE835A01029
HPAL,HP ADHESIVES LTD,Chemicals,INE0GSL01024
GENUSPAPER,GENUS PAPER  BOARDS LTD,Forest Materials,INE949P01018
AXITA,AXITA COTTON LTD,Textiles,INE02EZ01022
GLOBECIVIL,GLOBE CIVIL PROJECTS LTD,Construction,INE0V3U01015
ASHIMASYN,ASHIMA LTD,Textiles,INE440A01010
UYFINCORP,U Y FINCORP LTD,Financial Services,INE152C01025
CINELINE,CINELINE INDIA LTD,"Media, Entertainment & Publication",INE704H01022
BPL,BPL LTD,Consumer Durables,INE110A01019
BIRLAPREC,BIRLA PRECISION TECHNOLOGIES LTD,Capital Goods,INE372E01025
SCANSTL,SCAN STEELS LTD,Metals & Mining,INE099G01011
GENCON,GENERIC ENGINEERING CONSTRUCTION AND PROJECTS LTD,Realty,INE854S01022
SSDL,SARASWATI SAREE DEPOT LTD,Textiles,INE0PQ101010
BCONCEPTS,BRAND CONCEPTS LTD,Consumer Services,INE977Y01011
RUDRA,RUDRA GLOBAL INFRA PRODUCTS LTD,Capital Goods,INE027T01023
STARPAPER,STAR PAPER MILLS LTD,Forest Materials,INE733A01018
ROSSELLIND,ROSSELL INDIA LTD,Fast Moving Consumer Goods,INE847C01020
ASMS,AVIO SMART MARKET STACK LTD,Information Technology,INE855F01042
RVTH,REVATHI EQUIPMENT INDIA LTD,Capital Goods,INE0DAB01012
RADIOCITY,MUSIC BROADCAST LTD,"Media, Entertainment & Publication",INE919I01024
TEAMGTY,TEAM INDIA GUARANTY LTD,Financial Services,INE289C01025
KHADIM,KHADIM INDIA LTD,Consumer Durables,INE834I01025
SAKHTISUG,SAKTHI SUGARS LTD,Fast Moving Consumer Goods,INE623A01011
FILATFASH,FILATEX FASHIONS LTD,Textiles,INE185E01021
GULFPETRO,GP PETROLEUMS LTD,"Oil, Gas & Consumable Fuels",INE586G01017
MURUDCERA,MURUDESHWAR CERAMICS LTD,Consumer Durables,INE692B01014
AKSHARCHEM,AKSHARCHEM INDIA LTD,Chemicals,INE542B01011
EMMBI,EMMBI INDUSTRIES LTD,Capital Goods,INE753K01015
SHIVATEX,SHIVA TEXYARN LTD,Textiles,INE705C01020
NECCLTD,NORTH EASTERN CARRYING CORPORATION LTD,Services,INE553C01016
KANCHI,KANCHI KARPOORAM LTD,Chemicals,INE081G01019
INDOUS,INDO US BIO-TECH LTD,Fast Moving Consumer Goods,INE250Z01010
VASWANI,VASWANI INDUSTRIES LTD,Metals & Mining,INE590L01019
NIRAJ,NIRAJ CEMENT STRUCTURALS LTD,Construction,INE368I01016
UMIYA-MRO,UMIYA BUILDCON LTD,Telecommunication,INE398B01018
MODTHREAD,MODERN THREAD INDIA LTD,Textiles,INE794W01014
AARTECH,AARTECH SOLONICS LTD,Capital Goods,INE01C001026
BI,BILCARE LTD,Healthcare,INE986A01012
HPIL,HINDPRAKASH INDUSTRIES LTD,Chemicals,INE05X901010
AVROIND,AVRO INDIA LTD,Consumer Durables,INE652Z01025
MAGNUM,MAGNUM VENTURES LTD,Forest Materials,INE387I01016
SURANASOL,SURANA SOLAR LTD,Capital Goods,INE272L01022
SECMARK,SECMARK CONSULTANCY LTD,Information Technology,INE0BTM01013
MHLXMIRU,MAHALAXMI RUBTECH LTD,Textiles,INE112D01035
SHYAMCENT,SHYAM CENTURY FERROUS LTD,Metals & Mining,INE979R01011
GTL,GTL LTD,Telecommunication,INE043A01012
OBCL,OBCL LTD,Services,INE426Z01016
SURYALAXMI,SURYALAKSHMI COTTON MILLS LTD,Textiles,INE713B01026
PATINTLOG,PATEL INTEGRATED LOGISTICS LTD,Services,INE529D01014
RAJSREESUG,RAJSHREE SUGARS  CHEMICALS LTD,Fast Moving Consumer Goods,INE562B01019
JETFREIGHT,JET FREIGHT LOGISTICS LTD,Services,INE982V01025
SIL,STANDARD INDUSTRIES LTD,Realty,INE173A01025
BHANDARI,BHANDARI HOSIERY EXPORTS LTD,Textiles,INE474E01029
SELMC,SEL MANUFACTURING COMPANY LTD,Textiles,INE105I01020
SPLIL,SPL INDUSTRIES LTD,Textiles,INE978G01016
AMDIND,AMD INDUSTRIES LTD,Capital Goods,INE005I01014
FIBERWEB,FIBERWEB INDIA LTD,Textiles,INE296C01020
CURAA,CURA TECHNOLOGIES LTD,Information Technology,INE117B01020
NAGREEKEXP,NAGREEKA EXPORTS LTD,Textiles,INE123B01028
BLBLIMITED,BLB LTD,Financial Services,INE791A01024
LCCINFOTEC,LCC INFOTECH LTD,Consumer Services,INE938A01021
NIBL,NRB INDUSTRIAL BEARINGS LTD,Capital Goods,INE047O01014
AGRITECH,AGRI- TECH (INDIA) LTD,Fast Moving Consumer Goods,INE449G01018
PRAKASHSTL,PRAKASH STEELAGE LTD,Capital Goods,INE696K01024
WEWIN,WE WIN LTD,Services,INE082W01014
BONLON,BONLON INDUSTRIES LTD,Metals & Mining,INE0B9A01018
ATLASCYCLE,ATLAS CYCLES (HARYANA) LTD,Consumer Durables,INE446A01025
SUNDARAM,SUNDARAM MULTI PAP LTD,Fast Moving Consumer Goods,INE108E01023
GATECH,GACM TECHNOLOGIES LTD,Financial Services,INE224E01028
KHAITANLTD,KHAITAN (INDIA) LTD,Consumer Durables,INE731C01018
TRU,TRUCAP FINANCE LTD,Financial Services,INE615R01029
BALKRISHNA,BALKRISHNA PAPER MILLS LTD,Forest Materials,INE875R01011
DHRUV,DHRUV CONSULTANCY SERVICES LTD,Services,INE506Z01015
TPHQ,TEAMO PRODUCTIONS HQ LTD,Construction,INE065J01024
KARMAENG,KARMA ENERGY LTD,Power,INE725L01011
ARCHIES,ARCHIES LTD,Consumer Durables,INE731A01020
MANUGRAPH,MANUGRAPH INDIA LTD,Capital Goods,INE867A01022
MANGALAM,MANGALAM DRUGS  ORGANICS LTD,Healthcare,INE584F01014
AMBICAAGAR,AMBICA AGARBATHIES  AROMA INDUSTRIES LTD,Fast Moving Consumer Goods,INE792B01012
ADL,ARCHIDPLY DECOR LTD,Consumer Durables,INE0CHO01012
SUPERSPIN,SUPER SPINNING MILLS LTD,Textiles,INE662A01027
INFOMEDIA,INFOMEDIA PRESS LTD,"Media, Entertainment & Publication",INE669A01022
SGL,STL GLOBAL LTD,Textiles,INE353H01010
NEXTMEDIA,NEXT MEDIAWORKS LTD,"Media, Entertainment & Publication",INE747B01016
TGBHOTELS,TGB BANQUETS AND HOTELS LTD,Consumer Services,INE797H01018
SHYAMTEL,SHYAM TELECOM LTD,Services,INE635A01023
TCIFINANCE,TCI FINANCE LTD,Financial Services,INE911B01018
HAVISHA,SRI HAVISHA HOSPITALITY AND INFRASTRUCTURE LTD,Consumer Services,INE293B01029
TECILCHEM,TECIL CHEMICALS  HYDRO POWER LTD,Chemicals,INE014B01011
GLFL,GUJARAT LEASE FINANCING LTD,Financial Services,INE540A01017
ASTRON,ASTRON PAPER  BOARD MILL LTD,Forest Materials,INE646X01014
HEADSUP,HEADS UP VENTURES LTD,Textiles,INE759V01019
ORTINGLOBE,ORTIN GLOBAL LTD,Healthcare,INE749B01020
ARENTERP,RAJDARSHAN INDUSTRIES LTD,Metals & Mining,INE610C01014
AAATECH,AAA TECHNOLOGIES LTD,Services,INE0D0U01013
AAREYDRUGS,AAREY DRUGS  PHARMACEUTICALS LTD,Healthcare,INE198H01019
AARNAV,AARNAV FASHIONS LTD,Textiles,INE750R01016
ABINFRA,A B INFRABUILD LTD,Construction,INE00YB01025
ACL,ANDHRA CEMENTS LTD,Construction Materials,INE666E01020
AJAXENGG,AJAX ENGINEERING LTD,Capital Goods,INE274Y01021
AKSHAR,AKSHAR SPINTEX LTD,Textiles,INE256Z01025
ALBERTDAVD,ALBERT DAVID LTD,Healthcare,INE155C01010
ALKALI,ALKALI METALS LTD,Chemicals,INE773I01017
AMANTA,AMANTA HEALTHCARE LTD,Healthcare,INE084K01015
AMBIKCO,AMBIKA COTTON MILLS LTD,Textiles,INE540G01014
ANDHRAPAP,ANDHRA PAPER LTD,Forest Materials,INE435A01051
ANMOL,ANMOL INDIA LTD,"Oil, Gas & Consumable Fuels",INE02AR01019
ANTELOPUS,ANTELOPUS SELAN ENERGY LTD,"Oil, Gas & Consumable Fuels",INE818A01017
ANUHPHR,ANUH PHARMA LTD,Healthcare,INE489G01022
APEX,APEX FROZEN FOODS LTD,Fast Moving Consumer Goods,INE346W01013
AROGRANITE,ARO GRANITE INDUSTRIES LTD,Consumer Durables,INE210C01013
ASAL,AUTOMOTIVE STAMPINGS AND ASSEMBLIES LTD,Automobile and Auto Components,INE900C01027
ASTRAZEN,ASTRAZENECA PHARMA INDIA LTD,Healthcare,INE203A01020
ATAM,ATAM VALVES LTD,Capital Goods,INE09KD01013
AUTOAXLES,AUTOMOTIVE AXLES LTD,Automobile and Auto Components,INE449A01011
AVADHSUGAR,AVADH SUGAR  ENERGY LTD,Fast Moving Consumer Goods,INE349W01017
AVL,ADITYA VISION LTD,Consumer Services,INE679V01027
AYE,AYE FINANCE LTD,Financial Services,INE501X01029
BAIDFIN,BAID FINSERV LTD,Financial Services,INE020D01022
BAJAJHCARE,BAJAJ HEALTHCARE LTD,Healthcare,INE411U01027
BANARBEADS,BANARAS BEADS LTD,Consumer Durables,INE655B01011
BANARISUG,BANNARI AMMAN SUGARS LTD,Fast Moving Consumer Goods,INE459A01010
BBL,BHARAT BIJLEE LTD,Capital Goods,INE464A01036
BELLACASA,BELLA CASA FASHION  RETAIL LTD,Textiles,INE344T01014
BHARATCOAL,BHARAT COKING COAL LTD,"Oil, Gas & Consumable Fuels",INE05XR01022
BHARATGEAR,BHARAT GEARS LTD,Automobile and Auto Components,INE561C01019
BHARATSE,BHARAT SEATS LTD,Automobile and Auto Components,INE415D01024
