ticker,company_name,sector,tier,market_cap_cr,adtv_cr,is_fno_eligible,is_nifty500,isin
AIIL,Authum Investment & Infrastructure Ltd.,Financial Services,3,0,42.673763376825384,False,True,INE206F01022
AIRAN,,,6,0,0.1253943286984127,False,False,
AIROLAM,,,6,0,0.11551268620634922,False,False,
AJANTPHARM,Ajanta Pharmaceuticals Ltd.,Healthcare,3,0,35.886535047301585,False,True,INE031B01049
AJAXENGG,,,6,0,5.122186626904763,False,False,
AJMERA,,,6,0,11.310704005365082,False,False,
AJOONI,,,6,0,0.1381592082222222,False,False,
AKASH,,,6,0,0.023122676888888884,False,False,
AKCAPIT,,,6,0,0.11277125259999998,False,False,
AKG,,,6,0,0.023226953063492067,False,False,
AKI,,,6,0,0.05093304603174601,False,False,
AKSHAR,,,6,0,0.0660426056984127,False,False,
AKSHARCHEM,,,6,0,0.2641504446349206,False,False,
AKSHOPTFBR,,,6,0,0.2310579129166667,False,False,
AKUMS,,,6,0,16.222926861825396,False,False,
AKZOINDIA,,,6,0,13.563346649000001,False,False,
ALANKIT,,,6,0,0.1768937587777778,False,False,
ALBERTDAVD,,,6,0,0.3624151161111111,False,False,
ALEMBICLTD,,,6,0,2.6589041352222225,False,False,
ALGOQUANT,,,6,0,7.3593517106825415,False,False,
ALICON,,,6,0,1.0089464568253967,False,False,
ALIVUS,,,6,0,11.175661704920635,False,False,
ALKALI,,,6,0,0.3075348133181818,False,False,
ALKEM,Alkem Laboratories Ltd.,Healthcare,3,0,75.42540352619046,False,True,INE540L01014
ALKYLAMINE,,,6,0,36.99484429777778,False,False,
ALLCARGO,,,6,0,4.733261713746032,False,False,
ALLDIGI,,,6,0,0.5899331584126984,False,False,
ALLTIME,,,6,0,4.457453551698413,False,False,
ALMONDZ,,,6,0,0.14650345582539687,False,False,
ALOKINDS,,,6,0,10.54701568004762,False,False,
ALPA,,,6,0,0.17037633847619044,False,False,
ALPHA,,,6,0,7.960892027539681,False,False,
ALPHAETF,,,6,0,1.3615687843650794,False,False,
ALPHAGEO,,,6,0,0.28731352114285713,False,False,
ALPL30IETF,,,6,0,2.481746095936508,False,False,
AMAGI,,,6,0,14.07231733563492,False,False,
AMANTA,,,6,0,4.272139213981817,False,False,
AMBALALSA,,,6,0,0.34438340828,False,False,
AMBER,Amber Enterprises India Ltd.,Consumer Durables,4,0,330.7874937238095,False,True,INE371P01015
AMBICAAGAR,,,6,0,0.015193793269841271,False,False,
AMBIKCO,,,6,0,2.843149688730159,False,False,
AMBUJACEM,Ambuja Cements Ltd.,Construction Materials,2,0,150.873683485046,False,True,INE079A01024
AMDIND,,,6,0,0.05861883985714287,False,False,
AMIRCHAND,,,6,0,27.774576181096773,False,False,
AMJLAND,,,6,0,0.06259034584126984,False,False,
AMNPLST,,,6,0,0.4596248207142855,False,False,
AMRUTANJAN,,,6,0,1.7546480273809522,False,False,
ANANDRATHI,Anand Rathi Wealth Ltd.,Financial Services,4,0,127.26487758780708,False,True,INE463V01026
ANANTRAJ,Anant Raj Ltd.,Realty,4,0,146.5177461692857,False,True,INE242C01024
ANDHRAPAP,,,6,0,0.9195198744603176,False,False,
ANDHRSUGAR,,,6,0,4.946090942603175,False,False,
ANGELONE,Angel One Ltd.,Financial Services,4,0,304.42531024299996,False,True,INE732I01021
ANIKINDS,,,6,0,0.09929892891666665,False,False,
ANMOL,,,6,0,0.1367388827777778,False,False,
ANTELOPUS,,,6,0,14.39232928857143,False,False,
ANTGRAPHIC,,,6,0,0.018033749603174602,False,False,
ANTHEM,Anthem Biosciences Ltd.,Healthcare,3,0,34.104537687076025,False,True,INE0CZ201020
ANUHPHR,,,6,0,0.44980643079365085,False,False,
ANUP,,,6,0,10.46480746142857,False,False,
ANURAS,Anupam Rasayan India Ltd.,Chemicals,4,0,40.15877954587302,False,True,INE930P01018
AONEGOLD,,,6,0,0.8473653194603175,False,False,
AONELIQUID,,,6,0,4.563039984047619,False,False,
AONENIFTY,,,6,0,0.35741589695238096,False,False,
AONESILVER,,,6,0,0.758642022857143,False,False,
AONETMMQ50,,,6,0,0.17944534053968253,False,False,
AONETOTAL,,,6,0,0.316920776031746,False,False,
APARINDS,Apar Industries Ltd.,Capital Goods,3,0,189.31186345634922,False,True,INE372A01015
APCL,,,6,0,0.07948896253968253,False,False,
APCOTEXIND,,,6,0,6.250588858174603,False,False,
APEX,,,6,0,31.36028907079365,False,False,
APLAPOLLO,APL Apollo Tubes Ltd.,Capital Goods,3,0,140.84157430936506,False,True,INE702C01027
APLLTD,,,6,0,10.140869620634922,False,False,
APOLLO,,,6,0,798.2380002001269,False,False,
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,Healthcare,1,0,331.6589336952381,False,True,INE437A01024
APOLLOPIPE,,,6,0,23.532705259206352,False,False,
APOLLOTYRE,Apollo Tyres Ltd.,Automobile and Auto Components,3,0,56.51898304849206,False,True,INE438A01022
APOLSINHOT,,,6,0,0.12881645253968257,False,False,
APTECHT,,,6,0,8.000126423196427,False,False,
APTUS,Aptus Value Housing Finance India Ltd.,Financial Services,4,0,46.013835907301846,False,True,INE852O01025
AQYLON,,,6,0,19.892611478539685,False,False,
ARCHIDPLY,,,6,0,0.16698991966666668,False,False,
ARCHIES,,,6,0,0.03525360980952381,False,False,
ARE&M,Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,4,0,153.27285364960318,False,True,INE885A01032
ARENTERP,,,6,0,0.00712573385483871,False,False,
ARFIN,,,6,0,21.073159552634923,False,False,
ARIES,,,6,0,0.9895750849206348,False,False,
ARIHANT,,,6,0,0.5410519444000002,False,False,
ARIHANTCAP,,,6,0,2.0373608999047623,False,False,
ARIHANTSUP,,,6,0,5.097193363793652,False,False,
ARIS,,,6,0,14.634942650730157,False,False,
ARKADE,,,6,0,4.692968089968255,False,False,
ARMANFIN,,,6,0,8.31300835079365,False,False,
AROGRANITE,,,6,0,0.030501708809523815,False,False,
ARROWGREEN,,,6,0,6.81878349932692,False,False,
ARSSBL,,,6,0,29.003594852301585,False,False,
ARTEMISMED,,,6,0,4.779522633777778,False,False,
ARTNIRMAN,,,6,0,0.04834155505128205,False,False,
ARVEE,,,6,0,0.047145636919354826,False,False,
ARVIND,,,6,0,44.03906707968254,False,False,
ARVINDFASN,,,6,0,16.933631513968255,False,False,
ARVSMART,,,6,0,16.182910168174605,False,False,
ASAHIINDIA,Asahi India Glass Ltd.,Automobile and Auto Components,4,0,12.549269204047617,False,True,INE439A01020
ASAHISONG,,,6,0,0.5451129793015875,False,False,
ASAL,,,6,0,2.225281432460317,False,False,
ASALCBR,,,6,0,3.071528265952381,False,False,
ASHAPURMIN,,,6,0,57.46382598873014,False,False,
ASHIANA,,,6,0,4.178686558650793,False,False,
ASHIKA,,,6,0,5.201623542,False,False,
ASHIMASYN,,,6,0,0.19523894169841272,False,False,
ASHOKA,,,6,0,23.806917223571425,False,False,
ASHOKAMET,,,6,0,0.04238737784126984,False,False,
ASHOKLEY,Ashok Leyland Ltd.,Capital Goods,3,0,454.99281747091476,False,True,INE208A01029
ASIANENE,,,6,0,15.265616392857144,False,False,
ASIANHOTNR,,,6,0,0.3948228209523809,False,False,
ASIANPAINT,Asian Paints Ltd.,Consumer Durables,1,0,342.51932717426763,False,True,INE021A01026
ASIANTILES,,,6,0,29.365870620968252,False,False,
ASKAUTOLTD,,,6,0,8.708742653333333,False,False,
ASMS,,,6,0,1.1216693623684209,False,False,
ASPINWALL,,,6,0,0.08043904763492064,False,False,
ASTAR,,,6,0,0.010611105348837208,False,False,
ASTEC,,,6,0,16.022112325555558,False,False,
ASTERDM,Aster DM Healthcare Ltd.,Healthcare,4,0,63.05169102103175,False,True,INE914M01019
ASTRAL,Astral Ltd.,Capital Goods,3,0,115.70596592634921,False,True,INE006I01046
ASTRAMICRO,,,6,0,144.0512050348413,False,False,
ASTRAZEN,,,6,0,9.20074698015873,False,False,
ASTRON,,,6,0,0.05511896916666666,False,False,
ATALREAL,,,6,0,16.212926752428572,False,False,
ATAM,,,6,0,0.09649893973015873,False,False,
ATGL,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,3,0,517.0534121903162,False,True,INE399L01023
ATHERENERG,Ather Energy Ltd.,Automobile and Auto Components,4,0,468.7960005731746,False,True,INE0LEZ01016
ATL,,,6,0,0.4731382382698413,False,False,
ATLANTAA,,,6,0,0.3987880628095238,False,False,
ATLANTAELE,,,6,0,36.44253383181818,False,False,
ATLASCYCLE,,,6,0,0.39549982698412706,False,False,
ATUL,Atul Ltd.,Chemicals,4,0,19.55886232222222,False,True,INE100A01010
ATULAUTO,,,6,0,36.874979684920625,False,False,
AUBANK,AU Small Finance Bank Ltd.,Financial Services,3,0,201.8609816211905,False,True,INE949L01017
AURIGROW,,,6,0,0.4001280153015873,False,False,
AURIONPRO,,,6,0,20.80890955333333,False,False,
AUROPHARMA,Aurobindo Pharma Ltd.,Healthcare,3,0,207.10615254317463,False,True,INE406A01037
AURUM,,,6,0,2.6573879579999997,False,False,
AUSOMENT,,,6,0,0.4773725385,False,False,
AUTOAXLES,,,6,0,1.9936742388888888,False,False,
AUTOBEES,,,6,0,9.470069995698413,False,False,
AUTOIETF,,,6,0,2.704364299285715,False,False,
AUTOIND,,,6,0,3.133611277621622,False,False,
AVADHSUGAR,,,6,0,5.518402672500001,False,False,
AVAILFC,,,6,0,0.05132963081818182,False,False,
AVALON,,,6,0,69.56914822658732,False,False,
AVANTEL,,,6,0,41.395231580730155,False,False,
AVANTIFEED,,,6,0,112.71990085952382,False,False,
AVG,,,6,0,1.3458496335714287,False,False,
AVL,,,6,0,16.168253656825403,False,False,
AVONMORE,,,6,0,0.25835290258730154,False,False,
AVROIND,,,6,0,0.4501197046349207,False,False,
AVTNPL,,,6,0,0.4554657663333333,False,False,
AWFIS,,,6,0,14.888373370031742,False,False,
AWHCL,,,6,0,18.360517584841276,False,False,
AWL,AWL Agri Business Ltd.,Fast Moving Consumer Goods,3,0,64.48969919444961,False,True,INE699H01024
AXISBANK,Axis Bank Ltd.,Financial Services,1,0,970.5973631526983,False,True,INE238A01034
AXISBNKETF,,,6,0,0.17243248582539683,False,False,
AXISBPSETF,,,6,0,0.61645408305,False,False,
AXISCADES,,,6,0,33.63152700888889,False,False,
AXISCETF,,,6,0,0.030301785079365085,False,False,
AXISGOLD,,,6,0,25.55693186730159,False,False,
AXISHCETF,,,6,0,0.1202843387142857,False,False,
AXISILVER,,,6,0,21.409768685349206,False,False,
AXISNIFTY,,,6,0,0.9889341931269843,False,False,
AXISTECETF,,,6,0,1.1691703703809522,False,False,
AXISVALUE,,,6,0,0.5319693078888887,False,False,
AXITA,,,6,0,0.29791341485000006,False,False,
AXSENSEX,,,6,0,0.04079480668253968,False,False,
AYE,,,6,0,27.618499690190475,False,False,
AYMSYNTEX,,,6,0,0.5849235454285714,False,False,
AZAD,,,6,0,102.96807531396826,False,False,
BAFNAPH,,,6,0,0.24720980971428572,False,False,
BAGFILMS,,,6,0,0.060498971015873,False,False,
BAIDFIN,,,6,0,0.12012608738095236,False,False,
BAJAJ-AUTO,Bajaj Auto Ltd.,Automobile and Auto Components,1,0,417.614764190299,False,True,INE917I01010
BAJAJCON,,,6,0,68.95338403293651,False,False,
BAJAJELEC,,,6,0,7.431679836190479,False,False,
