ticker,bse_scripcode,company_name,isin,resolved_at
NAVKARURB,531494,NAVKAR URBANSTRUCTURE LTD,INE268H01044,2026-09-05
NDL,532641,NANDAN DENIM LTD,INE875G01048,2026-09-05
NGIL,541418,NAKODA GROUP OF INDUSTRIES LTD,INE236Y01012,2026-09-05
NIRLON,500307,NIRLON LTD,INE910A01012,2026-09-05
NITINSPIN,532698,NITIN SPINNERS LTD,INE229H01012,2026-09-05
NORBTEAEXP,519528,NORBEN TEA  EXPORTS LTD,INE369C01017,2026-09-05
NOVARTIND,500672,NOVARTIS INDIA LTD,INE234A01025,2026-09-05
NRAIL,516082,NR AGARWAL INDUSTRIES LTD,INE740D01017,2026-09-05
OCCLLTD,544278,OCCL LTD,INE0PK601023,2026-09-05
ODIGMA,544301,ODIGMA CONSULTANCY SOLUTIONS LTD,INE054301028,2026-09-05
OILCOUNTUB,500313,OIL COUNTRY TUBULAR LTD,INE591A01010,2026-09-05
OMPOWER,544750,OM POWER TRANSMISSION LTD,INE25E901019,2026-09-05
ORIENTALTL,532817,ORIENTAL TRIMEX LTD,INE998H01012,2026-09-05
ORIENTCEM,535754,ORIENT CEMENT LTD,INE876N01018,2026-09-05
ORIENTELEC,541301,ORIENT ELECTRIC LTD,INE142Z01019,2026-09-05
ORIENTLTD,526325,ORIENT PRESS LTD,INE609C01024,2026-09-05
ORISSAMINE,590086,ORISSA MINERALS DEVELOPMENT COMPANY LTD,INE725E01024,2026-09-05
PARASPETRO,521246,PARAS PETROFILS LTD,INE162C01024,2026-09-05
PASUPTAC,500456,PASUPATI ACRYLON LTD,INE818B01023,2026-09-05
PATELRMART,544487,PATEL RETAIL LTD,INE0R8B01010,2026-09-05
PAUSHAKLTD,532742,PAUSHAK LTD,INE111F01024,2026-09-05
PDMJEPAPER,539785,PUDUMJEE PAPER PRODUCTS LTD,INE865T01018,2026-09-05
PEARLPOLY,523260,PEARL POLYMERS LTD,INE844A01013,2026-09-05
PGHH,500459,PROCTER  GAMBLE HYGIENE AND HEALTH CARE LTD,INE179A01014,2026-09-05
PGHL,500126,PROCTER  GAMBLE HEALTH LTD,INE199A01012,2026-09-05
PILITA,500327,PIL ITALICA LIFESTYLE LTD,INE600A01035,2026-09-05
PLASTIBLEN,523648,PLASTIBLENDS INDIA LTD,INE083C01022,2026-09-05
PLAZACABLE,544003,PLAZA WIRES LTD,INE0INJ01017,2026-09-05
PNBGILTS,532366,PNB GILTS LTD,INE859A01011,2026-09-05
PNGSREVA,544718,PNGS REVA DIAMOND JEWELLERY LTD,INE1RDG01013,2026-09-05
PODDARMENT,524570,PODDAR PIGMENTS LTD,INE371C01013,2026-09-05
PONNIERODE,532460,PONNI SUGARS (ERODE) LTD,INE838E01017,2026-09-05
PPL,542684,PRAKASH PIPES LTD,INE050001010,2026-09-05
PRAXIS,540901,PRAXIS HOME RETAIL LTD,INE546Y01022,2026-09-05
PRINCEPIPE,542907,PRINCE PIPES AND FITTINGS LTD,INE689W01016,2026-09-05
PSB,533295,PUNJAB  SIND BANK,INE608A01012,2026-09-05
PYRAMID,543969,PYRAMID TECHNOPLAST LTD,INE0MIS01010,2026-09-05
QUADFUTURE,544336,QUADRANT FUTURE TEK LTD,INE0LRY01011,2026-09-05
RADHIKAJWE,540125,RADHIKA JEWELTECH LTD,INE583V01021,2026-09-05
RAJTV,532826,RAJ TELEVISION NETWORK LTD,INE952H01027,2026-09-05
RAMANEWS,500356,SHREE RAMA NEWSPRINT LTD,INE278B01020,2026-09-05
RAMAPHO,524037,RAMA PHOSPHATES LTD,INE809A01032,2026-09-05
RANASUG,507490,RANA SUGARS LTD,INE625B01014,2026-09-05
