ticker,company_name,sector,screener_url
BANCOINDIA,Banco Products (India) Ltd,Automobile and Auto Components,/company/BANCOINDIA/consolidated/
SUDEEPPHRM,Sudeep Pharma Ltd,Healthcare,/company/SUDEEPPHRM/consolidated/
JLHL,Jupiter Life Line Hospitals Ltd,Healthcare,/company/JLHL/consolidated/
PGIL,Pearl Global Industries Ltd,Textiles,/company/PGIL/consolidated/
IXIGO,Le Travenues Technology Ltd,Consumer Services,/company/IXIGO/consolidated/
HCG,Healthcare Global Enterprises Ltd,Healthcare,/company/HCG/consolidated/
ASKAUTOLTD,ASK Automotive Ltd,Automobile and Auto Components,/company/ASKAUTOLTD/consolidated/
GENUSPOWER,Genus Power Infrastructures Ltd,Capital Goods,/company/GENUSPOWER/consolidated/
RELIGARE,Religare Enterprises Ltd,Financial Services,/company/RELIGARE/consolidated/
GRINFRA,G R Infraprojects Ltd,Construction,/company/GRINFRA/consolidated/
EMBDL,Embassy Developments Ltd,Realty,/company/EMBDL/consolidated/
TIMETECHNO,Time Technoplast Ltd,Capital Goods,/company/TIMETECHNO/consolidated/
ICIL,Indo Count Industries Ltd,Textiles,/company/ICIL/consolidated/
POWERMECH,Power Mech Projects Ltd,Construction,/company/POWERMECH/consolidated/
KRBL,KRBL Ltd,Fast Moving Consumer Goods,/company/KRBL/consolidated/
BLUESTONE,Bluestone Jewellery & Lifestyle Ltd,Consumer Durables,/company/BLUESTONE/consolidated/
THYROCARE,Thyrocare Technologies Ltd,Healthcare,/company/THYROCARE/consolidated/
TTKPRESTIG,TTK Prestige Ltd,Consumer Durables,/company/TTKPRESTIG/consolidated/
PCJEWELLER,PC Jeweller Ltd,Consumer Durables,/company/PCJEWELLER/consolidated/
BORORENEW,Borosil Renewables Ltd,Capital Goods,/company/BORORENEW/consolidated/
INDIASHLTR,India Shelter Finance Corporation Ltd,Financial Services,/company/INDIASHLTR/consolidated/
WELENT,Welspun Enterprises Ltd,Construction,/company/WELENT/consolidated/
STARCEMENT,Star Cement Ltd,Construction Materials,/company/STARCEMENT/consolidated/
MAHSEAMLES,Maharashtra Seamless Ltd,Capital Goods,/company/MAHSEAMLES/consolidated/
YATHARTH,Yatharth Hospital & Trauma Care Services Ltd,Healthcare,/company/YATHARTH/consolidated/
CELLO,Cello World Ltd,Consumer Durables,/company/CELLO/consolidated/
ORKLAINDIA,Orkla India Ltd,Fast Moving Consumer Goods,/company/ORKLAINDIA/consolidated/
KAMAHOLD,Kama Holdings Ltd,Financial Services,/company/KAMAHOLD/consolidated/
QPOWER,Quality Power Electrical Equipments Ltd,Capital Goods,/company/QPOWER/consolidated/
SHREEJISPG,Shreeji Shipping Global Ltd,Services,/company/SHREEJISPG/consolidated/
INOXGREEN,Inox Green Energy Services Ltd,Services,/company/INOXGREEN/consolidated/
SKYGOLD,Sky Gold & Diamonds Ltd,Consumer Durables,/company/SKYGOLD/consolidated/
SFL,Sheela Foam Ltd,Consumer Durables,/company/SFL/consolidated/
GNFC,Gujarat Narmada Valley Fertilizers & Chemicals Ltd,Chemicals,/company/GNFC/consolidated/
SHARDACROP,Sharda Cropchem Ltd,Chemicals,/company/SHARDACROP/consolidated/
