ticker,sector,tier,market_cap_cr,adtv_cr,is_nifty500,is_fno_eligible,isin
GUJGASLTD,Utilities,6,30962.0,36.53090713579365,False,False,
SERVOTECH,,6,2278.0,18.37354134515873,False,False,
SAKAR,,6,1871.0,13.076802059523809,False,False,
KRISHNADEF,,6,1829.0,17.435344286428574,False,False,
MACPOWER,,6,1332.0,3.8221611704761913,False,False,
ICEMAKE,,6,1233.0,3.6229473884920633,False,False,
KAPSTON,,6,1127.0,0.7684851165,False,False,
LGHL,,6,1114.0,0.6685476715079365,False,False,
GKWLIMITED,,6,1039.0,0.1140574214285714,False,False,
SVLL,,6,809.0,0.6106260186000001,False,False,
KOTHARIPET,,6,727.0,0.932004502952381,False,False,
CONSOFINVT,,6,723.0,0.229530002689655,False,False,
PANACHE,,6,710.0,0.6851707865517241,False,False,
NBIFIN,,6,557.0,0.1120122212698412,False,False,
SHIVAUM,,6,544.0,0.0237916063793103,False,False,
GLOBAL,,6,529.0,1.346447770206349,False,False,
TARACHAND,,6,442.0,0.7166288049682539,False,False,
UNITEDTEA,,6,242.0,0.1261330393650793,False,False,
PKTEA,,6,241.0,0.040680032,False,False,
SILGO,,6,240.0,3.36455170173016,False,False,
KOTARISUG,,6,207.0,0.1563139986825396,False,False,
NITIRAJ,,6,191.0,0.0995262988095238,False,False,
SIKKO,,6,166.0,0.1574843366031746,False,False,
RPPL,,6,164.0,0.1744591162063492,False,False,
LATTEYS,,6,121.0,0.35039565009375,False,False,
GVPTECH,,6,116.0,0.0478448252380952,False,False,
AAKASH,,6,92.233596473,0.2056302803,False,False,
TOUCHWOOD,,6,76.18102660800001,0.0314439285714285,False,False,
RKEC,,6,69.4,0.170314414047619,False,False,
JAIPURKURT,,6,54.2,0.0620390945714285,False,False,
DANGEE,,6,50.5,0.0713382394285714,False,False,
LAXMICOT,,6,24.8,0.02833528388,False,False,
ACEINTEG,,6,22.900046589,0.0507703169365079,False,False,
UNIINFO,,6,13.76068288,0.0158001031904761,False,False,
LYPSAGEMS,,6,13.6,0.0195667423809523,False,False,
GRADIENTE,,6,6.374646316000001,0.237236762,False,False,
AARON,,6,0.0,0.1661959704285714,False,False,
AHLADA,,6,0.0,0.058482717031746,False,False,
AJOONI,,6,0.0,0.1381592082222222,False,False,
AKZOINDIA,,6,0.0,13.563346649,False,False,
ANTGRAPHIC,,6,0.0,0.0180337496031746,False,False,
ARTNIRMAN,,6,0.0,0.048341555051282,False,False,
ARVEE,,6,0.0,0.0471456369193548,False,False,
AURIGROW,,6,0.0,0.4001280153015873,False,False,
AXISBPSETF,,6,0.0,0.61645408305,False,False,
BOHRAIND,,6,0.0,0.0437851618666666,False,False,
CROWN,,6,0.0,0.254671460031746,False,False,
EIFFL,,6,0.0,1.351503536779661,False,False,
GANGAFORGE,,6,0.0,0.092178804047619,False,False,
GEEKAYWIRE,,6,0.0,0.337345684095238,False,False,
GROBTEA,,6,0.0,0.0169574295238095,False,False,
HECPROJECT,,6,0.0,0.2673858904126984,False,False,
IRISDOREME,,6,0.0,1.295943709936508,False,False,
JOCIL,,6,0.0,0.2641377022045454,False,False,
KRISHANA,Agriculture,6,0.0,22.97061808563492,False,False,
KRITIKA,,6,0.0,0.1202689594761904,False,False,
LAGNAM,,6,0.0,0.1075632035555555,False,False,
LEXUS,,6,0.0,0.0595887813103448,False,False,
LFIC,,6,0.0,0.1284592165714285,False,False,
MASKINVEST,,6,0.0,0.1586818,False,False,
MBAPL,,6,0.0,13.18055895611111,False,False,
MCL,,6,0.0,0.2488301436999999,False,False,
MIRCELECTR,,6,0.0,14.380655340794116,False,False,
MOKSH,,6,0.0,0.1816919702222222,False,False,
NIRAJISPAT,,6,0.0,0.0034249509642857,False,False,
OSIAHYPER,,6,0.0,0.7142217910799998,False,False,
PAR,,6,0.0,0.0887138375238095,False,False,
PRITI,,6,0.0,0.1362858648518518,False,False,
RAJMET,,6,0.0,0.132867270707317,False,False,
SASTASUNDR,,6,0.0,0.3847472438095238,False,False,
SDL26BEES,,6,0.0,2.038292054157895,False,False,
SINTERCOM,,6,0.0,0.4988224406031745,False,False,
SONAMLTD,,6,0.0,0.2626863143968254,False,False,
VARDHACRLC,,6,0.0,0.3163375748571428,False,False,
VCL,,6,0.0,0.0558370007301587,False,False,
VISASTEEL,,6,0.0,0.2018196044193548,False,False,
