ticker,ex_date,action_type,stored_ratio,ratio,verdict,expected_gap,observed_gap,already_applied,needs_ratio_write
ALKYLAMINE,2014-09-08,SPLIT,5.0,5.0,no_price_data,5.0,,False,False
ALKYLAMINE,2021-05-11,SPLIT,2.5,2.5,no_price_data,2.5,,False,False
ALLCARGO,2015-12-30,BONUS,1.0,1.0,no_price_data,2.0,,False,False
ALLCARGO,2024-01-02,BONUS,3.0,3.0,no_price_data,4.0,,False,False
ALMONDZ,2024-07-23,SPLIT,6.0,6.0,no_price_data,6.0,,False,False
ALMONDZ,2024-08-01,BONUS,5.0,5.0,no_price_data,6.0,,False,False
ALPSINDUS,2006-09-22,BONUS,1.0,1.0,confirmed,2.0,1.8379501385041548,False,False
AMJLAND,2009-03-23,SPLIT,0.0,5.0,no_price_data,5.0,,False,False
AMRUTANJAN,2012-10-25,SPLIT,10.0,10.0,no_price_data,10.001,,False,False
AMRUTANJAN,2012-10-25,BONUS,0.0001,0.0001,no_price_data,10.001,,False,False
AMRUTANJAN,2018-04-13,SPLIT,2.0,2.0,no_price_data,2.0,,False,False
ANANDRATHI,2025-03-05,BONUS,1.0,1.0,no_price_data,2.0,,False,False
ANANDRATHI,2026-06-03,BONUS,1.0,1.0,no_price_data,2.0,,False,False
ANANTRAJ,2007-10-08,SPLIT,5.0,5.0,no_price_data,5.0,,False,False
ANDHRAPAP,2024-09-11,SPLIT,5.0,5.0,no_price_data,5.0,,False,False
ANDHRSUGAR,2021-12-30,SPLIT,5.0,5.0,no_price_data,5.0,,False,False
ANGELONE,2026-02-26,SPLIT,10.0,10.0,no_price_data,10.0,,False,False
ANMOL,2023-07-18,SPLIT,5.0,5.0,no_price_data,25.0,,False,False
ANMOL,2023-07-18,BONUS,4.0,4.0,no_price_data,25.0,,False,False
ANSALAPI,2006-05-10,SPLIT,0.0,2.0,no_price_data,2.0,,False,False
ANSALAPI,2007-04-23,BONUS,1.0,1.0,no_price_data,2.0,,False,False
ANSALHSG,2013-04-10,BONUS,2.0,2.0,confirmed,3.0,2.629107981220657,False,False
ANTELOPUS,2010-12-31,BONUS,0.1,0.1,no_price_data,1.1,,False,False
ANTGRAPHIC,2006-01-06,SPLIT,10.0,10.0,already_adjusted,10.0,0.9333333333333335,True,False
ANUHPHR,2025-07-15,SPLIT,2.0,2.0,no_price_data,4.0,,False,False
ANUHPHR,2025-07-15,BONUS,1.0,1.0,no_price_data,4.0,,False,False
ANUP,2024-04-23,SPLIT,2.0,2.0,no_price_data,4.0,,False,False
ANUP,2024-04-23,BONUS,1.0,1.0,no_price_data,4.0,,False,False
APARINDS,2007-01-11,BONUS,0.3333333333333333,0.3333333333333333,no_price_data,1.3333333333333333,,False,False
APCOTEXIND,2013-08-14,SPLIT,10.0,10.0,no_price_data,10.0,,False,False
APCOTEXIND,2015-09-23,SPLIT,5.0,5.0,no_price_data,10.0,,False,False
APCOTEXIND,2015-09-23,BONUS,1.0,1.0,no_price_data,10.0,,False,False
APCOTEXIND,2019-07-04,SPLIT,2.5,2.5,no_price_data,2.5,,False,False
APLAPOLLO,2020-12-15,SPLIT,5.0,5.0,no_price_data,5.0,,False,False
APLAPOLLO,2021-09-16,BONUS,1.0,1.0,no_price_data,2.0,,False,False
APOLLO,2023-05-04,SPLIT,10.0,10.0,no_price_data,10.0,,False,False
APOLLOHOSP,2010-09-02,SPLIT,2.0,2.0,no_price_data,2.0,,False,False
APOLLOPIPE,2021-12-02,BONUS,2.0,2.0,no_price_data,3.0,,False,False
APOLLOTYRE,2007-08-17,SPLIT,10.0,10.0,no_price_data,10.0,,False,False
APOLSINHOT,2018-10-12,SPLIT,2.0,2.0,no_price_data,2.0,,False,False
APTECHT,2023-07-14,BONUS,0.4,0.4,already_adjusted,1.4,0.9403996796311854,True,False
AQUA,2010-10-01,SPLIT,10.0,10.0,confirmed,10.0,10.010236220472441,False,False
AQYLON,2026-03-05,SPLIT,10.0,10.0,no_price_data,10.0,,False,False
ARCHIES,2010-11-02,SPLIT,5.0,5.0,no_price_data,5.0,,False,False
ARCOTECH,2017-06-22,SPLIT,5.0,5.0,confirmed,5.0,5.209259259259259,False,False
ARE&M,2007-09-19,SPLIT,5.0,5.0,no_price_data,5.0,,False,False
ARE&M,2008-10-14,BONUS,0.5,0.5,no_price_data,1.5,,False,False
ARE&M,2012-09-25,SPLIT,2.0,2.0,no_price_data,2.0,,False,False
ARIHANTCAP,2022-04-12,SPLIT,5.0,5.0,no_price_data,5.0,,False,False
AROGRANITE,2008-09-26,BONUS,0.5,0.5,no_price_data,1.5,,False,False
AROGRANITE,2013-10-30,BONUS,0.5,0.5,no_price_data,1.5,,False,False
ARTEMISMED,2021-09-23,SPLIT,10.0,10.0,no_price_data,10.0,,False,False
ASHAPURMIN,2006-03-23,SPLIT,10.0,10.0,contradicted,10.0,0.488638262322473,True,False
ASHAPURMIN,2007-10-18,BONUS,1.0,1.0,no_price_data,2.0,,False,False
ASHIANA,2013-10-24,SPLIT,5.0,5.0,no_price_data,5.0,,False,False
ASHOKA,2013-07-03,SPLIT,2.0,2.0,no_price_data,2.0,,False,False
ASHOKA,2018-07-12,BONUS,0.5,0.5,no_price_data,1.5,,False,False
ASHOKLEY,2011-08-02,BONUS,1.0,1.0,no_price_data,2.0,,False,False
ASHOKLEY,2025-07-16,BONUS,1.0,1.0,no_price_data,2.0,,False,False
ASIANELEC,2007-10-22,SPLIT,0.0,2.0,confirmed,2.0,2.0636639237765264,False,True
ASIANPAINT,2013-07-30,SPLIT,10.0,10.0,no_price_data,10.0,,False,False
ASTERDM,2024-04-23,BONUS,0.0001,0.0001,no_price_data,1.0001,,False,False
ASTRAL,2010-09-15,SPLIT,2.0,2.0,no_price_data,2.0,,False,False
ASTRAL,2013-09-05,SPLIT,2.5,2.5,no_price_data,2.5,,False,False
ASTRAL,2014-09-25,SPLIT,2.0,2.0,no_price_data,2.0,,False,False
ASTRAL,2019-09-16,BONUS,0.25,0.25,no_price_data,1.25,,False,False
ASTRAL,2021-03-18,BONUS,0.3333333333333333,0.3333333333333333,no_price_data,1.3333333333333333,,False,False
ASTRAL,2023-03-14,BONUS,0.3333333333333333,0.3333333333333333,no_price_data,1.3333333333333333,,False,False
ASTRAMICRO,2010-12-30,BONUS,0.5,0.5,no_price_data,1.5,,False,False
ASTRAZEN,2006-06-15,SPLIT,0.0,5.0,no_price_data,5.0,,False,False
ASTRAZEN,2008-01-04,BONUS,1.0,1.0,no_price_data,2.0,,False,False
ATALREAL,2023-11-16,SPLIT,5.0,5.0,no_price_data,5.0,,False,False
ATLANTAA,2010-11-08,SPLIT,5.0,5.0,no_price_data,5.0,,False,False
ATLASCYCLE,2017-10-30,SPLIT,2.0,2.0,no_price_data,2.0,,False,False
ATULAUTO,2014-09-12,SPLIT,2.0,2.0,no_price_data,2.0,,False,False
AUBANK,2022-06-09,BONUS,1.0,1.0,no_price_data,2.0,,False,False
AURIGROW,2022-01-20,BONUS,1.0,1.0,no_price_data,2.0,,False,False
AURIGROW,2022-03-24,SPLIT,10.0,10.0,no_price_data,10.0,,False,False
AURIONPRO,2024-06-27,SPLIT,2.0,2.0,no_price_data,4.0,,False,False
AURIONPRO,2024-06-27,BONUS,1.0,1.0,no_price_data,4.0,,False,False
AUROPHARMA,2011-02-10,SPLIT,5.0,5.0,no_price_data,5.0,,False,False
AUROPHARMA,2015-07-20,BONUS,1.0,1.0,no_price_data,2.0,,False,False
AURUS,2014-09-29,BONUS,0.5,0.5,no_price_data,1.5,,False,False
AURUS,2017-07-12,BONUS,0.4,0.4,already_adjusted,1.4,0.8333333333333334,False,False
AUSTRAL,2009-08-07,SPLIT,0.0,10.0,confirmed,10.0,9.802441731409546,False,True
AVADHSUGAR,2019-06-27,BONUS,1.0,1.0,no_price_data,2.0,,False,False
AVANTIFEED,2015-11-26,SPLIT,15.0,15.0,no_price_data,15.0,,False,False
AVANTIFEED,2018-06-26,SPLIT,3.0,3.0,no_price_data,3.0,,False,False
AVONMORE,2024-06-28,SPLIT,10.0,10.0,no_price_data,10.0,,True,False
AVROIND,2026-05-05,SPLIT,10.0,10.0,no_price_data,10.0,,False,False
AVTNPL,2012-06-07,SPLIT,10.0,10.0,no_price_data,10.0,,False,False
AVTNPL,2013-09-26,SPLIT,2.0,2.0,no_price_data,4.0,,False,False
AVTNPL,2013-09-26,BONUS,1.0,1.0,no_price_data,4.0,,False,False
AXISBANK,2014-07-28,SPLIT,5.0,5.0,no_price_data,5.0,,False,False
AXITA,2022-10-21,SPLIT,20.0,20.0,no_price_data,20.0,,False,False
AXITA,2023-12-22,BONUS,0.3333333333333333,0.3333333333333333,no_price_data,1.3333333333333333,,False,False
AXITA,2024-09-20,BONUS,0.3333333333333333,0.3333333333333333,no_price_data,1.3333333333333333,,False,False
AXITA,2026-02-13,BONUS,0.1,0.1,no_price_data,1.1,,False,False
BAJAJ-AUTO,2010-09-08,BONUS,1.0,1.0,no_price_data,2.0,,False,False
BAJAJ-AUTO,2020-03-03,BONUS,0.0001,0.0001,no_price_data,1.0001,,False,False
BAJAJCON,2011-05-05,SPLIT,5.0,5.0,no_price_data,5.0,,False,False
BAJAJELEC,2010-01-28,SPLIT,5.0,5.0,no_price_data,5.0,,False,False
BAJAJFINSV,2022-09-13,SPLIT,5.0,5.0,no_price_data,10.0,,False,False
BAJAJFINSV,2022-09-13,BONUS,1.0,1.0,no_price_data,10.0,,False,False
BAJFINANCE,2016-09-08,SPLIT,5.0,5.0,no_price_data,10.0,,False,False
BAJFINANCE,2016-09-08,BONUS,1.0,1.0,no_price_data,10.0,,False,False
BAJFINANCE,2025-06-16,SPLIT,2.0,2.0,no_price_data,10.0,,False,False
BAJFINANCE,2025-06-16,BONUS,4.0,4.0,no_price_data,10.0,,False,False
BALAMINES,2010-11-18,SPLIT,5.0,5.0,no_price_data,5.0,,False,False
BALAXI,2024-05-30,SPLIT,5.0,5.0,no_price_data,5.0,,False,False
BALKRISIND,2010-12-20,SPLIT,5.0,5.0,no_price_data,5.0,,False,False
BALKRISIND,2017-12-21,BONUS,1.0,1.0,no_price_data,2.0,,False,False
BALMLAWRIE,2013-05-23,BONUS,0.75,0.75,no_price_data,1.75,,False,False
BALMLAWRIE,2016-12-26,BONUS,3.0,3.0,no_price_data,4.0,,False,False
BALMLAWRIE,2019-12-26,BONUS,0.5,0.5,no_price_data,1.5,,False,False
BANCOINDIA,2007-08-30,SPLIT,20.0,20.0,no_price_data,20.002,,False,False
BANCOINDIA,2007-08-30,BONUS,0.0001,0.0001,no_price_data,20.002,,False,False
BANCOINDIA,2007-11-23,SPLIT,0.0,5.0,no_price_data,5.0,,False,False
BANCOINDIA,2024-12-30,BONUS,1.0,1.0,no_price_data,2.0,,False,False
BANKBARODA,2015-01-22,SPLIT,5.0,5.0,no_price_data,5.0,,False,False
BANKRAJAS,2008-09-18,BONUS,0.2,0.2,already_adjusted,1.2,1.108108108108108,False,False
BANSWRAS,2022-09-08,SPLIT,2.0,2.0,no_price_data,2.0,,False,False
BASML,2021-02-12,SPLIT,2.0,2.0,already_adjusted,2.0,0.9967191601049868,True,False
BATAINDIA,2015-10-07,SPLIT,2.0,2.0,no_price_data,2.0,,False,False
BATLIBOI,2007-09-26,SPLIT,0.0,2.0,confirmed,2.0,1.877184223664503,True,True
BBL,2024-04-24,SPLIT,2.0,2.0,no_price_data,2.0,,False,False
BBOX,2012-12-19,BONUS,1.0,1.0,no_price_data,2.0,,False,False
BBOX,2022-05-13,SPLIT,5.0,5.0,no_price_data,5.0,,False,False
BBTC,2012-11-08,SPLIT,5.0,5.0,no_price_data,5.0,,False,False
BCG,2021-08-18,BONUS,0.25,0.25,no_price_data,1.25,,False,False
BCG,2022-03-15,BONUS,0.6666666666666666,0.6666666666666666,no_price_data,1.6666666666666665,,False,False
BCLIND,2023-10-27,SPLIT,10.0,10.0,no_price_data,10.0,,False,False
BDL,2024-05-24,SPLIT,2.0,2.0,no_price_data,2.0,,False,False
BEARDSELL,2017-05-04,SPLIT,5.0,5.0,no_price_data,5.0,,False,False
BECTORFOOD,2025-12-12,SPLIT,5.0,5.0,no_price_data,5.0,,False,False
BEL,2015-09-14,BONUS,2.0,2.0,no_price_data,3.0,,False,False
BEL,2017-03-16,SPLIT,10.0,10.0,no_price_data,10.0,,False,False
BEL,2017-09-28,BONUS,0.1,0.1,no_price_data,1.1,,False,False
BEL,2022-09-15,BONUS,2.0,2.0,no_price_data,3.0,,False,False
BEML,2025-11-03,SPLIT,2.0,2.0,no_price_data,2.0,,False,False
BEPL,2023-07-05,BONUS,0.5,0.5,no_price_data,1.5,,False,False
BERGEPAINT,2006-10-12,BONUS,0.6,0.6,already_adjusted,1.6,0.9582963620230699,True,False
BERGEPAINT,2015-01-08,SPLIT,2.0,2.0,no_price_data,2.0,,False,False
BERGEPAINT,2016-07-15,BONUS,0.4,0.4,no_price_data,1.4,,False,False
BERGEPAINT,2023-09-22,BONUS,0.2,0.2,no_price_data,1.2,,False,False
BESTAGRO,2026-01-16,SPLIT,10.0,10.0,no_price_data,15.0,,False,False
BESTAGRO,2026-01-16,BONUS,0.5,0.5,no_price_data,15.0,,False,False
BHAGCHEM,2024-05-02,SPLIT,10.0,10.0,no_price_data,10.0,,False,False
BHAGERIA,2019-07-17,BONUS,1.0,1.0,already_adjusted,2.0,0.9832111153994598,True,False
BHAGYNAGAR,2006-09-07,BONUS,1.0,1.0,no_price_data,2.0,,False,False
BHARATFORG,2017-09-28,BONUS,1.0,1.0,no_price_data,2.0,,False,False
BHARATGEAR,2022-09-27,BONUS,0.5,0.5,already_adjusted,1.5,0.8371860302211547,True,False
BHARATRAS,2025-12-12,SPLIT,2.0,2.0,no_price_data,4.0,,False,False
BHARATRAS,2025-12-12,BONUS,1.0,1.0,no_price_data,4.0,,False,False
BHARTIARTL,2009-07-24,BONUS,0.9888,0.9888,no_price_data,1.9888,,False,False
BHEL,2007-05-31,BONUS,1.0,1.0,no_price_data,2.0,,False,False
BHEL,2011-10-03,SPLIT,5.0,5.0,no_price_data,5.0,,False,False
BHEL,2017-09-28,BONUS,0.5,0.5,no_price_data,1.5,,False,False
BIGBLOC,2021-11-15,SPLIT,5.0,5.0,no_price_data,5.0,,False,False
BIGBLOC,2024-09-12,BONUS,1.0,1.0,no_price_data,2.0,,False,False
BILENERGY,2013-03-26,SPLIT,10.0,10.0,confirmed,10.0,10.274647887323944,False,False
BILENERGY,2018-01-11,BONUS,1.0,1.0,no_price_data,2.0,,False,False
BILPOWER,2012-10-04,BONUS,1.0,1.0,confirmed,2.0,1.9036885245901642,False,False
BIOCON,2008-09-11,BONUS,1.0,1.0,no_price_data,2.0,,False,False
BIOCON,2017-06-15,BONUS,2.0,2.0,no_price_data,3.0,,False,False
BIOCON,2019-06-12,BONUS,1.0,1.0,no_price_data,2.0,,False,False
BIRLACOT,2009-10-23,SPLIT,0.0,10.0,no_price_data,10.0,,False,False
BIRLACOT,2010-09-29,BONUS,0.2,0.2,no_price_data,1.2,,False,False
BIRLAMONEY,2008-07-11,SPLIT,0.0,10.0,no_price_data,10.0,,False,False
BIRLAPOWER,2009-04-24,SPLIT,0.0,10.0,confirmed,10.0,8.846153846153847,False,True
BIRLAPOWER,2010-10-20,BONUS,0.2,0.2,already_adjusted,1.2,1.0,False,False
BLKASHYAP,2007-10-22,SPLIT,20.0,20.0,no_price_data,20.0,,False,False
BLKASHYAP,2010-09-29,SPLIT,10.0,10.0,no_price_data,10.0,,False,False
BLS,2017-04-26,SPLIT,10.0,10.0,no_price_data,10.0,,False,False
BLS,2022-05-13,BONUS,1.0,1.0,no_price_data,2.0,,False,False
BLS,2022-12-08,BONUS,1.0,1.0,no_price_data,2.0,,False,False
BLUEDART,2014-11-17,BONUS,0.0,,unparseable,,,False,False
BLUESTARCO,2006-09-20,SPLIT,5.0,5.0,already_adjusted,5.0,1.0438356164383558,True,False
BLUESTARCO,2023-06-20,BONUS,1.0,1.0,no_price_data,2.0,,False,False
BOMDYEING,2012-10-30,SPLIT,5.0,5.0,no_price_data,5.0,,False,False
BORORENEW,2018-08-02,BONUS,3.0,3.0,no_price_data,4.0,,False,False
BOSCHCHASY,2007-06-06,BONUS,1.0,1.0,confirmed,2.0,2.069408017984264,False,False
BPCL,2016-07-13,BONUS,1.0,1.0,no_price_data,2.0,,False,False
BPCL,2017-07-13,BONUS,0.5,0.5,no_price_data,1.5,,False,False
BPCL,2024-06-21,BONUS,1.0,1.0,no_price_data,2.0,,False,False
BRIGADE,2019-08-28,BONUS,0.5,0.5,no_price_data,1.5,,False,False
BRIGADE,2026-06-17,BONUS,0.3333333333333333,0.3333333333333333,no_price_data,1.3333333333333333,,False,False
BRITANNIA,2010-03-08,BONUS,1.0,1.0,no_price_data,2.0,,False,False
BRITANNIA,2010-09-08,SPLIT,5.0,5.0,no_price_data,5.0,,False,False
BRITANNIA,2018-11-29,SPLIT,2.0,2.0,no_price_data,2.0,,False,False
BRITANNIA,2019-08-22,BONUS,0.0,,unparseable,,,False,False
BRITANNIA,2021-05-25,BONUS,0.0,,unparseable,,,False,False
BSE,2022-03-21,BONUS,2.0,2.0,no_price_data,3.0,,False,False
BSE,2025-05-23,BONUS,2.0,2.0,no_price_data,3.0,,False,False
BSHSL,2022-09-23,SPLIT,10.0,10.0,already_adjusted,10.0,0.952210408505876,True,False
BSLIMITED,2013-09-30,BONUS,1.0,1.0,confirmed,2.0,2.2179226069246436,False,False
BSLIMITED,2014-01-21,SPLIT,10.0,10.0,confirmed,10.0,9.19921875,False,False
BSOFT,2007-01-04,BONUS,1.0,1.0,no_price_data,2.0,,True,False
BSOFT,2012-03-13,BONUS,1.0,1.0,no_price_data,2.0,,False,False
BTML,2024-04-05,SPLIT,10.0,10.0,no_price_data,10.0,,False,False
CAMS,2025-12-05,SPLIT,5.0,5.0,no_price_data,5.0,,False,False
CANBK,2023-06-14,BONUS,0.0001,0.0001,no_price_data,1.0001,,False,False
CANBK,2024-05-15,SPLIT,5.0,5.0,no_price_data,5.0,,False,False
CANFINHOME,2017-10-12,SPLIT,5.0,5.0,no_price_data,5.0,,False,False
CANTABIL,2023-11-02,SPLIT,5.0,5.0,no_price_data,5.0,,False,False
CARBORUNIV,2011-10-05,SPLIT,2.0,2.0,no_price_data,2.0,,False,False
CASTEXTECH,2011-11-21,BONUS,1.0,1.0,no_price_data,2.0,,False,False
CASTROL,2010-04-09,BONUS,1.0,1.0,confirmed,2.0,1.9894317869887455,False,False
CASTROL,2012-09-04,BONUS,1.0,1.0,confirmed,2.0,2.0697183098591547,False,False
CASTROLIND,2017-12-21,BONUS,1.0,1.0,no_price_data,2.0,,False,False
CASTROLIND,2023-05-04,BONUS,0.0001,0.0001,no_price_data,1.0001,,False,False
CCAVENUE,2021-03-18,BONUS,1.0,1.0,no_price_data,2.0,,False,False
CCAVENUE,2022-03-14,BONUS,1.0,1.0,no_price_data,2.0,,False,False
CCCL,2010-02-10,SPLIT,0.0,5.0,confirmed,5.0,4.829689298043728,False,True
CCL,2013-08-19,SPLIT,5.0,5.0,no_price_data,10.0,,False,False
CCL,2013-08-19,BONUS,1.0,1.0,no_price_data,10.0,,False,False
CDSL,2024-08-23,BONUS,1.0,1.0,no_price_data,2.0,,False,False
CEMPRO,2015-08-21,SPLIT,10.0,10.0,no_price_data,10.0,,False,False
CENTURYPLY,2008-04-24,SPLIT,10.0,10.0,no_price_data,10.0,,False,False
CERA,2010-09-02,SPLIT,2.0,2.0,no_price_data,4.0,,False,False
CERA,2010-09-02,BONUS,1.0,1.0,no_price_data,4.0,,False,False
CESC,2021-09-17,SPLIT,10.0,10.0,no_price_data,10.0,,False,False
CGCL,2016-11-23,BONUS,3.9996,3.9996,no_price_data,4.9996,,False,False
CGCL,2024-03-05,SPLIT,2.0,2.0,no_price_data,4.0,,False,False
CGCL,2024-03-05,BONUS,1.0,1.0,no_price_data,4.0,,False,False
CGPOWER,2006-08-10,SPLIT,5.0,5.0,contradicted,5.0,0.19015425008204803,True,False
CGPOWER,2006-12-14,BONUS,0.4,0.4,contradicted,1.4,0.6937157954331004,True,False
CGPOWER,2010-03-08,BONUS,0.75,0.75,no_price_data,1.75,,False,False
CHENNPETRO,2023-08-04,BONUS,0.0001,0.0001,no_price_data,1.0001,,False,False
CHOICEIN,2022-09-22,BONUS,1.0,1.0,no_price_data,2.0,,False,False
CHOICEIN,2024-02-20,BONUS,1.0,1.0,no_price_data,2.0,,False,False
CHOLAFIN,2019-06-14,SPLIT,5.0,5.0,no_price_data,5.0,,False,False
CINEVISTA,2008-01-22,SPLIT,5.0,5.0,no_price_data,5.0,,False,False
CIPLA,2006-04-24,BONUS,1.5,1.5,already_adjusted,2.5,1.0157874470542936,True,False
CLASSIC,2008-01-11,SPLIT,0.0,5.0,confirmed,5.0,4.618410381184105,False,True
CLEDUCATE,2021-09-30,SPLIT,2.0,2.0,already_adjusted,2.0,0.9521059782608696,True,False
CLEDUCATE,2022-12-16,BONUS,1.0,1.0,already_adjusted,2.0,0.9410129709697344,True,False
CMAHENDRA,2015-06-18,BONUS,1.0,1.0,confirmed,2.0,1.6666666666666665,False,False
CMC,2011-06-08,BONUS,1.0,1.0,confirmed,2.0,2.0294165713351853,False,False
COASTCORP,2025-03-04,SPLIT,5.0,5.0,no_price_data,5.0,,False,False
COCHINSHIP,2024-01-10,SPLIT,2.0,2.0,no_price_data,2.0,,False,False
COFORGE,2007-08-30,BONUS,0.5,0.5,no_price_data,1.5,,False,False
COFORGE,2025-06-04,SPLIT,5.0,5.0,no_price_data,5.0,,False,False
COHANCE,2020-09-25,BONUS,1.0,1.0,no_price_data,2.0,,False,False
COLPAL,2015-09-23,BONUS,1.0,1.0,no_price_data,2.0,,False,False
COMPINFO,2017-02-16,SPLIT,5.0,5.0,confirmed,5.0,4.95644891122278,False,False
CONCOR,2008-04-16,BONUS,1.0,1.0,no_price_data,2.0,,False,False
CONCOR,2013-09-06,BONUS,0.5,0.5,no_price_data,1.5,,False,False
CONCOR,2014-02-13,BONUS,0.0001,0.0001,no_price_data,1.0001,,False,False
CONCOR,2017-04-05,BONUS,0.25,0.25,no_price_data,1.25,,False,False
