ticker,ex_date,action_type,stored_ratio,ratio,verdict,expected_gap,observed_gap,already_applied,needs_ratio_write
20MICRONS,2013-01-28,SPLIT,2.0,2.0,no_price_data,2.0,,False,False
360ONE,2023-03-02,SPLIT,2.0,2.0,no_price_data,4.0,,False,False
360ONE,2023-03-02,BONUS,1.0,1.0,no_price_data,4.0,,False,False
3IINFOTECH,2007-08-27,BONUS,1.0,1.0,confirmed,2.0,2.0257826887661143,False,False
3PLAND,2008-03-11,SPLIT,0.0,5.0,no_price_data,5.0,,False,False
AAKASH,2022-02-03,SPLIT,10.0,10.0,no_price_data,10.0,,False,False
AARON,2025-08-25,BONUS,1.0,1.0,no_price_data,2.0,,False,False
AARTECH,2024-08-09,SPLIT,2.0,2.0,no_price_data,3.0,,False,False
AARTECH,2024-08-09,BONUS,0.5,0.5,no_price_data,3.0,,False,False
AARTIDRUGS,2015-03-24,BONUS,1.0,1.0,no_price_data,2.0,,False,False
AARTIDRUGS,2020-09-30,SPLIT,4.0,4.0,no_price_data,16.0,,False,False
AARTIDRUGS,2020-09-30,BONUS,3.0,3.0,no_price_data,16.0,,False,False
AARTIIND,2006-01-13,BONUS,0.7117,0.7117,already_adjusted,1.7117,1.114480540585888,True,False
AARTIIND,2019-09-27,BONUS,1.0,1.0,no_price_data,2.0,,False,False
AARTIIND,2021-06-22,BONUS,1.0,1.0,no_price_data,2.0,,False,False
ABB,2007-06-28,SPLIT,5.0,5.0,no_price_data,5.0,,False,False
ABINFRA,2025-10-17,SPLIT,10.0,10.0,no_price_data,10.0,,False,False
ABMINTLTD,2017-03-15,BONUS,5.0,5.0,no_price_data,6.0,,False,False
ACC,2022-04-04,BONUS,0.0001,0.0001,no_price_data,1.0001,,False,False
ACCURACY,2023-02-15,SPLIT,10.0,10.0,already_adjusted,10.0,0.8577625570776258,True,False
ACE,2008-03-13,SPLIT,5.0,5.0,no_price_data,5.0,,False,False
ACUTAAS,2025-04-25,SPLIT,2.0,2.0,no_price_data,2.0,,False,False
ADANIENT,2009-12-10,BONUS,1.0,1.0,no_price_data,2.0,,False,False
ADANIPORTS,2010-09-23,SPLIT,5.0,5.0,no_price_data,5.0,,False,False
ADANIPOWER,2025-09-22,SPLIT,5.0,5.0,no_price_data,5.0,,False,False
ADFFOODS,2023-09-11,SPLIT,5.0,5.0,no_price_data,5.0,,False,False
ADROITINFO,2024-04-23,BONUS,0.4172,0.4172,no_price_data,1.4172,,False,False
ADSL,2009-11-11,SPLIT,0.0,2.0,no_price_data,2.0,,False,False
ADVANIHOTR,2007-10-22,SPLIT,0.0,5.0,no_price_data,5.0,,False,False
ADVANIHOTR,2007-12-03,BONUS,4.0,4.0,no_price_data,5.0,,False,False
ADVANIHOTR,2024-03-20,BONUS,1.0,1.0,no_price_data,2.0,,False,False
ADVANTA,2013-07-05,SPLIT,5.0,5.0,confirmed,5.0,4.994714238519987,False,False
ADVENZYMES,2017-05-25,SPLIT,5.0,5.0,no_price_data,5.0,,False,False
AEGISLOG,2010-08-18,BONUS,0.6666666666666666,0.6666666666666666,no_price_data,1.6666666666666665,,False,False
AEGISLOG,2015-09-16,SPLIT,10.0,10.0,no_price_data,10.0,,False,False
AFFLE,2021-10-07,SPLIT,5.0,5.0,no_price_data,5.0,,False,False
AFIL,2025-04-17,SPLIT,10.0,10.0,already_adjusted,10.0,0.8900308324768756,False,False
AGIIL,2025-02-07,SPLIT,10.0,10.0,no_price_data,10.0,,False,False
AGIIL,2025-10-10,SPLIT,5.0,5.0,no_price_data,5.0,,False,False
AHCL,2026-04-24,SPLIT,10.0,10.0,no_price_data,20.0,,False,False
AHCL,2026-04-24,BONUS,1.0,1.0,no_price_data,20.0,,False,False
AHLEAST,2022-10-06,BONUS,0.5,0.5,no_price_data,1.5,,False,False
AHLEAST,2022-12-06,BONUS,0.5,0.5,no_price_data,1.5,,False,False
AIAENG,2008-10-13,SPLIT,5.0,5.0,no_price_data,5.0,,False,False
AICHAMP,2008-09-11,SPLIT,0.0,2.0,no_price_data,2.0,,False,False
AIIL,2026-01-13,BONUS,4.0,4.0,no_price_data,5.0,,False,False
AJANTPHARM,2012-08-09,SPLIT,2.0,2.0,no_price_data,2.0,,False,False
AJANTPHARM,2013-09-17,BONUS,0.5,0.5,no_price_data,1.5,,False,False
AJANTPHARM,2015-03-20,SPLIT,2.5,2.5,no_price_data,2.5,,False,False
AJANTPHARM,2022-06-22,BONUS,0.5,0.5,no_price_data,1.5,,False,False
AJMERA,2026-01-14,SPLIT,25.0,25.0,no_price_data,25.0,,False,False
AJOONI,2022-10-07,SPLIT,5.0,5.0,no_price_data,5.0,,False,False
AJRINFRA,2009-10-26,SPLIT,0.0,5.0,no_price_data,5.0,,False,False
AJRINFRA,2013-01-23,BONUS,0.029411764705882353,0.029411764705882353,no_price_data,1.0294117647058822,,False,False
AKI,2023-06-22,SPLIT,5.0,5.0,no_price_data,5.0,,False,False
AKSHAR,2023-07-31,SPLIT,10.0,10.0,no_price_data,10.0,,False,False
AKSHAR,2024-02-15,BONUS,0.2,0.2,no_price_data,1.2,,False,False
ALANKIT,2015-09-23,SPLIT,5.0,5.0,no_price_data,5.0,,False,False
ALANKIT,2016-10-19,BONUS,1.0,1.0,no_price_data,2.0,,False,False
ALCHEMIST,2007-03-08,BONUS,1.0,1.0,confirmed,2.0,1.8838383838383836,False,False
ALEMBICLTD,2006-09-26,SPLIT,0.0,5.0,confirmed,5.0,5.367626886145405,True,True
ALEMBICLTD,2013-09-27,BONUS,1.0,1.0,no_price_data,2.0,,False,False
ALICON,2006-12-04,SPLIT,0.0,2.0,no_price_data,2.0,,False,False
