legacy_report_file,legacy_run_id,legacy_strategy_key,derived_strategy_code,derived_filter_preset,new_strategy_id,rank_band_id,top_n,lookback_months,rebalance_cadence_days,skip_months,rank_method,crash_regime_enabled,vol_scaling_mode,weight_method,sharpe_ratio,cagr,max_drawdown,integrity_passed,trade_log_path
orchestrator_phaseB_r15_job12.json,orch_momentum_20260903_065504_fc0da92b,momentum:R1_2_1_75_lb6mo,R01,all_risk,R01_M2_top7_lb6mo_10d_allrisk,2,7,6,10,0,trailing_return,False,,,,0.02175947900548536,-0.6300033486507866,True,/home/amit/projects/AlphaLens/backtest/reports/trade_log_orch_momentum_20260903_065504_fc0da92b.csv
orchestrator_phaseB_r15_job120.json,orch_momentum_20260903_132253_e571a4be,momentum:R1_9_276_550_lb6mo,R01,all_risk,R01_M9_top7_lb6mo_10d_allrisk,9,7,6,10,0,trailing_return,False,,,,0.13945738273620467,-0.5899485889375331,True,/home/amit/projects/AlphaLens/backtest/reports/trade_log_orch_momentum_20260903_132253_e571a4be.csv
orchestrator_phaseB_r15_job121.json,orch_momentum_20260903_132356_16d5f9eb,momentum:R1_9_276_550_lb6mo,R01,all_risk,R01_M9_top10_lb6mo_10d_allrisk,9,10,6,10,0,trailing_return,False,,,,0.1020969464479391,-0.6608057873679068,True,/home/amit/projects/AlphaLens/backtest/reports/trade_log_orch_momentum_20260903_132356_16d5f9eb.csv
orchestrator_phaseB_r15_job122.json,orch_momentum_20260903_132512_ac26f710,momentum:R1_9_276_550_lb6mo,R01,all_risk,R01_M9_top15_lb6mo_10d_allrisk,9,15,6,10,0,trailing_return,False,,,,0.13080412416004705,-0.6220880737227517,True,/home/amit/projects/AlphaLens/backtest/reports/trade_log_orch_momentum_20260903_132512_ac26f710.csv
orchestrator_phaseB_r15_job123.json,orch_momentum_20260903_132652_8cff3dae,momentum:R1_9_276_550_lb6mo,R01,all_risk,R01_M9_top7_lb6mo_21d_allrisk,9,7,6,21,0,trailing_return,False,,,,0.07510237824293098,-0.5319693648086024,True,/home/amit/projects/AlphaLens/backtest/reports/trade_log_orch_momentum_20260903_132652_8cff3dae.csv
orchestrator_phaseB_r15_job124.json,orch_momentum_20260903_132745_439d7627,momentum:R1_9_276_550_lb6mo,R01,all_risk,R01_M9_top10_lb6mo_21d_allrisk,9,10,6,21,0,trailing_return,False,,,,0.10005516752944899,-0.39968975982150645,True,/home/amit/projects/AlphaLens/backtest/reports/trade_log_orch_momentum_20260903_132745_439d7627.csv
orchestrator_phaseB_r15_job125.json,orch_momentum_20260903_132856_cf59351c,momentum:R1_9_276_550_lb6mo,R01,all_risk,R01_M9_top15_lb6mo_21d_allrisk,9,15,6,21,0,trailing_return,False,,,,0.09329839014280972,-0.3776453905261992,True,/home/amit/projects/AlphaLens/backtest/reports/trade_log_orch_momentum_20260903_132856_cf59351c.csv
orchestrator_phaseB_r15_job126.json,orch_momentum_20260903_133013_f97bc1cb,momentum:R1_9_276_550_lb9mo,R01,all_risk,R01_M9_top7_lb9mo_5d_allrisk,9,7,9,5,0,trailing_return,False,,,,0.04031712387268893,-0.5602978446239819,True,/home/amit/projects/AlphaLens/backtest/reports/trade_log_orch_momentum_20260903_133013_f97bc1cb.csv
orchestrator_phaseB_r15_job127.json,orch_momentum_20260903_133135_18ccb9fe,momentum:R1_9_276_550_lb9mo,R01,all_risk,R01_M9_top10_lb9mo_5d_allrisk,9,10,9,5,0,trailing_return,False,,,,0.05637215190298317,-0.5760952066724627,True,/home/amit/projects/AlphaLens/backtest/reports/trade_log_orch_momentum_20260903_133135_18ccb9fe.csv
orchestrator_phaseB_r15_job128.json,orch_momentum_20260903_133311_c48ce35b,momentum:R1_9_276_550_lb9mo,R01,all_risk,R01_M9_top15_lb9mo_5d_allrisk,9,15,9,5,0,trailing_return,False,,,,0.06678073354606262,-0.4997497047872157,True,/home/amit/projects/AlphaLens/backtest/reports/trade_log_orch_momentum_20260903_133311_c48ce35b.csv
orchestrator_phaseB_r15_job129.json,orch_momentum_20260903_133512_19b2ce60,momentum:R1_9_276_550_lb9mo,R01,all_risk,R01_M9_top7_lb9mo_10d_allrisk,9,7,9,10,0,trailing_return,False,,,,0.11098772018187852,-0.5289234100707533,True,/home/amit/projects/AlphaLens/backtest/reports/trade_log_orch_momentum_20260903_133512_19b2ce60.csv
orchestrator_phaseB_r15_job13.json,orch_momentum_20260903_065558_8aea229b,momentum:R1_2_1_75_lb6mo,R01,all_risk,R01_M2_top10_lb6mo_10d_allrisk,2,10,6,10,0,trailing_return,False,,,,0.01889134684686722,-0.4701233377432623,True,/home/amit/projects/AlphaLens/backtest/reports/trade_log_orch_momentum_20260903_065558_8aea229b.csv
orchestrator_phaseB_r15_job130.json,orch_momentum_20260903_133611_982ddc60,momentum:R1_9_276_550_lb9mo,R01,all_risk,R01_M9_top10_lb9mo_10d_allrisk,9,10,9,10,0,trailing_return,False,,,,0.0901110934117999,-0.6052130671084974,True,/home/amit/projects/AlphaLens/backtest/reports/trade_log_orch_momentum_20260903_133611_982ddc60.csv
orchestrator_phaseB_r15_job131.json,orch_momentum_20260903_134036_64d65152,momentum:R1_9_276_550_lb9mo,R01,all_risk,R01_M9_top15_lb9mo_10d_allrisk,9,15,9,10,0,trailing_return,False,,,,0.08510052893243047,-0.5342898959234351,True,/home/amit/projects/AlphaLens/backtest/reports/trade_log_orch_momentum_20260903_134036_64d65152.csv
orchestrator_phaseB_r15_job132.json,orch_momentum_20260903_134206_f75aa732,momentum:R1_9_276_550_lb9mo,R01,all_risk,R01_M9_top7_lb9mo_21d_allrisk,9,7,9,21,0,trailing_return,False,,,,0.00426905901679886,-0.6351696759648111,True,/home/amit/projects/AlphaLens/backtest/reports/trade_log_orch_momentum_20260903_134206_f75aa732.csv
orchestrator_phaseB_r15_job133.json,orch_momentum_20260903_134254_a171fe8e,momentum:R1_9_276_550_lb9mo,R01,all_risk,R01_M9_top10_lb9mo_21d_allrisk,9,10,9,21,0,trailing_return,False,,,,0.0926309524823441,-0.47781424681687107,True,/home/amit/projects/AlphaLens/backtest/reports/trade_log_orch_momentum_20260903_134254_a171fe8e.csv
orchestrator_phaseB_r15_job134.json,orch_momentum_20260903_134351_f509486e,momentum:R1_9_276_550_lb9mo,R01,all_risk,R01_M9_top15_lb9mo_21d_allrisk,9,15,9,21,0,trailing_return,False,,,,0.0997176395738677,-0.42356462665491246,True,/home/amit/projects/AlphaLens/backtest/reports/trade_log_orch_momentum_20260903_134351_f509486e.csv
orchestrator_phaseB_r15_job135.json,orch_momentum_20260903_134501_87543090,momentum:R1_9_276_550_lb12mo,R01,all_risk,R01_M9_top7_lb12mo_5d_allrisk,9,7,12,5,0,trailing_return,False,,,,0.06658502159522217,-0.5965364826228753,True,/home/amit/projects/AlphaLens/backtest/reports/trade_log_orch_momentum_20260903_134501_87543090.csv
orchestrator_phaseB_r15_job136.json,orch_momentum_20260903_134646_5d0f273b,momentum:R1_9_276_550_lb12mo,R01,all_risk,R01_M9_top10_lb12mo_5d_allrisk,9,10,12,5,0,trailing_return,False,,,,0.09316684451836288,-0.5109990611554801,True,/home/amit/projects/AlphaLens/backtest/reports/trade_log_orch_momentum_20260903_134646_5d0f273b.csv
orchestrator_phaseB_r15_job137.json,orch_momentum_20260903_134813_bc7e7f3f,momentum:R1_9_276_550_lb12mo,R01,all_risk,R01_M9_top15_lb12mo_5d_allrisk,9,15,12,5,0,trailing_return,False,,,,0.11539687137372612,-0.41347752921121295,True,/home/amit/projects/AlphaLens/backtest/reports/trade_log_orch_momentum_20260903_134813_bc7e7f3f.csv
orchestrator_phaseB_r15_job138.json,orch_momentum_20260903_135040_fd8ba3a9,momentum:R1_9_276_550_lb12mo,R01,all_risk,R01_M9_top7_lb12mo_10d_allrisk,9,7,12,10,0,trailing_return,False,,,,0.09427557805523823,-0.5792709791487487,True,/home/amit/projects/AlphaLens/backtest/reports/trade_log_orch_momentum_20260903_135040_fd8ba3a9.csv
orchestrator_phaseB_r15_job139.json,orch_momentum_20260903_135136_7ccf686a,momentum:R1_9_276_550_lb12mo,R01,all_risk,R01_M9_top10_lb12mo_10d_allrisk,9,10,12,10,0,trailing_return,False,,,,0.10169112173215811,-0.563677479293992,True,/home/amit/projects/AlphaLens/backtest/reports/trade_log_orch_momentum_20260903_135136_7ccf686a.csv
