ticker,max_gap_pct,num_gaps,avg_gap_pct,action_types,priority_score
ADANIENT,82.8,4,30.7,"e=2008-09-18 00,e=2015-06-03 00,e=2018-09-06 00,e=2020-03-23 00",132.2
TCI,80.7,4,26.9,"e=2006-12-05 00,e=2008-02-08 00,e=2010-10-20 00,e=2020-03-19 00",129.05
RAJESHEXPO,82.9,2,44.75,"e=2008-01-29 00,e=2015-09-23 00",128.35000000000002
COROENGG,84.0,1,84.0,e=2014-01-13 00,128.0
ORIENTPPR,80.4,3,53.36666666666667,"e=2007-11-07 00,e=2013-03-07 00,e=2018-01-11 00",126.60000000000001
STER,79.3,3,53.199999999999996,"e=2006-05-05 00,e=2010-05-19 00,e=2010-06-21 00",124.94999999999999
ERAINFRA,80.1,2,42.699999999999996,"e=2008-09-17 00,e=2015-12-22 00",124.14999999999999
TCC,81.1,1,81.1,e=2026-09-04 00,123.64999999999999
EIHOTEL,77.7,3,29.833333333333332,"e=2006-09-12 00,e=2011-02-21 00,e=2020-09-22 00",122.55000000000001
SIMPLEXINF,78.9,2,43.050000000000004,"e=2006-09-13 00,e=2017-09-12 00",122.35000000000001
AKI,79.9,1,79.9,e=2023-06-22 00,121.85000000000001
NEXTMEDIA,78.2,2,43.1,"e=2011-01-20 00,e=2011-08-29 00",121.30000000000001
SINTEX,75.2,2,44.800000000000004,"e=2006-06-13 00,e=2017-05-25 00",116.80000000000001
AGI,73.7,3,52.70000000000001,"e=2007-09-03 00,e=2019-08-19 00",116.55000000000001
ROSSELLIND,72.5,3,28.166666666666668,"e=2016-03-22 00,e=2017-07-27 00,e=2024-09-20 00",114.75
WEIZMANIND,66.9,7,20.985714285714288,"e=2010-12-08 00,e=2011-09-26 00,e=2014-09-04 00,e=2019-07-29 00,e=2020-03-16 00,e=2020-12-14 00,e=2024-08-30 00",114.35000000000001
ALLCARGO,66.9,6,20.900000000000002,"e=2015-11-19 00,e=2016-11-17 00,e=2020-03-23 00,e=2023-04-18 00,e=2024-01-02 00,e=2025-11-12 00",112.35000000000001
MANAKSIA,62.3,8,15.8125,"e=2009-09-11 00,e=2013-08-16 00,e=2014-12-04 00,e=2015-02-18 00,e=2015-11-10 00,e=2019-02-21 00,e=2019-11-20 00,e=2020-03-05 00",109.44999999999999
DALMIASUG,70.9,1,70.9,e=2010-09-24 00,108.35000000000001
MASTEK,66.0,4,21.8,"e=2014-07-04 00,e=2015-06-12 00,e=2020-03-23 00,e=2026-08-31 00",107.0
RPPL,65.0,3,59.166666666666664,"e=2024-02-26 00,e=2024-09-17 00",103.5
UEL,65.0,3,39.5,"e=2024-09-20 00,e=2025-05-30 00,e=2025-10-10 00",103.5
GOODLUCK,65.9,2,35.7,"e=2021-08-05 00,e=2026-08-21 00",102.85000000000001
BAJAJHLDNG,63.0,3,24.53333333333333,"e=2008-03-14 00,e=2010-07-08 00,e=2011-06-29 00",100.5
JSL,60.9,4,19.85,"e=2015-11-19 00,e=2015-12-11 00,e=2023-09-15 00,e=2024-08-30 00",99.35
IDFC,57.2,3,26.0,"e=2015-10-01 00,e=2019-09-27 00,e=2023-02-13 00",91.80000000000001
KARURVYSYA,55.7,4,26.150000000000002,"e=2006-07-19 00,e=2006-12-13 00,e=2017-10-12 00,e=2018-08-14 00",91.55000000000001
TATACHEM,56.5,3,22.633333333333336,"e=2008-07-18 00,e=2018-07-16 00,e=2020-03-04 00",90.75
ABIRLANUVO,57.3,1,57.3,e=2016-01-20 00,87.94999999999999
KESARENT,55.9,2,30.7,"e=2010-05-13 00,e=2015-03-10 00",87.85
INDIABULLS,53.8,3,28.566666666666663,"e=2007-01-02 00,e=2008-01-01 00,e=2010-11-01 00",86.69999999999999
VISESHINFO,50.0,5,23.64,"e=2007-09-20 00,e=2013-03-07 00,e=2014-12-24 00,e=2018-09-19 00,e=2022-09-22 00",85.0
HERCULES,50.5,3,22.799999999999997,"e=2008-09-17 00,e=2012-07-11 00,e=2013-08-01 00",81.75
LAKSHVILAS,48.7,4,27.400000000000002,"e=2006-11-17 00,e=2009-09-24 00,e=2014-07-25 00,e=2017-12-05 00",81.05000000000001
KSERASERA,50.0,3,30.866666666666664,"e=2015-03-30 00,e=2015-09-23 00,e=2017-09-20 00",81.0
TDPOWERSYS,49.2,3,20.400000000000002,"e=2025-07-30 00,e=2026-08-05 00,e=2026-08-24 00",79.80000000000001
EDELWEISS,44.7,6,14.200000000000001,"e=2008-07-02 00,e=2014-07-11 00,e=2018-02-02 00,e=2019-02-04 00,e=2019-07-17 00,e=2023-06-02 00",79.05000000000001
