ticker,gap_pct,action_type,ex_date,ratio,severity
HINDMOTORS,20.0,e=2015-08-05 00,2015-08-05,,critical
AXISCADES,20.0,e=2011-07-19 00,2011-07-19,,critical
XTGLOBAL,20.0,e=2024-09-23 00,2024-09-23,,critical
PTL,20.0,e=2021-12-23 00,2021-12-23,,critical
SALSTEEL,20.0,e=2019-09-11 00,2019-09-11,,critical
JINDALPHOT,20.0,e=2023-09-20 00,2023-09-20,,critical
CGCL,20.0,e=2024-03-05 00,2024-03-05,,critical
TVSHLTD,20.0,e=2023-03-24 00,2023-03-24,,critical
VISHWARAJ,20.0,e=2021-10-21 00,2021-10-21,,critical
TALBROAUTO,20.0,e=2023-10-27 00,2023-10-27,,critical
COCHINSHIP,20.0,e=2024-01-10 00,2024-01-10,,critical
ZEEMEDIA,20.0,e=2007-07-19 00,2007-07-19,,critical
GTLINFRA,20.0,e=2007-07-20 00,2007-07-20,,critical
VIVIDHA,20.0,e=2015-05-28 00,2015-05-28,,critical
FCL,20.0,e=2025-10-31 00,2025-10-31,,critical
WHEELS,20.0,e=2014-02-13 00,2014-02-13,,critical
MENONBE,20.0,e=2016-07-14 00,2016-07-14,,critical
JMTAUTOLTD,20.0,e=2015-06-25 00,2015-06-25,,critical
JAYBARMARU,20.0,e=2021-06-07 00,2021-06-07,,critical
INCREDIBLE,20.0,e=2017-09-13 00,2017-09-13,,critical
RAJSREESUG,20.0,e=2013-08-01 00,2013-08-01,,critical
NDTV,20.0,e=2017-09-05 00,2017-09-05,,critical
JINDALPHOT,20.0,e=2016-05-26 00,2016-05-26,,critical
VIVIDHA,20.0,e=2015-05-28 00,2015-05-28,,critical
SALSTEEL,20.0,e=2013-09-13 00,2013-09-13,,critical
TCIDEVELOP,20.0,e=2015-07-23 00,2015-07-23,,critical
AURUM,20.0,e=2022-04-12 00,2022-04-12,,critical
NAKODA,20.0,e=2016-09-15 00,2016-09-15,,critical
EASEMYTRIP,20.0,e=2022-11-21 00,2022-11-21,,critical
ESSARSHPNG,20.0,e=2022-08-29 00,2022-08-29,,critical
PARASPETRO,20.0,e=2015-09-21 00,2015-09-21,,critical
ADANIPOWER,20.0,e=2025-09-22 00,2025-09-22,,critical
NITINFIRE,20.0,e=2011-08-04 00,2011-08-04,,critical
TARMAT,20.0,e=2017-09-21 00,2017-09-21,,critical
HNDFDS,20.0,e=2022-07-21 00,2022-07-21,,critical
FCSSOFT,20.0,e=2018-09-17 00,2018-09-17,,critical
PATELENG,20.0,e=2019-09-17 00,2019-09-17,,critical
ANMOL,20.0,e=2023-07-18 00,2023-07-18,,critical
ANMOL,20.0,e=2023-07-18 00,2023-07-18,,critical
BBOX,20.0,e=2022-05-13 00,2022-05-13,,critical
ENGINERSIN,20.0,e=2010-05-06 00,2010-05-06,,critical
EASEMYTRIP,20.0,e=2022-11-21 00,2022-11-21,,critical
PRAKASHSTL,20.0,e=2018-09-19 00,2018-09-19,,critical
JINDWORLD,20.0,e=2025-02-28 00,2025-02-28,,critical
FCL,20.0,e=2025-10-31 00,2025-10-31,,critical
VIVIDHA,20.0,e=2019-09-20 00,2019-09-20,,critical
LCCINFOTEC,20.0,e=2016-09-21 00,2016-09-21,,critical
JINDWORLD,20.0,e=2025-02-28 00,2025-02-28,,critical
CMAHENDRA,20.0,e=2015-06-18 00,2015-06-18,,critical
SURYODAY,20.0,e=2021-09-13 00,2021-09-13,,critical
CHEMBOND,19.9,e=2020-03-13 00,2020-03-13,,critical
MITCON,19.9,e=2024-06-20 00,2024-06-20,,critical
BIRLAPREC,19.9,e=2026-09-03 00,2026-09-03,,critical
SHAHALLOYS,19.9,e=2016-09-14 00,2016-09-14,,critical
SBC,19.9,e=2024-01-19 00,2024-01-19,,critical
