ticker,gap_count
JAICORPLTD,5
TOKYOPLAST,5
ONGC,5
CGPOWER,5
APTECHT,5
TVTODAY,5
CESC,5
PGHL,5
PGEL,5
RUCHIRA,5
OFSS,5
IRB,5
INVENTURE,5
SURANAT&P,5
FSL,5
FOSECOIND,5
TATAINVEST,5
LAKSHVILAS,4
LAOPALA,4
VAKRANGEE,4
VARDHACRLC,4
MADHUCON,4
MAITHANALL,4
LFIC,4
KSCL,4
SIEMENS,4
BLS,4
BILPOWER,4
KSE,4
KTKBANK,4
JUBLINDS,4
KOTARISUG,4
BSL,4
SPMLINFRA,4
SUJANAUNI,4
JAGSNPHARM,4
IOC,4
CUB,4
IFBIND,4
DENORA,4
INDUSTOWER,4
TRITURBINE,4
STYRENIX,4
DELTACORP,4
STERTOOLS,4
INDORAMA,4
TTL,4
INDNIPPON,4
INDIANB,4
INDIAGLYCO,4
JBCHEPHARM,4
JBFIND,4
JHS,4
TORNTPOWER,4
UTTAMSUGAR,4
TORNTPHARM,4
KIOCL,4
KICL,4
USHAMART,4
KARURVYSYA,4
SMARTLINK,4
KABRAEXTRU,4
JINDALPHOT,4
CENTUM,4
CENTURYPLY,4
CGCL,4
SUNTV,4
JSL,4
JMTAUTOLTD,4
JMFINANCIL,4
VENKEYS,4
DEEPAKFERT,4
NOIDATOLL,4
NHPC,4
ARIHANT,4
SAKSOFT,4
MANALIPETC,4
GMBREW,4
ARVIND,4
ASAHISONG,4
GPIL,4
GRANULES,4
REPRO,4
NGIL,4
ARE&M,4
VIVIDHA,4
NEULANDLAB,4
GREENPLY,4
SANDESH,4
XPROINDIA,4
NELCO,4
NELCAST,4
AURIONPRO,4
ESABINDIA,4
NRBBEARING,4
GAEL,4
SANOFI,4
WSTCSTPAPR,4
PANORAMUNI,4
AMDIND,4
PAGEIND,4
FINPIPE,4
ANANTRAJ,4
ANDHRABANK,4
ANGELONE,4
PARASPETRO,4
RKFORGE,4
OPTOCIRCUI,4
NUTEK,4
WYETH,4
ANSALHSG,4
WHEELS,4
APCOTEXIND,4
GABRIEL,4
AJMERA,4
OIL,4
RUCHISOYA,4
RUSHIL,4
NAVNETEDUL,4
AUROPHARMA,4
PRESSMN,4
BDL,4
POLARIS,4
MIC,4
HARDWYN,4
MASTEK,4
ELGIEQUIP,4
BBOX,4
GEODESIC,4
TEAMGTY,4
MANUGRAPH,4
BCG,4
AARTIIND,4
SEAMECLTD,4
SGL,4
GAYAHWS,4
SHAHALLOYS,4
ELECTCAST,4
RADAAN,4
RAMASTEEL,4
GENESYS,4
SHALPAINTS,4
BEPL,4
RAJTV,4
MINDTREE,4
PANAMAPET,4
BALRAMCHIN,4
PRAKASHSTL,4
NAVA,4
EPL,4
SAREGAMA,4
SARLAPOLY,4
TIL,4
PPAP,4
TCI,4
ENGINERSIN,4
VIMTALABS,4
BALKRISHNA,4
MMTC,4
ADANIENT,4
PRECOT,4
GICHSGFIN,4
ZENSARTECH,4
IDFC,3
GMRAIRPORT,3
IFCI,3
GNA,3
HUHTAMAKI,3
GILLANDERS,3
GENUSPOWER,3
GFLLIMITED,3
TATACHEM,3
SUDARSCHEM,3
GLOBALVECT,3
TATAMTRDVR,3
GINNIFILA,3
HAVELLS,3
HUDCO,3
GUJNRECOKE,3
SYMPHONY,3
GULPOLY,3
GVPIL,3
HINDCOMPOS,3
HIMATSEIDE,3
STER,3
HFCL,3
HEXAWARE,3
HERITGFOOD,3
HERCULES,3
HEG,3
HEADSUP,3
SUTLEJTEX,3
HCLTECH,3
HCL-INSYS,3
HARITASEAT,3
HBLENGINE,3
SYNDIBANK,3
GTPL,3
HSCL,3
TAKE,3
SUNDARMFIN,3
TARMAT,3
HOCL,3
SUNDRMFAST,3
GODFRYPHLP,3
SUNILHITEC,3
GODREJCP,3
GODREJIND,3
