signal_date,ticker,entry_date,entry_price,exit_date,exit_price,shares,gross_return_pct,net_return_pct,pnl_inr,buy_prob,meta_prob
2025-01-01,ZFCVINDIA,2025-01-02,1992.66,2025-01-09,1906.32,501,-4.333,-4.833,-48253.95,0.8949,0.5112
2025-01-01,TIMKEN,2025-01-02,3025.09,2025-01-09,2904.74,330,-3.979,-4.479,-44716.92,0.894,0.5156
2025-01-01,ABBOTINDIA,2025-01-02,29607.64,2025-01-09,29345.14,33,-0.887,-1.387,-13662.31,0.7409,0.6002
2025-01-01,SJVN,2025-01-02,108.23,2025-01-09,97.6,9239,-9.817,-10.317,-103165.34,0.734,0.561
2025-01-01,SIEMENS,2025-01-02,6685.2,2025-01-09,6227.44,149,-6.847,-7.347,-73205.49,0.5584,0.7743
2025-01-01,BAJAJ-AUTO,2025-01-02,8406.15,2025-01-09,8497.86,118,1.091,0.591,5820.91,0.5078,0.8017
2025-01-02,TATAINVEST,2025-01-03,6882.21,2025-01-10,6343.56,145,-7.827,-8.327,-83103.82,0.715,0.5343
2025-01-02,ZFCVINDIA,2025-01-03,1972.19,2025-01-10,1895.46,507,-3.89,-4.39,-43899.04,0.5796,0.8357
2025-01-02,UBL,2025-01-03,2119.08,2025-01-10,2019.1,471,-4.718,-5.218,-52092.93,0.519,0.5566
2025-01-02,TITAGARH,2025-01-03,1103.68,2025-01-10,1038.41,906,-5.914,-6.414,-64136.61,0.4398,0.7659
2025-01-03,MARICO,2025-01-06,656.93,2025-01-13,658.31,1522,0.21,-0.29,-2901.38,0.9172,0.5001
2025-01-03,NUVAMA,2025-01-06,6864.32,2025-01-13,5936.73,145,-13.513,-14.013,-139500.1,0.584,0.6881
2025-01-03,NETWEB,2025-01-06,2835.96,2025-01-13,2420.22,352,-14.66,-15.16,-151342.68,0.5694,0.5181
2025-01-03,MAHABANK,2025-01-06,52.23,2025-01-13,43.86,19147,-16.024,-16.524,-165233.23,0.5674,0.8384
2025-01-03,AFCONS,2025-01-06,543.47,2025-01-13,476.97,1840,-12.236,-12.736,-127356.77,0.4791,0.7615
2025-01-03,RHIM,2025-01-06,489.93,2025-01-13,482.67,2041,-1.482,-1.982,-19821.57,0.4782,0.5341
2025-01-03,TATAINVEST,2025-01-06,6836.97,2025-01-13,6049.29,146,-11.521,-12.021,-120001.32,0.474,0.5379
2025-01-06,NYKAA,2025-01-07,171.07,2025-01-14,164.93,5845,-3.589,-4.089,-40888.3,0.8205,0.6151
2025-01-06,JPPOWER,2025-01-07,16.85,2025-01-14,16.36,59347,-2.908,-3.408,-34080.03,0.7921,0.6814
2025-01-06,GMDCLTD,2025-01-07,306.25,2025-01-14,287.3,3265,-6.186,-6.686,-66852.47,0.739,0.6095
